card_id,unit,type,asset,question,old_media
y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,9A,Progress check,assets/webp/9A-dna-chromosome-gene-hierarchy-blank-v2.webp,"Describe how chromosomes, DNA and genes are linked together.",
y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,9A,Assess check,assets/webp/9A-dna-chromosome-gene-hierarchy-blank-v2.webp,"Describe the relationship between cells, nuclei, chromosomes, genes, DNA and genetic information.",
y9-046-9e-a-polymer-is-formed-when,9E,Quick quiz,assets/webp/9E-polymers-monomers-composites-blank-v2.webp,A polymer is formed when:,
y9x-040-9e-describe-what-a-composite-material-is,9E,Assess check,assets/webp/9E-polymers-monomers-composites-blank-v2.webp,Describe what a composite material is.,
y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,9E,Assess check,assets/webp/9E-polymers-monomers-composites-blank-v2.webp,"Link uses of ceramics, polymers and composites to their properties.",
y9x-044-9e-describe-how-polymers-are-formed-from-monomers,9E,Assess check,assets/webp/9E-polymers-monomers-composites-blank-v2.webp,Describe how polymers are formed from monomers.,
y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,9E,Progress check,assets/webp/9E-polymers-monomers-composites-blank-v2.webp,Explain why composites often have better properties than their separate materials.,
y9-039-9b-the-carbon-cycle,9B,Quick quiz,assets/webp/9B-carbon-cycle-source-style-blank-v2.webp,The carbon cycle:,
y9-040-9b-plants-are-important-in-keeping-the-amount-of-carbon-in-balance-becaus,9B,Quick quiz,assets/webp/9B-carbon-cycle-source-style-blank-v2.webp,Plants are important in keeping the amount of carbon in balance because:,
y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,9B,Assess check,assets/webp/9B-carbon-cycle-source-style-blank-v2.webp,Explain how farming can change the carbon cycle.,
y9x-096-9b-explain-how-farming-affects-the-carbon-cycle,9B,Progress check,assets/webp/9B-carbon-cycle-source-style-blank-v2.webp,Explain how farming affects the carbon cycle.,
y9r-005-9b-what-problem-can-pesticides-cause,9B,Assess check,assets/webp/9B-farming-yield-sustainability-blank.webp,What problem can pesticides cause?,
y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,9B,Assess check,assets/webp/9B-farming-yield-sustainability-blank.webp,Explain how fertilisers help crop plants grow well.,
y9-061-9f-which-of-these-describes-a-physical-change,9F,Quick quiz,assets/webp/9F-physical-change-chemical-reaction-blank-v2.webp,Which of these describes a physical change?,assets/webp/9E-changes-of-state-particle-model-blank-v3.webp
y9-178-9f-define-physical-change,9F,Vocabulary,assets/webp/9F-physical-change-chemical-reaction-blank-v2.webp,Define: physical change,
y9r-026-9f-in-reactions-and-physical-changes-what-happens-to-the-number-of-atoms,9F,Explain check,assets/webp/9F-physical-change-chemical-reaction-blank-v2.webp,Why is there no overall change in mass in a reaction or physical change?,
y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,9F,Progress check,assets/webp/9F-rusting-conditions-prevention-blank-v2.webp,Explain why rusting is a problem and name two prevention methods.,
y9x-053-9f-describe-what-causes-rusting,9F,Assess check,assets/webp/9F-rusting-conditions-prevention-blank-v2.webp,Describe what causes rusting.,
y9x-054-9f-describe-one-simple-method-of-preventing-rusting,9F,Assess check,assets/webp/9F-rusting-conditions-prevention-blank-v2.webp,Describe one simple method of preventing rusting.,
y9x-055-9f-explain-why-rusting-is-a-problem,9F,Assess check,assets/webp/9F-rusting-conditions-prevention-blank-v2.webp,Explain why rusting is a problem.,
y9x-056-9f-use-scientific-words-to-explain-how-iron-rusts,9F,Assess check,assets/webp/9F-rusting-conditions-prevention-blank-v2.webp,Use scientific words to explain how iron rusts.,
y9x-063-9f-describe-sacrificial-protection-for-preventing-rusting,9F,Assess check,assets/webp/9F-sacrificial-protection-iron-blank-v2.webp,Describe sacrificial protection for preventing rusting.,
y9x-064-9f-explain-how-sacrificial-protection-prevents-rusting-and-link-this-to-the-reactiv,9F,Assess check,assets/webp/9F-sacrificial-protection-iron-blank-v2.webp,Explain how sacrificial protection prevents rusting and link this to the reactivity series.,
y9x-065-9f-explain-why-certain-metals-are-used-for-sacrificial-protection,9F,Assess check,assets/webp/9F-sacrificial-protection-iron-blank-v2.webp,Explain why certain metals are used for sacrificial protection.,
y9-212-9j-define-magnetic-field,9J,Vocabulary,assets/webp/9J-magnetic-field-bar-magnet-blank-v3.webp,Define: magnetic field,
y9x-117-9j-explain-the-difference-between-an-electromagnet-and-a-bar-magnet,9J,Progress check,assets/webp/9J-magnetic-field-bar-magnet-blank-v3.webp,Explain the difference between an electromagnet and a bar magnet.,
y9-106-9j-an-object-has-a-negative-charge-which-statement-is-correct,9J,Quick quiz,assets/webp/9J-static-electricity-charge-transfer-blank-v3.webp,An object has a negative charge. Which statement is correct?,
