asset,note_refs,card_refs,notes,cards
assets/webp/9A-continuous-discontinuous-variation-blank-v2.webp,0,2,,y9-004-9a-what-sort-of-variation-is-shown-when-measurements-can-take-any-value-o; y9-008-9a-the-overall-bell-shape-on-a-continuous-variation-chart-is-called
assets/webp/9A-continuous-discontinuous-variation-notes-v2.webp,1,0,9A-variation,
assets/webp/9A-dna-chromosome-gene-hierarchy-blank-v2.webp,0,2,,y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together; y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic
assets/webp/9A-dna-chromosome-gene-hierarchy-notes-v2.webp,1,0,9A-inheritance,
assets/webp/9A-natural-selection-giraffes.webp,1,0,9A-evolution,
assets/webp/9A-prey-adaptation-base.webp,1,1,9A-evolution,y9-015-9a-which-feature-of-an-animal-suggests-that-it-is-prey-for-larger-animals
assets/webp/9A-seed-bank-conservation.webp,1,0,9A-biodiversity,
assets/webp/9A-triceratops-model-base.webp,1,2,9A-evolution,y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model; y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels
assets/webp/9B-bioaccumulation-food-chain-blank-v3.webp,0,3,,y9-055-9e-why-can-low-toxin-levels-released-into-the-sea-cause-serious-problems-; y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains; y9r-025-9e-what-is-biomagnification
assets/webp/9B-bioaccumulation-food-chain-notes-v3.webp,1,0,9B-food-webs,
assets/webp/9B-carbon-cycle-source-style-blank-v2.webp,0,5,,y9-039-9b-the-carbon-cycle; y9-040-9b-plants-are-important-in-keeping-the-amount-of-carbon-in-balance-becaus; y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle; y9x-095-9b-label-the-main-processes-in-the-carbon-cycle; y9x-096-9b-explain-how-farming-affects-the-carbon-cycle
assets/webp/9B-carbon-cycle-source-style-notes-v2.webp,1,0,9B-food-webs,
assets/webp/9B-farming-yield-sustainability-blank.webp,0,8,,y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well; y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming; y9x-098-9b-give-advantages-and-disadvantages-of-insecticides-and-herbicides; y9x-099-9b-give-advantages-and-disadvantages-of-fertilisers; y9r-002-9b-why-is-land-cleared-of-hedges-and-trees-in-modern-farming; y9r-005-9b-what-problem-can-pesticides-cause; y9r-007-9b-what-problem-can-fertilisers-cause-if-they-wash-into-streams-and-rivers; y9qb-001-9b-farming-benefit-problem-compare
assets/webp/9B-farming-yield-sustainability-notes.webp,1,0,9B-farming-yield-impact,
assets/webp/9B-food-production-methods-4panel.webp,1,0,9B-plant-products,
assets/webp/9B-food-web-population-changes-notes-v2.webp,1,0,9B-food-webs,
assets/webp/9B-leaf-vein-bundle.webp,1,0,9B-plant-transport,
assets/webp/9B-photosynthesis-light-graph-blank.webp,0,2,,y9-023-9b-what-does-a-photosynthesis-rate-graph-usually-show-as-light-intensity-; y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing
assets/webp/9B-photosynthesis-light-graph-notes.webp,1,0,9B-photosynthesis,
assets/webp/9B-photosynthesis-plant-base.webp,1,1,9B-photosynthesis,y9-021-9b-where-does-photosynthesis-occur-in-a-plant
assets/webp/9B-plant-transport-process.webp,1,0,9B-plant-transport,
assets/webp/9B-quadrat-ecosystem-sampling-blank-v3.webp,0,1,,y9x-093-9b-describe-how-sampling-can-estimate-biodiversity-in-a-field
assets/webp/9B-quadrat-ecosystem-sampling-notes-v3.webp,1,0,9B-food-webs,
assets/webp/9B-root-hair-cell-base.webp,1,1,9B-plant-transport,y9-028-9b-the-specialised-cell-with-a-long-projection-for-absorbing-water-from-s
assets/webp/9B-seed-dispersal-mechanisms-notes-v3.webp,1,0,9B-plant-products,
assets/webp/9B-seed-lifecycle-blank.webp,0,3,,y9-248-9b-suggest-why-seeds-need-starch; y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order; y9x-087-9b-list-three-substances-found-in-seeds-and-explain-their-functions
assets/webp/9B-seed-lifecycle-notes.webp,1,0,9B-plant-products,
assets/webp/9B-stomata-micrograph.webp,1,0,9B-plant-transport,
assets/webp/9E-brittle-lattice-crack.webp,1,0,9E-ceramics,
assets/webp/9E-brownian-motion-notes-v3.webp,1,0,9E-heating-cooling,
assets/webp/9E-changes-of-state-particle-model-notes-v3.webp,1,0,9E-heating-cooling,
assets/webp/9E-conductors-insulators-materials.webp,1,0,9J-resistance,
assets/webp/9E-crystal-cooling-comparison.webp,1,0,9E-ceramics,
assets/webp/9E-diffusion-liquids-gases-notes-v3.webp,1,0,9E-heating-cooling,
assets/webp/9E-environmental-impacts-recycling.webp,1,0,9E-environment,
assets/webp/9E-gas-pressure-brownian-motion-blank-v3.webp,0,3,,y9-062-9f-gas-pressure-is-caused-by-gas-particles; y9-063-9f-the-pressure-of-a-gas-increases-as-temperature-increases-because; y9-180-9f-define-gas-pressure
assets/webp/9E-gas-pressure-brownian-motion-notes-v3.webp,1,0,9E-heating-cooling,
assets/webp/9E-greenhouse-effect-blank.webp,0,5,,y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect; y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts; y9cgp-076-E-climate-bridge-what-causes-the-natural-greenhouse-effect; y9cgp-077-E-climate-bridge-why-can-extra-greenhouse-gases-increase-global-temperature; y9cgp-085-E-climate-bridge-explain-why-a-correlation-between-greenhouse-gas-emissions-a
assets/webp/9E-greenhouse-effect-notes.webp,1,0,9E-climate-bridge,
assets/webp/9E-heating-cooling-blank.webp,0,7,,y9cgp-048-E-heating-cooling-what-happens-to-particles-in-a-solid-when-it-is-heated; y9cgp-049-E-heating-cooling-what-happens-to-particles-in-a-hot-object-as-it-cools; y9cgp-050-E-heating-cooling-which-changes-of-state-are-endothermic; y9cgp-051-E-heating-cooling-which-changes-of-state-are-exothermic; y9cgp-055-E-heating-cooling-what-does-a-cooling-curve-show; y9cgp-056-E-heating-cooling-why-does-a-very-hot-drink-cool-faster-at-first-than-later; y9cgp-057-E-heating-cooling-correct-the-misconception-energy-disappears-when-an-object-c
assets/webp/9E-heating-cooling-notes.webp,1,0,9E-heating-cooling,
assets/webp/9E-particle-model-states-notes-v2.webp,1,0,9E-heating-cooling,
assets/webp/9E-polymers-monomers-composites-blank-v2.webp,0,5,,y9-046-9e-a-polymer-is-formed-when; y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat; y9x-040-9e-describe-what-a-composite-material-is; y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties; y9x-044-9e-describe-how-polymers-are-formed-from-monomers
assets/webp/9E-polymers-monomers-composites-notes-v2.webp,1,0,9E-composites,
assets/webp/9E-recycling-methods-blank.webp,0,7,,y9-058-9e-recycling-a-metal-helps-us-use-that-metal-further-into-the-future-beca; y9-060-9e-the-most-important-reason-for-recycling-glass-is-that-it-saves-large-a; y9x-046-9e-explain-advantages-of-recycling-with-specific-examples; y9r-020-9e-how-are-metals-recycled-according-to-the-revision-sheet; y9r-021-9e-how-is-glass-recycled-according-to-the-revision-sheet; y9r-022-9e-how-is-paper-recycled-according-to-the-revision-sheet; y9r-024-9e-give-two-reasons-why-recycling-materials-to-use-again-is-useful
assets/webp/9E-recycling-methods-notes.webp,1,0,9E-recycling-methods,
