unit,role,title,asset,exists,student_use
9A,leadMedia,Natural selection sequence,assets/webp/9A-natural-selection-sequence-notes-v152.webp,True,Use this to practise explain answers: variation → selection pressure → survival and reproduction → inherited change.
9A,visualTile1,Variation graph types,assets/webp/9A-continuous-discontinuous-variation-notes-v2.webp,True,Continuous variation forms a range; discontinuous variation has separate categories.
9A,visualTile2,"DNA, chromosomes and genes",assets/webp/9A-dna-inheritance-hierarchy-notes-v153.webp,True,Use this for identify questions about where inherited information is carried.
9A,visualTile3,Biodiversity and conservation,assets/webp/9A-biodiversity-extinction-conservation-notes-v151.webp,True,Link causes of extinction to methods used to protect biodiversity.
9B,leadMedia,Whole-plant transport,assets/webp/9B-plant-transport-overview-notes-v153.webp,True,"Use this to connect roots, xylem, phloem and stomata in one plant-growth answer."
9B,visualTile1,Photosynthesis limiting-factor graphs,assets/webp/9B-photosynthesis-limiting-factors-notes-v152.webp,True,"Describe the trend first, then explain the plateau or high-temperature fall."
9B,visualTile2,Uses of glucose,assets/webp/9B-glucose-uses-notes-v151.webp,True,Use this for state and describe questions about what plants do with glucose.
9B,visualTile3,Farming yield and sustainability,assets/webp/9B-farming-yield-sustainability-notes.webp,True,Balance one benefit for crop yield with one possible problem for habitats or biodiversity.
9E,leadMedia,"Ceramics, polymers and composites",assets/webp/9E-polymers-monomers-composites-notes-v2.webp,True,Use material properties to justify why a material is suitable for a particular use.
9E,visualTile1,Recycling different materials,assets/webp/9E-recycling-methods-grid-notes-v152.webp,True,Different materials need different recycling methods and have different environmental impacts.
9E,visualTile2,Exothermic and endothermic reactions,assets/webp/9E-exothermic-endothermic-notes-v151.webp,True,Identify whether energy is transferred to or taken from the surroundings.
9E,visualTile3,Peer review process,assets/webp/9E-peer-review-process-notes-v151.webp,True,"Use this for questions about checking methods, evidence and conclusions before publication."
9F,leadMedia,Reactivity series and extraction decision,assets/webp/9F-reactivity-extraction-decision-notes-v152.webp,True,Compare the metal with carbon before choosing electrolysis or carbon reduction.
9F,visualTile1,Displacement reactions,assets/webp/9F-displacement-magnesium-copper-notes-v152.webp,True,A more reactive metal can displace a less reactive metal from its compound.
9F,visualTile2,Metal reaction products,assets/webp/9F-metal-reaction-products-notes-v153.webp,True,"Use this for state questions about metal + oxygen, metal + water and metal + acid."
9F,visualTile3,Rusting and prevention,assets/webp/9F-rusting-conditions-prevention-notes-v2.webp,True,Rusting needs oxygen and water; prevention methods keep one or both away from iron.
9F,visualTile4,Blast furnace process,assets/webp/9F-blast-furnace-process-v2.webp,True,Use this to describe how iron is extracted from iron ore in stages.
9I,leadMedia,Speed-time graphs,assets/webp/9I-speed-time-graph-notes-v152.webp,True,Use graph shape to describe motion before doing calculations.
9I,visualTile1,Distance-time graphs,assets/webp/9I-distance-time-graph-notes.webp,True,A steeper line means a higher speed; a horizontal line means stationary.
9I,visualTile2,Moment calculations,assets/webp/9I-moment-calculations-notes-v149.webp,True,"Write the formula, substitute force and distance, then give the answer with units."
9I,visualTile3,Terminal velocity force chain,assets/webp/9I-terminal-velocity-force-chain-notes-v152.webp,True,Explain how air resistance increases until it balances weight.
9I,visualTile4,Density calculations,assets/webp/9I-density-calculations-notes-v149.webp,True,Use density = mass ÷ volume and keep the units consistent.
9J,leadMedia,"Electromagnet, relay and motor overview",assets/webp/9J-electromagnet-relay-motor-overview-base.webp,True,"Use this to separate electromagnet strength, relay action and the motor effect."
9J,visualTile1,Static charge transfer,assets/webp/9J-static-charge-transfer-notes-v152.webp,True,Static charge is explained by electrons moving from one insulating object to another.
9J,visualTile2,Circuit symbols grid,assets/webp/9J-circuit-symbols-grid-notes-v2.webp,True,"Use this for identify questions on cells, lamps, switches, ammeters and voltmeters."
9J,visualTile3,Wire resistance investigation,assets/webp/9J-wire-resistance-investigation-notes-v152.webp,True,"Describe the method using independent, dependent and control variables."
9J,visualTile4,Current-voltage graphs,assets/webp/9J-current-voltage-graph-comparison-notes-v153.webp,True,A steeper line on an I-V graph means lower resistance for the same voltage.
9J,visualTile5,Simple motor effect,assets/webp/9J-motor-effect-simple-motor-notes-v3.webp,True,Use the v3 motor diagram for force on a current-carrying wire without confusing the axis of rotation.
