id,origin,sourceCardId,unit,domain,command,section,sectionFocus,marks,question,modelAnswer,formatSupport,retainedInWrittenExam
we-bio-state-photosynthesis-equation,curated-visual-bank,,9B,biology,state,Section A,Core knowledge,1,State the word equation for photosynthesis.,carbon dioxide + water → glucose + oxygen,curated,yes
we-bio-identify-glucose-uses,curated-visual-bank,,9B,biology,identify,Section A,Core knowledge,3,Use the glucose map. Identify three ways a plant can use glucose.,"Glucose can be used in respiration, stored as starch and used to make cellulose for cell walls. It can also be used to make lipids/oils and proteins with mineral ions.",curated,yes
we-bio-describe-photosynthesis-light-graph,curated-visual-bank,,9B,biology,describe,Section C,Data and calculations,3,Use the graph. Describe how light intensity affects the rate of photosynthesis.,"As light intensity increases, the rate of photosynthesis increases. At higher light intensity the graph levels off, so increasing light further does not increase the rate much. This is because another factor becomes limiting.",curated,yes
we-bio-explain-magnesium-deficiency,curated-visual-bank,,9B,biology,explain,Section B,Written reasoning,3,Explain why a plant may grow poorly if it does not get enough magnesium ions.,"Magnesium is needed to make chlorophyll. Chlorophyll absorbs light for photosynthesis. With less chlorophyll, the plant photosynthesises less and makes less glucose for growth.",curated,yes
we-bio-describe-natural-selection-giraffes,curated-visual-bank,,9A,biology,explain,Section B,Written reasoning,4,Use the giraffe image. Explain how natural selection could lead to longer necks becoming more common over many generations.,"There is variation in neck length in the giraffe population. Giraffes with longer necks can reach more food, so they are more likely to survive. They reproduce and pass on alleles for longer necks. Over many generations, long necks become more common in the population.",curated,yes
we-bio-describe-biodiversity-conservation,curated-visual-bank,,9A,biology,describe,Section B,Written reasoning,3,Use the biodiversity diagram. Describe two causes of extinction risk and one way biodiversity can be preserved.,"Habitat destruction and climate change can put species at risk of extinction. Biodiversity can be preserved using nature reserves, breeding programmes, hunting bans or seed/gene banks.",curated,yes
we-bio-explain-farming-method-impact,curated-visual-bank,,9B,biology,explain,Section B,Written reasoning,3,Use the farming table. Choose one farming method and explain one benefit and one environmental problem.,"Using fertilisers helps crops grow because it adds mineral ions to the soil. However, fertiliser runoff can enter rivers and cause algal growth, reducing oxygen and harming aquatic animals.",curated,yes
we-bio-describe-food-web-pesticide,curated-visual-bank,,9B,biology,describe,Section B,Written reasoning,3,Use the food web. Describe what may happen if pesticides reduce the number of insects.,"If insects decrease, animals that eat insects have less food and may decrease. Predators that feed on those animals may also decrease. This can affect the balance of the food web.",curated,yes
we-bio-explain-bioaccumulation-top-predator,curated-visual-bank,,9B,biology,explain,Section B,Written reasoning,3,Use the food-chain diagram. Explain why the top predator has the highest toxin concentration.,"Toxins build up in organisms and are passed along the food chain when organisms are eaten. Each predator eats many prey, so more toxin accumulates at each level. The top predator has the highest concentration because it is at the end of the food chain.",curated,yes
we-bio-identify-root-hair-adaptations,curated-visual-bank,,9B,biology,identify,Section A,Core knowledge,2,Use the root hair cell diagram. Identify two adaptations that help it absorb water and mineral ions.,Root hair cells have a long hair-like extension that gives a large surface area. They also have a thin cell wall/short diffusion distance for absorption.,curated,yes
we-bio-identify-leaf-transport-features,curated-visual-bank,,9B,biology,identify,Section A,Core knowledge,2,Use the plant transport diagram. Identify the tissue that carries water and the opening that lets carbon dioxide enter the leaf.,Xylem carries water through the plant. Stomata are openings that let carbon dioxide diffuse into the leaf.,curated,yes
we-chem-state-neutralisation-products,curated-visual-bank,,9F,chemistry,state,Section A,Core knowledge,1,State the products of a neutralisation reaction between an acid and an alkali.,The products are a salt and water.,curated,yes
we-chem-identify-state-symbols,curated-visual-bank,,9E,chemistry,identify,Section A,Core knowledge,2,Identify what the state symbols (s) and (aq) mean in chemical equations.,"(s) means solid. (aq) means aqueous, which means dissolved in water.",curated,yes
we-chem-describe-peer-review-process,curated-visual-bank,,9E,chemistry,describe,Section B,Written reasoning,3,Use the peer-review diagram. Describe the peer-review process in science.,"A scientist writes a paper and submits it to a scientific journal. The editor sends it to expert reviewers. The reviewers check the method, evidence, originality and conclusions before the paper is accepted, revised or rejected.",curated,yes
we-chem-identify-exothermic-endothermic,curated-visual-bank,,9E,chemistry,identify,Section A,Core knowledge,2,Use the two energy-transfer diagrams. Identify which change is exothermic and which is endothermic.,The diagram with energy transferred to the surroundings is exothermic. The diagram with energy taken in from the surroundings is endothermic.,curated,yes
we-chem-describe-displacement-reaction,curated-visual-bank,,9F,chemistry,describe,Section B,Written reasoning,3,Use the displacement reaction diagram. Describe what happens when magnesium is added to copper sulfate solution.,"Magnesium is more reactive than copper, so magnesium displaces copper from copper sulfate. Magnesium forms magnesium sulfate in solution. Copper forms as a solid deposit.",curated,yes
we-chem-explain-reactivity-extraction,curated-visual-bank,,9F,chemistry,explain,Section B,Written reasoning,3,Use the reactivity series. Explain why aluminium is extracted by electrolysis but iron can be extracted using carbon.,"Aluminium is more reactive than carbon, so carbon cannot remove oxygen from aluminium oxide. Aluminium must therefore be extracted by electrolysis. Iron is less reactive than carbon, so carbon can reduce iron oxide and extract iron.",curated,yes
we-chem-explain-thermite-redox,curated-visual-bank,,9F,chemistry,explain,Section B,Written reasoning,4,"In the thermite reaction, aluminium reacts with iron oxide to make aluminium oxide and iron. Explain which substance is oxidised and which is reduced.","Aluminium gains oxygen to form aluminium oxide, so aluminium is oxidised. Iron oxide loses oxygen to form iron, so iron oxide is reduced. Oxidation and reduction happen together in the reaction.",curated,yes
we-chem-describe-recycling-method,curated-visual-bank,,9E,chemistry,describe,Section B,Written reasoning,3,Use the recycling diagram. Describe how one material is recycled and give one benefit of recycling.,"Glass can be collected, sorted, crushed, melted and remade into new glass products. Recycling reduces landfill and reduces the need for new raw materials.",curated,yes
we-chem-identify-physical-chemical-change,curated-visual-bank,,9F,chemistry,identify,Section A,Core knowledge,2,Use the change diagrams. Identify one physical change and one chemical reaction.,"A physical change does not make a new substance. A chemical reaction makes a new substance, often shown by signs such as gas, colour change, heat/light or a precipitate.",curated,yes
we-phys-state-resultant-force,curated-visual-bank,,9I,physics,state,Section A,Core knowledge,1,State what is meant by the resultant force on an object.,The resultant force is the overall force on an object.,curated,yes
we-phys-describe-distance-time-graph,curated-visual-bank,,9I,physics,describe,Section C,Data and calculations,3,Use the distance-time graph. Describe the motion shown by the graph.,A sloping line means the object is moving at constant speed. A steeper line means a greater speed. A horizontal line means the object is stationary because the distance is not changing.,curated,yes
we-phys-describe-speed-time-graph,curated-visual-bank,,9I,physics,describe,Section C,Data and calculations,3,Use the speed-time graph. Describe the motion shown in the graph.,"The object accelerates at first because its speed increases. It then travels at constant speed when the line is horizontal above zero. If the line slopes down, the object decelerates.",curated,yes
we-phys-explain-terminal-velocity,curated-visual-bank,,9I,physics,explain,Section B,Written reasoning,4,Use the falling-object sequence. Explain why a falling object reaches terminal velocity.,"At first weight is greater than air resistance, so the object accelerates. As speed increases, air resistance increases. Eventually air resistance equals weight, so the resultant force is zero. The object then falls at constant speed, called terminal velocity.",curated,yes
we-phys-calculate-moment,curated-visual-bank,,9I,physics,calculate,Section C,Data and calculations,2,Use the balanced lever diagram. Calculate the missing distance on the right-hand side.,"Left moment = 240 × 2 = 480 N m. For balance, right moment = 480 N m. Distance = 480 ÷ 160 = 3 m.",curated,yes
we-phys-calculate-density-displacement,curated-visual-bank,,9I,physics,calculate,Section C,Data and calculations,3,Use the measuring cylinders. Calculate the density of the object in g/cm³.,"Initial volume = 35 cm³ and final volume = 60 cm³, so volume = 25 cm³. Density = 125 ÷ 25 = 5 g/cm³.",curated,yes
we-phys-explain-pressure-contact-area,curated-visual-bank,,9I,physics,explain,Section C,Data and calculations,3,Use the shoe diagrams. Explain which shoe produces the greater pressure on the ground.,"Both shoes have the same force, but shoe A has a smaller contact area. Pressure = force ÷ area, so the same force over a smaller area gives a greater pressure. Shoe A produces the greater pressure.",curated,yes
we-phys-identify-circuit-meters,curated-visual-bank,,9J,physics,identify,Section A,Core knowledge,2,Use the circuit diagram. Identify where an ammeter and a voltmeter should be connected.,"The ammeter should be connected in series, for example at position X or Z. The voltmeter should be connected in parallel across the lamp, at position Y.",curated,yes
