source_index,source_filename,topic,purpose,repo_path,width,height,integrated_mode,purpose_fit,question_safety
1,"ChatGPT Image May 11, 2026, 10_56_09 PM (1).png",Circuit symbols A-H matching grid,notes,assets/webp/9J-circuit-symbols-grid-notes-v2.webp,1600,1000,note:9J-circuits,class-note annotated version,not question-safe unless used only after reveal
2,"ChatGPT Image May 11, 2026, 10_56_09 PM (2).png",Circuit symbols A-H matching grid,blank,assets/webp/9J-circuit-symbols-grid-blank-v2.webp,1600,1000,card:y9x-138-9j-match-common-circuit-symbols-to-their-component-names; card:y9x-139-9j-which-label-shows-an-open-switch; card:y9x-140-9j-which-label-shows-a-closed-switch; card:y9x-141-9j-which-label-shows-a-resistor; card:y9x-142-9j-which-label-shows-a-voltmeter; card:y9x-143-9j-which-label-shows-an-ammeter; card:y9x-144-9j-which-label-shows-a-motor,question-safe blank version,usable in questions if labels match the card answer key
3,"ChatGPT Image May 11, 2026, 10_58_09 PM (1).png",Ammeter/voltmeter placement candidate positions,notes,assets/webp/9J-meter-placement-candidates-notes-v2.webp,1600,1000,note:9J-circuits,class-note annotated version,not question-safe unless used only after reveal
4,"ChatGPT Image May 11, 2026, 10_58_10 PM (2).png",Ammeter/voltmeter placement candidate positions,blank,assets/webp/9J-meter-placement-candidates-blank-v2.webp,1600,1000,card:y9x-149-9j-where-should-an-ammeter-go-to-measure-current-through-the-lamp; card:y9x-150-9j-where-should-a-voltmeter-go-to-measure-potential-difference-across-the-lamp,question-safe blank version,usable in questions if labels match the card answer key
5,"ChatGPT Image May 11, 2026, 11_01_24 PM (1).png",Current-voltage graph for two resistors A and B,notes,assets/webp/9J-current-voltage-resistors-ab-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
6,"ChatGPT Image May 11, 2026, 11_01_28 PM (2).png",Current-voltage graph for two resistors A and B,blank,assets/webp/9J-current-voltage-resistors-ab-blank-v2.webp,1600,1000,card:y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan,question-safe blank version,usable in questions if labels match the card answer key
7,"ChatGPT Image May 11, 2026, 11_03_21 PM (1).png",Continuous vs discontinuous variation,notes,assets/webp/9A-continuous-discontinuous-variation-notes-v2.webp,1600,1000,note:9A-variation,class-note annotated version,not question-safe unless used only after reveal
8,"ChatGPT Image May 11, 2026, 11_03_21 PM (2).png",Continuous vs discontinuous variation,blank,assets/webp/9A-continuous-discontinuous-variation-blank-v2.webp,1600,1000,card:y9-004-9a-what-sort-of-variation-is-shown-when-measurements-can-take-any-value-o; card:y9-008-9a-the-overall-bell-shape-on-a-continuous-variation-chart-is-called,question-safe blank version,usable in questions if labels match the card answer key
9,"ChatGPT Image May 11, 2026, 11_05_56 PM (1).png",DNA chromosome gene hierarchy,notes,assets/webp/9A-dna-chromosome-gene-hierarchy-notes-v2.webp,1600,1000,note:9A-inheritance,class-note annotated version,not question-safe unless used only after reveal
10,"ChatGPT Image May 11, 2026, 11_05_56 PM (2).png",DNA chromosome gene hierarchy,blank,assets/webp/9A-dna-chromosome-gene-hierarchy-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
11,"ChatGPT Image May 11, 2026, 11_07_43 PM (1).png","Polymers, monomers and composites",notes,assets/webp/9E-polymers-monomers-composites-notes-v2.webp,1600,1000,note:9E-composites,class-note annotated version,not question-safe unless used only after reveal
12,"ChatGPT Image May 11, 2026, 11_07_43 PM (2).png","Polymers, monomers and composites",blank,assets/webp/9E-polymers-monomers-composites-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
13,"ChatGPT Image May 11, 2026, 11_11_59 PM (1).png",Food web and population changes,notes,assets/webp/9B-food-web-population-changes-notes-v2.webp,1600,1000,note:9B-food-webs,class-note annotated version,not question-safe unless used only after reveal
14,"ChatGPT Image May 11, 2026, 11_12_00 PM (2).png",Food web and population changes,blank,assets/webp/9B-food-web-population-changes-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
15,"ChatGPT Image May 11, 2026, 11_15_10 PM (1).png",Carbon cycle source-style visual,notes,assets/webp/9B-carbon-cycle-source-style-notes-v2.webp,1600,1000,note:9B-food-webs,class-note annotated version,not question-safe unless used only after reveal
16,"ChatGPT Image May 11, 2026, 11_15_11 PM (2).png",Carbon cycle source-style visual,blank,assets/webp/9B-carbon-cycle-source-style-blank-v2.webp,1600,1000,card:y9x-095-9b-label-the-main-processes-in-the-carbon-cycle,question-safe blank version,usable in questions if labels match the card answer key
17,"ChatGPT Image May 11, 2026, 11_46_49 PM (1).png",Rusting conditions and rust prevention,notes,assets/webp/9F-rusting-conditions-prevention-notes-v2.webp,1600,1000,note:9F-rusting,class-note annotated version,not question-safe unless used only after reveal
18,"ChatGPT Image May 11, 2026, 11_46_50 PM (2).png",Rusting conditions and rust prevention,blank,assets/webp/9F-rusting-conditions-prevention-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
19,"ChatGPT Image May 11, 2026, 11_52_13 PM (1).png",Sacrificial protection of iron,notes,assets/webp/9F-sacrificial-protection-iron-notes-v2.webp,1600,1000,note:9F-rusting,class-note annotated version,not question-safe unless used only after reveal
20,"ChatGPT Image May 11, 2026, 11_52_13 PM (2).png",Sacrificial protection of iron,blank,assets/webp/9F-sacrificial-protection-iron-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
21,"ChatGPT Image May 12, 2026, 08_33_53 AM (1).png",Gas pressure and Brownian motion,notes,assets/webp/9E-gas-pressure-brownian-motion-notes-v2.webp,1600,1000,asset-library / reserve only,class-note annotated version,not question-safe unless used only after reveal
22,"ChatGPT Image May 12, 2026, 08_33_53 AM (2).png",Gas pressure and Brownian motion,blank,assets/webp/9E-gas-pressure-brownian-motion-blank-v2.webp,1600,1000,asset-library / reserve only,question-safe blank version,usable in questions if labels match the card answer key
