id,origin,sourceCardId,unit,domain,learningObjective,command,section,sectionFocus,marks,hasMedia,question
we-bio-state-photosynthesis-equation,curated-visual-bank,,9B,biology,,state,Section A,Core knowledge,1,no,State the word equation for photosynthesis.
we-bio-identify-glucose-uses,curated-visual-bank,,9B,biology,,identify,Section A,Core knowledge,3,yes,Use the glucose map. Identify three ways a plant can use glucose.
we-bio-describe-photosynthesis-light-graph,curated-visual-bank,,9B,biology,,describe,Section C,Data and calculations,3,yes,Use the graph. Describe how light intensity affects the rate of photosynthesis.
we-bio-explain-magnesium-deficiency,curated-visual-bank,,9B,biology,,explain,Section B,Written reasoning,3,no,Explain why a plant may grow poorly if it does not get enough magnesium ions.
we-bio-describe-natural-selection-giraffes,curated-visual-bank,,9A,biology,,explain,Section B,Written reasoning,4,yes,Use the giraffe image. Explain how natural selection could lead to longer necks becoming more common over many generations.
we-bio-describe-biodiversity-conservation,curated-visual-bank,,9A,biology,,describe,Section B,Written reasoning,3,yes,Use the biodiversity diagram. Describe two causes of extinction risk and one way biodiversity can be preserved.
we-bio-explain-farming-method-impact,curated-visual-bank,,9B,biology,,explain,Section B,Written reasoning,3,yes,Use the farming table. Choose one farming method and explain one benefit and one environmental problem.
we-bio-describe-food-web-pesticide,curated-visual-bank,,9B,biology,,describe,Section B,Written reasoning,3,yes,Use the food web. Describe what may happen if pesticides reduce the number of insects.
we-bio-explain-bioaccumulation-top-predator,curated-visual-bank,,9B,biology,,explain,Section B,Written reasoning,3,yes,Use the food-chain diagram. Explain why the top predator has the highest toxin concentration.
we-bio-identify-root-hair-adaptations,curated-visual-bank,,9B,biology,,identify,Section A,Core knowledge,2,yes,Use the root hair cell diagram. Identify two adaptations that help it absorb water and mineral ions.
we-bio-identify-leaf-transport-features,curated-visual-bank,,9B,biology,,identify,Section A,Core knowledge,2,yes,Use the plant transport diagram. Identify the tissue that carries water and the opening that lets carbon dioxide enter the leaf.
we-chem-state-neutralisation-products,curated-visual-bank,,9F,chemistry,,state,Section A,Core knowledge,1,no,State the products of a neutralisation reaction between an acid and an alkali.
we-chem-identify-state-symbols,curated-visual-bank,,9E,chemistry,,identify,Section A,Core knowledge,2,no,Identify what the state symbols (s) and (aq) mean in chemical equations.
we-chem-describe-peer-review-process,curated-visual-bank,,9E,chemistry,,describe,Section B,Written reasoning,3,yes,Use the peer-review diagram. Describe the peer-review process in science.
we-chem-identify-exothermic-endothermic,curated-visual-bank,,9E,chemistry,,identify,Section A,Core knowledge,2,yes,Use the two energy-transfer diagrams. Identify which change is exothermic and which is endothermic.
we-chem-describe-displacement-reaction,curated-visual-bank,,9F,chemistry,,describe,Section B,Written reasoning,3,yes,Use the displacement reaction diagram. Describe what happens when magnesium is added to copper sulfate solution.
we-chem-explain-reactivity-extraction,curated-visual-bank,,9F,chemistry,,explain,Section B,Written reasoning,3,yes,Use the reactivity series. Explain why aluminium is extracted by electrolysis but iron can be extracted using carbon.
we-chem-explain-thermite-redox,curated-visual-bank,,9F,chemistry,,explain,Section B,Written reasoning,4,yes,"In the thermite reaction, aluminium reacts with iron oxide to make aluminium oxide and iron. Explain which substance is oxidised and which is reduced."
we-chem-describe-recycling-method,curated-visual-bank,,9E,chemistry,,describe,Section B,Written reasoning,3,yes,Use the recycling diagram. Describe how one material is recycled and give one benefit of recycling.
we-chem-identify-physical-chemical-change,curated-visual-bank,,9F,chemistry,,identify,Section A,Core knowledge,2,yes,Use the change diagrams. Identify one physical change and one chemical reaction.
we-phys-state-resultant-force,curated-visual-bank,,9I,physics,,state,Section A,Core knowledge,1,no,State what is meant by the resultant force on an object.
we-phys-describe-distance-time-graph,curated-visual-bank,,9I,physics,,describe,Section C,Data and calculations,3,yes,Use the distance-time graph. Describe the motion shown by the graph.
we-phys-describe-speed-time-graph,curated-visual-bank,,9I,physics,,describe,Section C,Data and calculations,3,yes,Use the speed-time graph. Describe the motion shown in the graph.
we-phys-explain-terminal-velocity,curated-visual-bank,,9I,physics,,explain,Section B,Written reasoning,4,yes,Use the falling-object sequence. Explain why a falling object reaches terminal velocity.
we-phys-calculate-moment,curated-visual-bank,,9I,physics,,calculate,Section C,Data and calculations,2,yes,Use the balanced lever diagram. Calculate the missing distance on the right-hand side.
we-phys-calculate-density-displacement,curated-visual-bank,,9I,physics,,calculate,Section C,Data and calculations,3,yes,Use the measuring cylinders. Calculate the density of the object in g/cm³.
we-phys-explain-pressure-contact-area,curated-visual-bank,,9I,physics,,explain,Section C,Data and calculations,3,yes,Use the shoe diagrams. Explain which shoe produces the greater pressure on the ground.
we-phys-identify-circuit-meters,curated-visual-bank,,9J,physics,,identify,Section A,Core knowledge,2,yes,Use the circuit diagram. Identify where an ammeter and a voltmeter should be connected.
we-phys-explain-wire-resistance-investigation,curated-visual-bank,,9J,physics,,describe,Section B,Written reasoning,4,yes,Use the practical setup. Describe how to investigate how wire length affects resistance.
we-phys-compare-current-voltage-resistance,curated-visual-bank,,9J,physics,,explain,Section C,Data and calculations,3,yes,Use the current-voltage graph. Explain which component has the greater resistance.
we-phys-explain-static-charge-transfer,curated-visual-bank,,9J,physics,,explain,Section B,Written reasoning,3,yes,Use the static-charge diagram. Explain how one object becomes negatively charged after rubbing.
we-phys-describe-electromagnet-strength,curated-visual-bank,,9J,physics,,describe,Section B,Written reasoning,3,yes,Use the electromagnet diagram. Describe two ways to make the electromagnet stronger and explain one of them.
derived-y9-093-9i-for-a-lever-the-pivot-is-also-called-the,open-answer-card,y9-093-9i-for-a-lever-the-pivot-is-also-called-the,9I,physics,9I-moments,identify,Section A,Core knowledge,1,yes,"In the labelled lever diagram, what is label Y also called?"
derived-y9-229-9a-describe-what-environmental-variation-is,open-answer-card,y9-229-9a-describe-what-environmental-variation-is,9A,biology,9A-variation,describe,Section B,Written reasoning,2,no,Describe what environmental variation is.
derived-y9-232-9a-define-classification,open-answer-card,y9-232-9a-define-classification,9A,biology,9A-variation,explain,Section B,Written reasoning,3,no,Why do scientists classify organisms using similarities and differences?
derived-y9-233-9a-define-species,open-answer-card,y9-233-9a-define-species,9A,biology,9A-variation,explain,Section B,Written reasoning,3,no,"Two animals can mate, but their offspring are not fertile. Why would scientists not count them as the same species?"
derived-y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,open-answer-card,y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,9A,biology,9A-variation,explain,Section B,Written reasoning,3,no,Explain how environmental variation can cause problems with classification.
derived-y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,open-answer-card,y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,9A,biology,9A-variation,describe,Section B,Written reasoning,2,no,Describe what happens during fertilisation and what is formed.
derived-y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,open-answer-card,y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,9A,biology,9A-inheritance,describe,Section B,Written reasoning,2,yes,"Describe how chromosomes, DNA and genes are linked together."
derived-y9-237-9a-state-three-ways-we-can-preserve-biodiversity,open-answer-card,y9-237-9a-state-three-ways-we-can-preserve-biodiversity,9A,biology,9A-inheritance,state,Section A,Core knowledge,1,no,State three ways we can preserve biodiversity.
derived-y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,open-answer-card,y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,9B,biology,9B-plant-transport,state,Section A,Core knowledge,1,no,State where a plant gets the reactants it needs for photosynthesis.
derived-y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,open-answer-card,y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,9B,biology,9B-plant-transport,describe,Section B,Written reasoning,2,no,Describe what happens to the products of photosynthesis.
derived-y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,open-answer-card,y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,biology,9B-photosynthesis,state,Section A,Core knowledge,2,no,Suggest when photosynthesis might occur in plants.
derived-y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,open-answer-card,y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,9B,biology,9B-plant-transport,describe,Section B,Written reasoning,2,yes,Describe the route water takes from soil to a leaf.
derived-y9-248-9b-suggest-why-seeds-need-starch,open-answer-card,y9-248-9b-suggest-why-seeds-need-starch,9B,biology,9B-plant-products,explain,Section B,Written reasoning,3,yes,Suggest why seeds need starch.
derived-y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,open-answer-card,y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,9E,chemistry,9E-environment,state,Section A,Core knowledge,1,no,"Design-poster prompt: list what a Year 9 poster on ceramics, polymers and composites should include."
derived-y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,open-answer-card,y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,9E,chemistry,9E-ceramics,explain,Section B,Written reasoning,3,no,Explain how properties of ceramics link to bonding and structure.
derived-y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,open-answer-card,y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,9E,chemistry,9E-composites,explain,Section B,Written reasoning,3,yes,Explain why composites often have better properties than their separate materials.
derived-y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,open-answer-card,y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,9E,chemistry,9E-environment,explain,Section B,Written reasoning,3,no,Explain one environmental problem caused by making materials.
derived-y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,open-answer-card,y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,9F,chemistry,9F-extraction,explain,Section B,Written reasoning,3,no,Why is a metal oxide reduced when carbon extracts a metal?
derived-y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,open-answer-card,y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,9F,chemistry,9F-extraction,explain,Section B,Written reasoning,3,no,Explain why aluminium is extracted by electrolysis rather than carbon reduction.
derived-y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,open-answer-card,y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,9F,chemistry,9F-rusting,explain,Section B,Written reasoning,3,yes,Explain why rusting is a problem and name two prevention methods.
derived-y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,open-answer-card,y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,9I,physics,9I-moments,describe,Section B,Written reasoning,2,no,"Describe how to raise a large upright stone using levers, moments and ramps."
derived-y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,open-answer-card,y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,9I,physics,9I-energy-work,explain,Section B,Written reasoning,3,no,Explain why a shallow ramp needs less force but more distance.
derived-y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,open-answer-card,y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,9I,physics,9I-forces,calculate,Section C,Data and calculations,2,no,Calculate the weight of a 54 kg person on Earth where g = 10 N/kg.
derived-y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,open-answer-card,y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,9I,physics,9I-forces,calculate,Section C,Data and calculations,2,no,A 96 kg person is on a planet where g = 14 N/kg. Calculate weight.
derived-y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,open-answer-card,y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,9I,physics,9I-forces,calculate,Section C,Data and calculations,2,no,A person weighs 1220 N on Earth where g = 10 N/kg. Calculate mass.
derived-y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,open-answer-card,y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,9J,physics,9J-electromagnets,explain,Section B,Written reasoning,3,yes,How can the strength of an electromagnet be increased?
derived-y9-265-9j-describe-the-difference-between-current-and-voltage,open-answer-card,y9-265-9j-describe-the-difference-between-current-and-voltage,9J,physics,9J-static,describe,Section C,Data and calculations,2,yes,Describe the difference between current and voltage / potential difference.
derived-y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,open-answer-card,y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,9J,physics,9J-resistance,explain,Section B,Written reasoning,3,no,Explain why plastic handles are safe on electrical wires.
derived-y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,open-answer-card,y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,9J,physics,9J-resistance,describe,Section C,Data and calculations,2,yes,Describe how to test whether resistance depends on wire length.
derived-y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,open-answer-card,y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,9I,physics,9I-energy-work,calculate,Section C,Data and calculations,2,no,A force of 40 N moves a box 3 m. Calculate work done.
derived-y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,open-answer-card,y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,9I,physics,9I-moments,calculate,Section C,Data and calculations,2,no,A 5 N force acts 0.4 m from a pivot. Calculate the moment.
derived-y9x-002-9a-outline-why-dinosaurs-became-extinct,open-answer-card,y9x-002-9a-outline-why-dinosaurs-became-extinct,9A,biology,9A-variation,explain,Section B,Written reasoning,3,no,Outline why dinosaurs became extinct.
derived-y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,open-answer-card,y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,9A,biology,9A-evolution,explain,Section B,Written reasoning,3,no,"Use evidence to explain how scientists can infer something about Triceratops, such as whether it was prey."
derived-y9x-004-9a-identify-examples-of-environmental-variation,open-answer-card,y9x-004-9a-identify-examples-of-environmental-variation,9A,biology,9A-variation,identify,Section A,Core knowledge,1,no,Identify examples of environmental variation.
derived-y9x-005-9a-identify-examples-of-inherited-variation,open-answer-card,y9x-005-9a-identify-examples-of-inherited-variation,9A,biology,9A-inheritance,identify,Section A,Core knowledge,1,no,Identify examples of inherited variation.
derived-y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,open-answer-card,y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,9A,biology,9A-biodiversity,explain,Section B,Written reasoning,3,no,Explain how changes in an ecosystem can cause extinction.
derived-y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,open-answer-card,y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,9A,biology,9A-evolution,identify,Section A,Core knowledge,1,yes,Identify adaptations of Triceratops that could be labelled on a model.
derived-y9x-008-9a-explain-how-environmental-variation-is-caused,open-answer-card,y9x-008-9a-explain-how-environmental-variation-is-caused,9A,biology,9A-variation,explain,Section B,Written reasoning,3,no,Explain how environmental variation is caused.
derived-y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,open-answer-card,y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,9A,biology,9A-inheritance,describe,Section B,Written reasoning,2,no,Outline how some variation is inherited from parents.
derived-y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,open-answer-card,y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,9A,biology,9A-evolution,explain,Section B,Written reasoning,3,no,Explain how Triceratops adaptations helped survival.
derived-y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,open-answer-card,y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,9A,biology,9A-evolution,explain,Section B,Written reasoning,3,yes,Identify and explain Triceratops adaptations beyond the obvious labels.
derived-y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,open-answer-card,y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,9A,biology,9A-inheritance,describe,Section B,Written reasoning,2,yes,"Describe the relationship between cells, nuclei, chromosomes, genes, DNA and genetic information."
derived-y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,open-answer-card,y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,9A,biology,9A-inheritance,describe,Section B,Written reasoning,2,no,Describe how variation in adaptations affects survival within a species.
derived-y9x-015-9a-explain-how-natural-selection-works,open-answer-card,y9x-015-9a-explain-how-natural-selection-works,9A,biology,9A-inheritance,explain,Section B,Written reasoning,3,no,Explain how natural selection works.
derived-y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,open-answer-card,y9x-021-9b-describe-photosynthesis-in-terms-of-reactants-products-and-energy-source,9B,biology,9B-photosynthesis,describe,Section B,Written reasoning,2,no,"Describe photosynthesis in terms of reactants, products and energy source."
derived-y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,open-answer-card,y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis,9B,biology,9B-plant-transport,explain,Section B,Written reasoning,3,yes,"Explain how leaves, roots and stems help photosynthesis."
derived-y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,open-answer-card,y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well,9B,biology,9B-plant-products,explain,Section B,Written reasoning,3,yes,Explain how fertilisers help crop plants grow well.
derived-y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,open-answer-card,y9x-027-9b-explain-what-happens-when-plants-lack-water-or-mineral-salts,9B,biology,9B-plant-transport,explain,Section B,Written reasoning,3,no,Explain what happens when plants lack water or mineral salts.
derived-y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,open-answer-card,y9x-029-9b-explain-that-chlorophyll-traps-energy-transferred-by-light,9B,biology,9B-photosynthesis,explain,Section B,Written reasoning,3,no,Explain that chlorophyll traps energy transferred by light.
derived-y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,open-answer-card,y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle,9B,biology,9B-plant-products,explain,Section B,Written reasoning,3,yes,Explain how farming can change the carbon cycle.
derived-y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,open-answer-card,y9x-031-9b-explain-problems-caused-by-fertilisers-including-effects-on-fish-in-lakes,9B,biology,9B-plant-products,explain,Section B,Written reasoning,3,no,"Explain problems caused by fertilisers, including effects on fish in lakes."
derived-y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,open-answer-card,y9x-032-9b-explain-problems-caused-by-pesticides-including-persistent-insecticides,9B,biology,9B-food-webs,explain,Section B,Written reasoning,3,no,"Explain problems caused by pesticides, including persistent insecticides."
derived-y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,open-answer-card,y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,9B,biology,9B-photosynthesis,describe,Section B,Written reasoning,2,yes,Describe how limiting factors stop photosynthesis rate increasing.
derived-y9x-034-9e-name-common-conductors-and-insulators,open-answer-card,y9x-034-9e-name-common-conductors-and-insulators,9E,chemistry,9E-polymers,state,Section A,Core knowledge,1,yes,Name common conductors and insulators.
derived-y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,open-answer-card,y9x-036-9e-name-examples-of-ceramic-polymer-and-composite-materials,9E,chemistry,9E-polymers,state,Section A,Core knowledge,1,no,"Name examples of ceramic, polymer and composite materials."
derived-y9x-038-9e-describe-the-difference-between-biodegradable-and-non-biodegradable-polymers,open-answer-card,y9x-038-9e-describe-the-difference-between-biodegradable-and-non-biodegradable-polymers,9E,chemistry,9E-polymers,describe,Section B,Written reasoning,2,no,Describe the difference between biodegradable and non-biodegradable polymers.
derived-y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,open-answer-card,y9x-039-9e-describe-pollution-problems-caused-by-burning-fossil-fuels,9E,chemistry,9E-environment,describe,Section B,Written reasoning,2,no,Describe pollution problems caused by burning fossil fuels.
