id,unit,old_question,new_question,old_command,new_command,old_marks,new_marks,action,source_quality,source
y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,Suggest when photosynthesis might occur in plants.,State the conditions needed for photosynthesis to occur in plants.,explain,state,2,2,promoted from written-review to written-main,progress-check-derived,9B Plant Growth PPT progress check slide 14
y9-253-9f-prepare-a-talk-what-should-be-included-on-extracting-iron-and-preventi,9F,Prepare a talk: what should be included on extracting iron and preventing rusting?,Prepare a talk: what should be included on extracting iron and preventing rusting?,state,split-source-retired,2,0,retained as study card; removed from exam pool and split into two exam prompts,progress-check-derived,9F assess yourself
y9x-026-9b-use-word-equations-for-photosynthesis-and-aerobic-respiration,9B,Use word equations for photosynthesis and aerobic respiration.,Write the word equations for photosynthesis and aerobic respiration.,describe,state,2,2,promoted from written-review to written-main,success-criterion-derived,9B assess-yourself success criterion 11
y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,9E,"Link uses of ceramics, polymers and composites to their properties.","Describe how the properties of ceramics, polymers and composites affect their uses.",describe,describe,2,3,promoted from written-review to written-main,success-criterion-derived,9E assess-yourself success criterion 10
y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,9E,"Justify using a ceramic, polymer or composite for a particular use.","Explain why a named ceramic, polymer or composite is suitable for a particular use.",explain,explain,2,2,promoted from written-review to written-main,success-criterion-derived,9E assess-yourself success criterion 14
y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,9E,Classify exothermic and endothermic reactions by temperature change and energy transfer.,Identify whether each reaction is exothermic or endothermic from the temperature change and energy transfer shown.,identify,identify,2,2,promoted from written-review to written-main,success-criterion-derived,9E assess-yourself success criterion 17
y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,9E,Suggest ways to reduce global warming and acid rain impacts.,"State two ways to reduce global warming or acid-rain impacts, then explain one of them.",explain,explain,2,3,promoted from written-review to written-main,success-criterion-derived,9E assess-yourself success criterion 19
y9x-067-9f-use-balanced-equations-to-represent-reactions,9F,Use balanced equations to represent reactions.,Explain what a balanced chemical equation shows about atoms on each side of the equation.,state,explain,2,2,promoted from written-review to written-main,success-criterion-derived,9F assess-yourself success criterion 15
y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,9B,Put the main stages of germination into a logical order.,Describe the main stages of germination in the correct order.,describe,describe,2,3,promoted from written-review to written-main,progress-check-derived,9B Plant Growth PPT slide 67
y9x-092-9b-define-biodiversity,9B,A pesticide reduces the number of insect species living in a field. What has happened to biodiversity in that area?,Explain how using a pesticide could reduce biodiversity in a field.,state,explain,2,2,promoted from written-review to written-main,progress-check-derived,9B Plant Growth PPT slide 95
y9x-113-9j-plan-an-investigation-into-how-wire-thickness-affects-resistance,9J,Plan an investigation into how wire thickness affects resistance.,"Describe a method to investigate how wire thickness affects resistance. Include what to change, measure and control.",explain,describe,2,4,promoted from written-review to written-main,progress-check-derived,9Jd Resistance PPT objective
y9x-118-9j-predict-how-changing-current-magnetic-field-strength-or-current-direction-affect,9J,"Predict how changing current, magnetic field strength or current direction affects a motor.","Describe how changing the current, magnetic-field strength or current direction affects the force on a motor coil.",explain,describe,2,3,promoted from written-review to written-main,progress-check-derived,9Je Electromagnets PPT slide 8
y9x-138-9j-match-common-circuit-symbols-to-their-component-names,9J,"Use the circuit symbol grid. Match labels A–H to these components: cell, battery, open switch, closed switch, lamp, resistor, ammeter and voltmeter.",Identify the circuit components labelled A–H in the symbol grid.,identify,identify,2,4,promoted from written-review to written-main,revision-pack-aligned-visual-practice,9Jc Current Electricity PPT / revision pack circuit-symbol coverage
y9x-148-9j-compare-current-and-voltage-in-the-two-circuits,9J,Use the circuit diagrams. Compare how current and voltage behave in Circuit A and Circuit B.,Describe how current and voltage behave in a series circuit and a parallel circuit.,state,describe,2,4,promoted from written-review to written-main,revision-pack-aligned-visual-practice,9Jc Current Electricity PPT / series and parallel circuits
