index,unit,topic,asset_type,decision,assessment,recommended_repo_path,duplicate_note,source_filename
1,9I,Pressure in fluids,notes,skip/rework,Too dense; includes too much text and advanced-looking formula work; not the best replacement. Prefer #5/#7 pair.,Do not integrate except as reference.,,"ChatGPT Image May 11, 2026, 01_18_23 PM.png"
2,9I,Liquid pressure with depth,blank,integrate,Excellent clean visual showing side jets increasing with depth. Good question-safe image.,assets/webp/9I-liquid-pressure-depth-blank.webp,,"ChatGPT Image May 11, 2026, 01_18_38 PM.png"
3,9E,Greenhouse effect,notes,integrate,Strong class-note image. Baked notes are clearer than live overlay; use as annotated notes version.,assets/webp/9E-greenhouse-effect-notes.webp,,"ChatGPT Image May 11, 2026, 02_10_27 PM (1).png"
4,9E,Greenhouse effect,blank,integrate,Strong blank version for question/practice modes.,assets/webp/9E-greenhouse-effect-blank.webp,,"ChatGPT Image May 11, 2026, 02_10_28 PM (2).png"
5,9I,Pressure in fluids,notes,integrate,"Best pressure class-note candidate: force/area, depth pressure, upthrust/floating in one coherent layout.",assets/webp/9I-pressure-fluids-notes.webp,duplicate of #6,"ChatGPT Image May 11, 2026, 02_30_24 PM (1).png"
6,9I,Pressure in fluids,notes,skip duplicate,Exact duplicate of #5.,,duplicate of #5,"ChatGPT Image May 11, 2026, 02_30_25 PM (1).png"
7,9I,Pressure in fluids,blank,integrate,Good blank/question-safe pressure counterpart.,assets/webp/9I-pressure-fluids-blank.webp,duplicate of #8,"ChatGPT Image May 11, 2026, 02_30_27 PM (2) (1).png"
8,9I,Pressure in fluids,blank,skip duplicate,Exact duplicate of #7.,,duplicate of #7,"ChatGPT Image May 11, 2026, 02_30_27 PM (2).png"
9,9E,Heating and cooling / changes of state,notes,integrate after mobile check,"Good concept image: lab setup + particles + heating/cooling. Text density is moderate; likely fine for class notes, but check on phone.",assets/webp/9E-heating-cooling-notes.webp,,"ChatGPT Image May 11, 2026, 02_39_09 PM (1).png"
10,9E,Heating and cooling / changes of state,blank,integrate,Good blank version for questions.,assets/webp/9E-heating-cooling-blank.webp,,"ChatGPT Image May 11, 2026, 02_39_09 PM (2).png"
11,9F/9E,Exothermic vs endothermic,notes,integrate,"Clear split-screen, strong for class notes.",assets/webp/9F-exothermic-endothermic-notes.webp,,"ChatGPT Image May 11, 2026, 03_08_52 PM (1).png"
12,9F/9E,Exothermic vs endothermic,blank,integrate,Good question-safe visual.,assets/webp/9F-exothermic-endothermic-blank.webp,,"ChatGPT Image May 11, 2026, 03_08_53 PM (2).png"
13,9F,Combustion / fire triangle,notes,integrate after text crop/check,Conceptually useful but busy. Use in class notes only; consider a tighter version if mobile text is too small.,assets/webp/9F-combustion-fire-triangle-notes.webp,,"ChatGPT Image May 11, 2026, 03_25_01 PM (1).png"
14,9F,Combustion / fire triangle,blank,integrate,Good clean blank image for question mode.,assets/webp/9F-combustion-fire-triangle-blank.webp,,"ChatGPT Image May 11, 2026, 03_25_01 PM (2).png"
15,9F,Collision theory / rate of reaction,notes,revise before integrating,"Too busy; too many small note boxes. Better than SVG, but likely overloaded on mobile.",assets/webp/9F-collision-theory-notes.webp,use only if no better version,"ChatGPT Image May 11, 2026, 03_32_23 PM (1).png"
16,9F,Collision theory / rate of reaction,blank,integrate,Clean particle-comparison base. Good for question prompts and class-note background.,assets/webp/9F-collision-theory-blank.webp,,"ChatGPT Image May 11, 2026, 03_32_23 PM (2).png"
17,9B,Farming yield vs sustainability,notes,integrate after mobile check,Good class-note visual; slightly text-heavy but matches benefit/problem goal.,assets/webp/9B-farming-yield-sustainability-notes.webp,,"ChatGPT Image May 11, 2026, 03_42_27 PM (1).png"
18,9B,Farming yield vs sustainability,blank,integrate,Good blank counterpart.,assets/webp/9B-farming-yield-sustainability-blank.webp,,"ChatGPT Image May 11, 2026, 03_42_27 PM (2).png"
19,9E,Recycling methods by material,notes,integrate after mobile check,Strong four-material visual; text density acceptable for class notes if displayed large.,assets/webp/9E-recycling-methods-notes.webp,,"ChatGPT Image May 11, 2026, 03_45_40 PM (1).png"
20,9E,Recycling methods by material,blank,integrate,Good blank/question-safe version.,assets/webp/9E-recycling-methods-blank.webp,,"ChatGPT Image May 11, 2026, 03_45_40 PM (2).png"
21,9J,Wire resistance investigation,notes,integrate,Very good replacement for weak SVG; clear lab setup and fair-test notes.,assets/webp/9J-wire-resistance-investigation-notes.webp,,"ChatGPT Image May 11, 2026, 03_50_15 PM (1).png"
22,9J,Wire resistance investigation,blank,integrate,Good question-safe lab setup.,assets/webp/9J-wire-resistance-investigation-blank.webp,,"ChatGPT Image May 11, 2026, 03_50_15 PM (2).png"
23,9J,Ammeter and voltmeter placement,notes,integrate,Clean and useful. Confirm lamp/cell symbols remain standard after conversion; otherwise suitable.,assets/webp/9J-meter-placement-notes.webp,,"ChatGPT Image May 11, 2026, 04_00_41 PM (1).png"
24,9J,Ammeter and voltmeter placement,blank,integrate,Good blank circuit for questions.,assets/webp/9J-meter-placement-blank.webp,,"ChatGPT Image May 11, 2026, 04_00_42 PM (2).png"
25,9F,Periodic table navigator,notes,integrate after mobile check,"Good concept, but many tiny callouts. Use for class notes; consider simplifying if unreadable on iPhone.",assets/webp/9F-periodic-table-navigator-notes.webp,,"ChatGPT Image May 11, 2026, 04_04_53 PM (1).png"
26,9F,Periodic table navigator,blank,integrate,Good blank periodic table for questions/identification.,assets/webp/9F-periodic-table-navigator-blank.webp,,"ChatGPT Image May 11, 2026, 04_04_53 PM (2).png"
27,9B,Seed lifecycle,notes,integrate after mobile check,Good biological sequence; text is a bit small but class-note value is high.,assets/webp/9B-seed-lifecycle-notes.webp,,"ChatGPT Image May 11, 2026, 05_29_36 PM (1).png"
28,9B,Seed lifecycle,blank,integrate,Good blank sequence for question-safe use.,assets/webp/9B-seed-lifecycle-blank.webp,,"ChatGPT Image May 11, 2026, 05_29_36 PM (2).png"
29,9E,Thermal conductors vs insulators,notes,integrate,Strong class-note image. Good real-world thermal comparison.,assets/webp/9E-thermal-conductors-insulators-notes.webp,duplicate of #31,"ChatGPT Image May 11, 2026, 05_32_28 PM (1).png"
30,9E,Thermal conductors vs insulators,blank,integrate,Good blank version.,assets/webp/9E-thermal-conductors-insulators-blank.webp,duplicate of #32,"ChatGPT Image May 11, 2026, 05_32_28 PM (2).png"
31,9E,Thermal conductors vs insulators,notes,skip duplicate,Exact duplicate of #29.,,duplicate of #29,"ChatGPT Image May 11, 2026, 05_32_42 PM (1).png"
32,9E,Thermal conductors vs insulators,blank,skip duplicate,Exact duplicate of #30.,,duplicate of #30,"ChatGPT Image May 11, 2026, 05_32_43 PM (2).png"
33,9I,Distance-time graph,notes,integrate,Good technical note graphic; graphs can remain image/chart style.,assets/webp/9I-distance-time-graph-notes.webp,,"ChatGPT Image May 11, 2026, 07_14_27 PM (1).png"
34,9I,Distance-time graph,blank,integrate,Good question-safe graph.,assets/webp/9I-distance-time-graph-blank.webp,,"ChatGPT Image May 11, 2026, 07_14_27 PM (2).png"
35,9I,Speed-time graph,notes,integrate,Good technical note graphic.,assets/webp/9I-speed-time-graph-notes.webp,,"ChatGPT Image May 11, 2026, 07_14_29 PM (3).png"
36,9I,Speed-time graph,blank,integrate,Good question-safe graph.,assets/webp/9I-speed-time-graph-blank.webp,,"ChatGPT Image May 11, 2026, 07_14_30 PM (4).png"
37,9B,Photosynthesis light-intensity graph,notes,integrate,Good technical graph; improves current SVG feel.,assets/webp/9B-photosynthesis-light-graph-notes.webp,,"ChatGPT Image May 11, 2026, 07_14_30 PM (5).png"
38,9B,Photosynthesis light-intensity graph,blank,integrate,Good blank graph for questions.,assets/webp/9B-photosynthesis-light-graph-blank.webp,,"ChatGPT Image May 11, 2026, 07_14_31 PM (6).png"
39,9J,Current-voltage graphs,notes,integrate,"Good class-note graph showing ohmic resistor, filament lamp and diode.",assets/webp/9J-current-voltage-graphs-notes.webp,,"ChatGPT Image May 11, 2026, 07_14_32 PM (7).png"
40,9J,Current-voltage graphs,blank,integrate,Good question-safe graph set.,assets/webp/9J-current-voltage-graphs-blank.webp,,"ChatGPT Image May 11, 2026, 07_14_33 PM (8).png"
41,9J,Common circuit symbols,notes,integrate,Good reference chart. Keep for class notes or label-matching prep.,assets/webp/9J-circuit-symbols-notes.webp,,"ChatGPT Image May 11, 2026, 07_14_33 PM (9).png"
42,9J,Circuit symbols matching,blank,integrate,Good question-safe matching graphic.,assets/webp/9J-circuit-symbols-matching-blank.webp,,"ChatGPT Image May 11, 2026, 07_14_34 PM (10).png"
43,Mixed,Calculation formula guide,notes,integrate cautiously,"Useful study support, but more cross-unit/math-support than class-note concept image. Keep in calculation/support notes.",assets/webp/science-formula-rearrange-guide-notes.webp,,"ChatGPT Image May 11, 2026, 07_29_56 PM (1).png"
44,Mixed,Calculation diagram blanks,blank,integrate cautiously,"Useful for calculation-builder prompts, less useful as class-note visual.",assets/webp/science-calculation-diagram-blank.webp,,"ChatGPT Image May 11, 2026, 07_29_57 PM (2).png"
45,9I,Sankey diagram / efficiency,notes,integrate,Good technical note image; clear energy flow and wasted/useful energy.,assets/webp/9I-sankey-efficiency-notes.webp,,"ChatGPT Image May 11, 2026, 07_30_00 PM (3).png"
46,9I,Sankey diagram / efficiency,blank,integrate,Good question-safe Sankey.,assets/webp/9I-sankey-efficiency-blank.webp,,"ChatGPT Image May 11, 2026, 07_30_01 PM (4).png"
