id,unit,type,level,learningObjectiveTitle,question,answer,source,sourceRegistryIds,sourceExcerpt,sourceUrls
y9cgp-001-I-pressure-define-pressure,9I,Vocabulary,1,Pressure in fluids,Define: pressure,Pressure is the effect of a force acting over an area.,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,Pressure = force over area.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-002-I-pressure-define-upthrust,9I,Vocabulary,1,Pressure in fluids,Define: upthrust,Upthrust is an upward force caused by pressure in a fluid.,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,Upthrust is a force acting upwards due to pressure.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-003-I-pressure-which-equation-links-pressure-force-and-area,9I,Quick quiz,1,Pressure in fluids,"Which equation links pressure, force and area?",B,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,Pressure = force ÷ area.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-004-I-pressure-calculate-the-pressure-when-a-120-n-force-acts-on-an-area-of,9I,Calculation,2,Pressure in fluids,Calculate the pressure when a 120 N force acts on an area of 0.50 m².,240 Pa,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-005-I-pressure-a-force-of-60-n-produces-a-pressure-of-300-pa-calculate-the-,9I,Calculation,3,Pressure in fluids,A force of 60 N produces a pressure of 300 Pa. Calculate the area.,0.20 m²,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-006-I-pressure-describe-how-liquid-pressure-changes-with-depth,9I,Progress check,2,Pressure in fluids,Describe how liquid pressure changes with depth.,Liquid pressure increases with depth because there is more liquid above pushing down.,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,Pressure in liquid increases with depth.,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-007-I-pressure-why-does-a-dam-wall-need-to-be-stronger-near-the-bottom,9I,Apply check,3,Pressure in fluids,Why does a dam wall need to be stronger near the bottom?,"The pressure is greater at greater depth, so the bottom of the dam must resist a larger force from the water.",CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-008-I-pressure-a-drawing-shows-arrows-from-water-pushing-sideways-on-a-deep,9I,Quick quiz,2,Pressure in fluids,A drawing shows arrows from water pushing sideways on a deep wall. Which arrows should usually be longest?,D,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-009-I-pressure-describe-how-atmospheric-pressure-changes-with-height,9I,Progress check,2,Pressure in fluids,Describe how atmospheric pressure changes with height.,Atmospheric pressure decreases with height because there is less air above pushing down.,CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
y9cgp-010-I-pressure-why-can-a-large-ship-float-even-though-it-is-made-from-dense,9I,Apply check,3,Pressure in fluids,Why can a large ship float even though it is made from dense metal?,"Its hollow shape displaces a large volume of water, so the upthrust can balance the ship’s weight.",CGP KS3 Science syllabus map Year 9 Topic 1 Pressure; Oak pressure/floating lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-PRESSURE;OAK-FLOATING,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/pressure-at-different-depths-and-heights;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/hidden-forces/lessons/floating-mass-and-shape
