cardId,action,src
y9-004-9a-what-sort-of-variation-is-shown-when-measurements-can-take-any-value-o,media-updated,assets/webp/9A-continuous-discontinuous-variation-blank-v2.webp
y9-008-9a-the-overall-bell-shape-on-a-continuous-variation-chart-is-called,media-updated,assets/webp/9A-continuous-discontinuous-variation-blank-v2.webp
y9x-095-9b-label-the-main-processes-in-the-carbon-cycle,media-updated,assets/webp/9B-carbon-cycle-source-style-blank-v2.webp
y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan,media-updated,assets/webp/9J-current-voltage-resistors-ab-blank-v2.webp
y9x-138-9j-match-common-circuit-symbols-to-their-component-names,media-updated,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-139-9j-which-label-shows-an-open-switch,media-updated,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-140-9j-which-label-shows-a-closed-switch,media-updated,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-141-9j-which-label-shows-a-resistor,media-updated,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-142-9j-which-label-shows-a-voltmeter,media-updated,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-143-9j-which-label-shows-an-ammeter,media-updated,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-144-9j-which-label-shows-a-motor,media-updated,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-138-9j-match-common-circuit-symbols-to-their-component-names,answer-key-retargeted-to-new-grid,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-139-9j-which-label-shows-an-open-switch,answer-key-updated-to-new-grid,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-140-9j-which-label-shows-a-closed-switch,answer-key-updated-to-new-grid,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-141-9j-which-label-shows-a-resistor,answer-key-updated-to-new-grid,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-142-9j-which-label-shows-a-voltmeter,answer-key-updated-to-new-grid,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-143-9j-which-label-shows-an-ammeter,answer-key-updated-to-new-grid,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-144-9j-which-label-shows-a-motor,question-retargeted-from-motor-to-battery-to-match-new-grid,assets/webp/9J-circuit-symbols-grid-blank-v2.webp
y9x-149-9j-where-should-an-ammeter-go-to-measure-current-through-the-lamp,media-updated,assets/webp/9J-meter-placement-candidates-blank-v2.webp
y9x-150-9j-where-should-a-voltmeter-go-to-measure-potential-difference-across-the-lamp,media-updated,assets/webp/9J-meter-placement-candidates-blank-v2.webp
y9x-149-9j-where-should-an-ammeter-go-to-measure-current-through-the-lamp,answer-key-updated-to-new-X/Y/Z-diagram,assets/webp/9J-meter-placement-candidates-blank-v2.webp
y9x-150-9j-where-should-a-voltmeter-go-to-measure-potential-difference-across-the-lamp,answer-key-updated-to-new-X/Y/Z-diagram,assets/webp/9J-meter-placement-candidates-blank-v2.webp
