origin,id,source_card_id,unit,domain,exam_pool,exam_command,marks,question,answer_format_hint,answer_format_steps,source
curated-visual-bank,we-bio-state-photosynthesis-equation,,9B,biology,written-visual,state,1,State the word equation for photosynthesis.,One short equation only.,Write the reactants. | Add the arrow. | Write the products.,
curated-visual-bank,we-bio-identify-glucose-uses,,9B,biology,written-visual,identify,3,Use the glucose map. Identify three ways a plant can use glucose.,Use three short bullet points.,Bullet 1: first use. | Bullet 2: second use. | Bullet 3: third use.,
curated-visual-bank,we-bio-describe-photosynthesis-light-graph,,9B,biology,written-visual,describe,3,Use the graph. Describe how light intensity affects the rate of photosynthesis.,Describe the trend in two parts.,Say the first trend. | Say what happens at high light intensity. | Give the reason if asked to explain.,
curated-visual-bank,we-bio-explain-magnesium-deficiency,,9B,biology,written-visual,explain,3,Explain why a plant may grow poorly if it does not get enough magnesium ions.,Use because/so to link magnesium to growth.,Point: magnesium role. | Because: chlorophyll/photosynthesis. | Result: less glucose/growth.,
curated-visual-bank,we-bio-describe-natural-selection-giraffes,,9A,biology,written-visual,explain,4,Use the giraffe image. Explain how natural selection could lead to longer necks becoming more common over many generations.,Write the chain in order: variation → advantage → reproduction → inherited change.,Variation. | Selection pressure/advantage. | Survival and reproduction. | Inherited change over generations.,
curated-visual-bank,we-bio-describe-biodiversity-conservation,,9A,biology,written-visual,describe,3,Use the biodiversity diagram. Describe two causes of extinction risk and one way biodiversity can be preserved.,Use three bullet points.,Cause 1. | Cause 2. | Preservation method.,
curated-visual-bank,we-bio-explain-farming-method-impact,,9B,biology,written-visual,explain,3,Use the farming table. Choose one farming method and explain one benefit and one environmental problem.,"Name the method, then give one benefit and one problem.",Method. | Benefit. | Environmental problem.,
curated-visual-bank,we-bio-describe-food-web-pesticide,,9B,biology,written-visual,describe,3,Use the food web. Describe what may happen if pesticides reduce the number of insects.,Write 2–3 linked sentences.,Initial change. | Direct effect. | Knock-on effect.,
curated-visual-bank,we-bio-explain-bioaccumulation-top-predator,,9B,biology,written-visual,explain,3,Use the food-chain diagram. Explain why the top predator has the highest toxin concentration.,"Use the words toxin, food chain and concentration.",Toxin enters food chain. | Toxin builds up at each level. | Top predator has highest concentration.,
curated-visual-bank,we-bio-identify-root-hair-adaptations,,9B,biology,written-visual,identify,2,Use the root hair cell diagram. Identify two adaptations that help it absorb water and mineral ions.,Use two bullet points.,Adaptation 1. | Adaptation 2.,
curated-visual-bank,we-bio-identify-leaf-transport-features,,9B,biology,written-visual,identify,2,Use the plant transport diagram. Identify the tissue that carries water and the opening that lets carbon dioxide enter the leaf.,Use two short bullet points.,Water transport tissue. | Carbon dioxide entry feature.,
curated-visual-bank,we-chem-state-neutralisation-products,,9F,chemistry,written-visual,state,1,State the products of a neutralisation reaction between an acid and an alkali.,One short sentence.,State the two products.,
curated-visual-bank,we-chem-identify-state-symbols,,9E,chemistry,written-visual,identify,2,Identify what the state symbols (s) and (aq) mean in chemical equations.,Use two bullet points.,Define (s). | Define (aq).,
