asset,size_bytes,recommendation
assets/webp/9B-farming-yield-sustainability-blank.webp,537510,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9B-photosynthesis-light-graph-blank.webp,49666,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9B-seed-lifecycle-blank.webp,151562,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9E-greenhouse-effect-blank.webp,193254,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9E-heating-cooling-blank.webp,89840,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9E-recycling-methods-blank.webp,211768,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9E-thermal-conductors-insulators-blank.webp,166786,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9F-combustion-fire-triangle-blank.webp,61644,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9F-exothermic-endothermic-blank.webp,110980,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9F-periodic-table-navigator-blank.webp,105952,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9I-distance-time-graph-blank.webp,49942,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9I-liquid-pressure-depth-blank.webp,55600,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9I-pressure-fluids-blank.webp,151260,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9I-sankey-efficiency-blank.webp,27220,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9I-speed-time-graph-blank.webp,45568,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9J-circuit-symbols-matching-blank.webp,54234,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9J-current-voltage-graphs-blank.webp,41688,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9J-meter-placement-blank.webp,16938,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/9J-wire-resistance-investigation-blank.webp,73824,Keep as reserve blank/question-safe asset for a later question-media pass.
assets/webp/science-calculation-diagram-blank.webp,28980,Keep as reserve blank/question-safe asset for a later question-media pass.
