asset,asset_type,target_area,integration
9B-photosynthesis-limiting-factors-notes-v152.webp,Class-note visual,9B photosynthesis,Limiting-factor graph notes
9B-photosynthesis-limiting-factors-question-v152.webp,Question-safe visual,9B photosynthesis,Limiting-factor graph question diagram
9I-speed-time-graph-notes-v152.webp,Class-note visual,9I speed-time graphs,Speed-time section notes
9I-speed-time-graph-question-v152.webp,Question-safe visual,9I speed-time graphs,Speed-time graph question diagram
9J-wire-resistance-investigation-notes-v152.webp,Class-note visual,9J wire resistance,Corrected investigation setup notes
9J-wire-resistance-investigation-question-v152.webp,Question-safe visual,9J wire resistance,Clean investigation setup diagram
9F-reactivity-extraction-decision-notes-v152.webp,Class-note visual,9F extraction,Reactivity/extraction notes decision tree
9F-reactivity-extraction-decision-question-v152.webp,Question-safe visual,9F extraction,Question-safe extraction decision tree
9A-natural-selection-sequence-notes-v152.webp,Class-note visual,9A evolution,Natural-selection answer-chain notes
9A-natural-selection-sequence-question-v152.webp,Question-safe visual,9A evolution,Natural-selection sequence question diagram
9E-recycling-methods-grid-notes-v152.webp,Class-note visual,9E recycling,Recycling methods notes grid
9E-recycling-methods-grid-question-v152.webp,Question-safe visual,9E recycling,Recycling methods question grid
9F-displacement-magnesium-copper-notes-v152.webp,Class-note visual,9F displacement,Magnesium/copper sulfate displacement notes
9F-displacement-magnesium-copper-question-v152.webp,Question-safe visual,9F displacement,Before/after displacement question diagram
9I-terminal-velocity-force-chain-notes-v152.webp,Class-note visual,9I forces,Terminal velocity force-chain notes
9I-terminal-velocity-force-chain-question-v152.webp,Question-safe visual,9I forces,Terminal velocity force-chain question diagram
9J-static-charge-transfer-notes-v152.webp,Class-note visual,9J static,Static charge/electron transfer notes
9J-static-charge-transfer-question-v152.webp,Question-safe visual,9J static,Static charge/electron transfer question diagram
9J-electromagnet-setup-question-v152.webp,Question-safe visual,9J electromagnets,Electromagnet setup question diagram
9J-motor-effect-dc-motor-question-v152.webp,Question-safe visual,9J motor effect,DC motor/motor-effect source diagram
9J-electromagnet-motor-effect-notes-v152.webp,Class-note visual,9J electromagnets,Electromagnet and motor-effect notes visual
