old_path,action,size_bytes
docs/ARCHIVE_IMAGE_SOURCE_REGISTER_v1_43_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,9231
docs/ASSET_MANIFEST_CURRENT.csv,replaced_with_current_consolidated_file,20905
docs/CGP_BRIDGE_ACTIVE_CARD_INDEX_v1_41_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,51334
docs/CGP_BRIDGE_DEFERRED_CARD_INDEX_v1_41_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,32674
docs/CGP_BRIDGE_DEFERRED_CONTENT_v1_41_0.json,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,73386
docs/CGP_BRIDGE_DEFERRED_TOPICS_v1_41_0.md,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,1733
docs/CHANGELOG.md,replaced_with_current_consolidated_file,12829
docs/END_OF_UNIT_TEST_QA_v1_66_0.csv,consolidated_into_WRITTEN_TEST_MODES_STATUS.md_and_WRITTEN_EXAM_BANK_CURRENT.csv,459
docs/END_OF_UNIT_TEST_v1_66_0.md,consolidated_into_WRITTEN_TEST_MODES_STATUS.md_and_WRITTEN_EXAM_BANK_CURRENT.csv,1681
docs/FOCUSED_IMAGE_QA_MEDIA_REFERENCES_v1_44_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,29330
docs/FOCUSED_IMAGE_QA_PASS_v1_44_0.md,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2216
docs/FOCUSED_IMAGE_QA_UNUSED_ACCEPTED_IMAGES_v1_44_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2639
docs/IMAGE_ARCHIVE_AUDIT_AND_INTEGRATION_v1_46_0.md,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2951
docs/IMAGE_ARCHIVE_AUDIT_MATRIX_v1_46_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,10201
docs/IMAGE_ARCHIVE_CONVERTED_ASSETS_v1_46_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,17856
docs/IMAGE_ARCHIVE_INTEGRATED_CONTACT_SHEET_v1_46_0.jpg,removed_large_contact_sheet_from_repo_docs,1220006
docs/IMAGE_ARCHIVE_NOTE_UPDATES_v1_46_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2068
docs/IMAGE_ARCHIVE_QUESTION_UPDATES_v1_46_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2967
docs/IMAGE_ARCHIVE_REMAINING_SVG_REFERENCES_v1_46_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,5128
docs/IMAGE_ASSET_ARCHIVE_REVIEW_MATRIX_v1_43_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,9782
docs/IMAGE_ASSET_INTEGRATION_CONTACT_SHEET_v1_43_0.jpg,removed_large_contact_sheet_from_repo_docs,565957
docs/IMAGE_ASSET_INTEGRATION_v1_43_0.md,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2350
docs/IMAGE_BATCH_FULL_QA_PASS_v1_48_0.md,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2848
docs/IMAGE_BATCH_QA_CORRECTED_ALIAS_CONTACT_SHEET_v1_48_0.jpg,removed_large_contact_sheet_from_repo_docs,178160
docs/IMAGE_BATCH_QA_CORRECTIONS_v1_48_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,1633
docs/IMAGE_BATCH_QA_MEDIA_USAGE_v1_48_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,20434
docs/IMAGE_BATCH_QA_QUESTION_UPDATES_v1_48_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,9874
docs/IMAGE_BATCH_QA_REMAINING_SVG_REFS_v1_48_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,4826
docs/MAINTENANCE.md,replaced_with_current_consolidated_file,1118
docs/QUESTION_ASSET_INTEGRATION_SKIPPED_ASSETS_v1_45_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,823
docs/QUESTION_ASSET_INTEGRATION_UPDATED_CARDS_v1_45_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,23505
docs/QUESTION_ASSET_INTEGRATION_v1_45_0.md,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,1449
docs/R2_IMAGE_AUDIT_ACCEPTED_v1_47_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,5682
docs/R2_IMAGE_AUDIT_AND_INTEGRATION_v1_47_0.md,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2475
docs/R2_IMAGE_AUDIT_CONTACT_SHEET_ACCEPTED_v1_47_0.jpg,removed_large_contact_sheet_from_repo_docs,807198
docs/R2_IMAGE_AUDIT_CONTACT_SHEET_ALL_v1_47_0.jpg,removed_large_contact_sheet_from_repo_docs,996903
docs/R2_IMAGE_AUDIT_SKIPPED_v1_47_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,779
docs/R2_IMAGE_NOTE_UPDATES_v1_47_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,1117
docs/R2_IMAGE_QUESTION_UPDATES_v1_47_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,3030
docs/REACTION_IMAGES_R5_ACCEPTED_CONTACT_SHEET_v1_52_0.jpg,removed_large_contact_sheet_from_repo_docs,489647
docs/REACTION_IMAGES_R5_ACCEPTED_v1_52_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2575
docs/REACTION_IMAGES_R5_INTEGRATION_v1_52_0.md,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,2997
docs/REACTION_IMAGES_R5_SKIPPED_v1_52_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,493
docs/REACTION_IMAGES_R6_ACCEPTED_CONTACT_SHEET_v1_53_0.jpg,removed_large_contact_sheet_from_repo_docs,335707
docs/REACTION_IMAGES_R6_ACCEPTED_v1_53_0.csv,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,1791
docs/REACTION_IMAGES_R6_INTEGRATION_v1_53_0.md,consolidated_into_CHANGELOG_or_ARCHIVE_MANIFEST,1932
