id,unit,domain,type,examCommand,examMarks,examPool,question,answer,source,sourceFidelity,mediaCount
y9-093-9i-for-a-lever-the-pivot-is-also-called-the,9I,physics,Quick quiz,identify,1,written-main,"In the labelled lever diagram, what is label Y also called?",fulcrum,9I quick quiz 9Id Q1 - source-style diagram redraw,source-style-redraw,1
y9-229-9a-describe-what-environmental-variation-is,9A,biology,Progress check,describe,2,written-main,Describe what environmental variation is.,"Environmental variation is variation caused by conditions in the environment, such as light, diet, exercise, disease or climate.",9A revision worksheet,progress-check-derived,0
y9-230-9a-give-three-examples-of-environmental-variation-in-plants,9A,biology,Progress check,state,1,written-recall,Give three examples of environmental variation in plants.,"Examples include height affected by light, leaf size affected by water, and growth affected by mineral supply.",9A revision worksheet,progress-check-derived,0
y9-231-9a-give-three-examples-of-environmental-variation-in-humans,9A,biology,Progress check,state,1,written-recall,Give three examples of environmental variation in humans.,"Examples include suntan, scars, language spoken, or fitness affected by training.",9A revision worksheet,progress-check-derived,0
y9-232-9a-define-classification,9A,biology,Assess check,explain,3,written-main,Why do scientists classify organisms using similarities and differences?,"Classification sorts organisms into groups based on similarities and differences, so organisms can be identified and compared more clearly.",9A revision worksheet,progress-check-derived,0
y9-233-9a-define-species,9A,biology,Apply check,explain,3,written-main,"Two animals can mate, but their offspring are not fertile. Why would scientists not count them as the same species?",They would not count them as the same species because members of the same species must reproduce to produce fertile offspring.,9A revision worksheet,progress-check-derived,0
y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,9A,biology,Progress check,explain,3,written-main,Explain how environmental variation can cause problems with classification.,"Environmental factors can make organisms of the same species look different, so appearance alone may not show true relationships.",9A revision worksheet,progress-check-derived,0
y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,9A,biology,Progress check,describe,2,written-main,Describe what happens during fertilisation and what is formed.,A male gamete fuses with a female gamete. Their nuclei combine and a zygote is formed.,9A revision worksheet,progress-check-derived,0
y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,9A,biology,Progress check,describe,2,written-main,"Describe how chromosomes, DNA and genes are linked together.",Chromosomes are found in the nucleus and are made from DNA. Genes are short sections of DNA that code for characteristics.,9A revision worksheet,progress-check-derived,1
y9-237-9a-state-three-ways-we-can-preserve-biodiversity,9A,biology,Progress check,state,1,written-recall,State three ways we can preserve biodiversity.,"Possible ways include nature reserves, captive breeding, seed/gene banks, habitat protection, and banning trade in endangered organisms.",9A revision worksheet,progress-check-derived,0
y9-238-9a-describe-natural-selection,9A,biology,Progress check,describe,2,written-main,Describe natural selection.,"Individuals vary genetically; those with useful adaptations survive and reproduce more, passing useful genes to offspring.",9A revision worksheet,progress-check-derived,0
y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,9B,biology,Progress check,state,1,written-recall,State where a plant gets the reactants it needs for photosynthesis.,Carbon dioxide enters from the air through stomata; water is absorbed by roots; light comes from the Sun or lamp.,9B Plant Growth PPT progress check slide 14,progress-check-derived,0
y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,9B,biology,Progress check,describe,2,written-main,Describe what happens to the products of photosynthesis.,"Oxygen may diffuse out of the leaf; glucose can be used in respiration or converted to starch, cellulose, lipids or proteins.",9B Plant Growth PPT progress check slide 14,progress-check-derived,0
y9-241-9b-describe-what-a-limiting-factor-is,9B,biology,Progress check,describe,2,written-main,Describe what a limiting factor is.,A limiting factor is a factor that slows the rate of a reaction when there is not enough of it.,9B Plant Growth PPT progress check slide 14,progress-check-derived,0
y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,biology,Progress check,state,2,written-main,Suggest when photosynthesis might occur in plants.,"Photosynthesis occurs when light is available and the plant has carbon dioxide, water and chlorophyll.",9B Plant Growth PPT progress check slide 14,progress-check-derived,0
y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,9B,biology,Progress check,describe,2,written-main,Describe the route water takes from soil to a leaf.,"Water is absorbed by root hair cells, passes into root tissues, travels up xylem vessels, and enters leaf cells.",9B Plant Growth PPT progress check slide 43,progress-check-derived,1
y9-244-9b-explain-the-structure-of-xylem-vessels,9B,biology,Progress check,explain,3,written-main,Explain the structure of xylem vessels.,"Xylem vessels are hollow tubes made from dead cells, strengthened to carry water and mineral ions up the plant.",9B Plant Growth PPT progress check slide 43,progress-check-derived,0
y9-245-9b-state-the-cells-that-control-gas-exchange-in-leaves,9B,biology,Progress check,state,1,written-recall,State the cells that control gas exchange in leaves.,Guard cells control the opening and closing of stomata.,9B Plant Growth PPT progress check slide 48,progress-check-derived,0
y9-246-9b-suggest-why-stomata-shut-at-night,9B,biology,Progress check,explain,3,written-main,Suggest why stomata shut at night.,"At night photosynthesis stops, so stomata can close to reduce water loss while gas exchange demand is lower.",9B Plant Growth PPT progress check slide 48,progress-check-derived,0
y9-247-9b-draw-or-describe-the-relationship-between-glucose-and-starch,9B,biology,Progress check,describe,2,written-main,Draw or describe the relationship between glucose and starch.,"Many glucose molecules join together to form starch, a storage carbohydrate. Starch can be broken back down into smaller sugars.",9B Plant Growth PPT progress check slide 62,progress-check-derived,0
y9-248-9b-suggest-why-seeds-need-starch,9B,biology,Progress check,explain,3,written-main,Suggest why seeds need starch.,Seeds need starch as an energy store. During germination it is digested to glucose for respiration and growth.,9B Plant Growth PPT progress check slide 62,progress-check-derived,1
y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,9E,chemistry,Progress check,state,1,written-recall,"Design-poster prompt: list what a Year 9 poster on ceramics, polymers and composites should include.","It should include examples, properties, uses, links between properties and structure/bonding, environmental problems, and recycling/disposal options.",9E assess yourself,progress-check-derived,0
y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,9E,chemistry,Progress check,explain,3,written-main,Explain how properties of ceramics link to bonding and structure.,"Strong bonds in a rigid lattice give high melting points and hardness, but the structure can be brittle when layers crack or defects spread.",9E assess yourself,progress-check-derived,0
y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,9E,chemistry,Progress check,explain,3,written-main,Explain why composites often have better properties than their separate materials.,"A composite combines materials so one provides strength or stiffness while another binds, protects or adds flexibility.",9E assess yourself,progress-check-derived,1
y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,9E,chemistry,Progress check,explain,3,written-main,Explain one environmental problem caused by making materials.,"Making materials can burn fossil fuels, releasing carbon dioxide; some processes also release toxins or sulfur dioxide.",9E summary sheet / assess yourself,progress-check-derived,0
y9-253-9f-prepare-a-talk-what-should-be-included-on-extracting-iron-and-preventi,9F,chemistry,Progress check,describe,5,written-main,Prepare a talk: what should be included on extracting iron and preventing rusting?,"Include mining iron ore, blast furnace extraction, why carbon is used, properties/uses of iron and steel, rusting conditions, and rust-prevention methods.",9F assess yourself,progress-check-derived,0
y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,9F,chemistry,Progress check,explain,3,written-main,Why is a metal oxide reduced when carbon extracts a metal?,"The metal oxide loses oxygen to carbon, forming the metal and carbon dioxide or carbon monoxide.",9F summary sheet / assess yourself,progress-check-derived,0
y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,9F,chemistry,Progress check,explain,3,written-main,Explain why aluminium is extracted by electrolysis rather than carbon reduction.,"Aluminium is more reactive than carbon, so carbon cannot displace it from its oxide; electrolysis is needed.",9F quick quiz / summary sheet,progress-check-derived,0
y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,9F,chemistry,Progress check,explain,3,written-main,Explain why rusting is a problem and name two prevention methods.,"Rust weakens iron/steel. Prevention methods include painting, oiling/greasing, galvanising, coating with plastic, or sacrificial protection.",9F assess yourself,progress-check-derived,1
y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,9I,physics,Progress check,describe,2,written-main,"Describe how to raise a large upright stone using levers, moments and ramps.","Use levers to create a larger turning moment, move the stone gradually, and use ramps to reduce the force needed by increasing the distance moved.",9I assess yourself,progress-check-derived,0
y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,9I,physics,Progress check,explain,3,written-main,Explain why a shallow ramp needs less force but more distance.,"The same work is spread over a longer distance, so a smaller force is needed, ignoring friction.",9I assess yourself / simple machines,progress-check-derived,0
y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,9I,physics,Progress check,calculate,2,written-main,Calculate the weight of a 54 kg person on Earth where g = 10 N/kg.,Weight = mass × g = 54 × 10 = 540 N.,9Ja Force Fields PPT Guardians calculation,progress-check-derived,0
y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,9I,physics,Progress check,calculate,2,written-main,A 96 kg person is on a planet where g = 14 N/kg. Calculate weight.,Weight = mass × g = 96 × 14 = 1344 N.,9Ja Force Fields PPT Guardians calculation,progress-check-derived,0
y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,9I,physics,Progress check,calculate,2,written-main,A person weighs 1220 N on Earth where g = 10 N/kg. Calculate mass.,Mass = weight / g = 1220 / 10 = 122 kg.,9Ja Force Fields PPT Guardians calculation,progress-check-derived,0
y9-262-9j-describe-what-an-electromagnet-is-and-how-its-magnetic-field-is-shaped,9J,physics,Progress check,describe,2,written-main,Describe what an electromagnet is and how its magnetic field is shaped.,"An electromagnet is a coil of wire with current flowing. Its field is like a bar magnet, with north and south poles.",9Je Electromagnets PPT,progress-check-derived,0
y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,9J,physics,Progress check,explain,3,written-main,How can the strength of an electromagnet be increased?,"Increase the current, increase the number of coils, or use an iron core.",9Je Electromagnets PPT,progress-check-derived,1
y9-264-9j-explain-how-a-relay-works,9J,physics,Progress check,explain,3,written-main,Explain how a relay works.,"A small current switches on an electromagnet. The electromagnet pulls contacts together to switch on a separate circuit, often with a larger current.",9Je Electromagnets PPT / word sheet,progress-check-derived,0
y9-265-9j-describe-the-difference-between-current-and-voltage,9J,physics,Progress check,describe,2,written-main,Describe the difference between current and voltage / potential difference.,"Current is the rate of flow of charge around a circuit. Voltage, or potential difference, is the energy transferred per unit charge.",9Jc Current Electricity PPT,progress-check-derived,1
y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,9J,physics,Progress check,explain,3,written-main,Explain why plastic handles are safe on electrical wires.,"Plastic has very high resistance and is an insulator, so current cannot easily flow through it to your body.",9Jd Resistance PPT progress check,progress-check-derived,0
y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,9J,physics,Progress check,describe,2,written-main,Describe how to test whether resistance depends on wire length.,Use wires of the same material and thickness but different lengths; measure current and voltage for each and calculate resistance.,9Jd Resistance PPT exam-style question,progress-check-derived,1
y9-268-9j-calculate-weight-mass-34-kg-and-gravitational-field-strength-6-8-n-kg,9J,physics,Calculation,calculate,2,written-main,Calculate weight: mass = 34 kg and gravitational field strength = 6.8 N/kg.,231.2 N,9Ja Force Fields PPT Guardians calculation,calculation-practice-derived,0
y9-269-9j-a-person-has-weight-686-n-and-mass-56-kg-calculate-gravitational-field,9J,physics,Calculation,calculate,2,written-main,A person has weight 686 N and mass 56 kg. Calculate gravitational field strength.,12.25 N/kg,9Ja Force Fields PPT Guardians calculation,calculation-practice-derived,0
y9-270-9j-a-component-has-voltage-10-v-and-current-0-5-a-calculate-resistance,9J,physics,Calculation,calculate,2,written-main,A component has voltage 10 V and current 0.5 A. Calculate resistance.,20 Ω,9Jd Resistance PPT modelled answer,calculation-practice-derived,0
y9-271-9j-a-resistor-has-voltage-6-v-and-current-0-2-a-calculate-resistance,9J,physics,Calculation,calculate,2,written-main,A resistor has voltage 6 V and current 0.2 A. Calculate resistance.,30 Ω,9Jd Resistance formula practice,calculation-practice-derived,0
y9-272-9i-a-cyclist-travels-12-km-in-0-5-h-calculate-mean-speed,9I,physics,Calculation,calculate,2,written-main,A cyclist travels 12 km in 0.5 h. Calculate mean speed.,24 km/h,9I speed summary / quick quiz style,calculation-practice-derived,0
y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,9I,physics,Calculation,calculate,2,written-main,A force of 40 N moves a box 3 m. Calculate work done.,120 J,9I simple machines / work done,calculation-practice-derived,0
y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,9I,physics,Calculation,calculate,2,written-main,A 5 N force acts 0.4 m from a pivot. Calculate the moment.,2 N m,9I moments quick quiz style,calculation-practice-derived,0
y9x-001-9a-state-what-variation-is,9A,biology,Assess check,state,1,written-recall,State what variation is.,"Variation means differences in characteristics between organisms, such as height, mass, colour, shape or behaviour.",9A assess-yourself success criterion 01,success-criterion-derived,0
