cardId,unit,learningObjective,examCommand,examMarks,question,reason,retainedAsStudyCard
y9-268-9j-calculate-weight-mass-34-kg-and-gravitational-field-strength-6-8-n-kg,9J,9J-fields,calculate,2,Calculate weight: mass = 34 kg and gravitational field strength = 6.8 N/kg.,Calculation duplicate; retained the source-style Groot weight calculation using the same values.,yes
y9-269-9j-a-person-has-weight-686-n-and-mass-56-kg-calculate-gravitational-field,9J,9J-fields,calculate,2,A person has weight 686 N and mass 56 kg. Calculate gravitational field strength.,Calculation duplicate; retained the source-style Mantis gravitational-field-strength calculation using the same values.,yes
y9x-071-9i-use-the-formula-relating-speed-distance-and-time,9I,9I-speed,calculate,2,"Use the formula relating speed, distance and time.","Formula-only prompt; retained concrete speed, distance and time calculation/application prompts.",yes
y9x-077-9i-use-the-formula-for-moment-force-and-perpendicular-distance,9I,9I-moments,calculate,2,"Use the formula for moment, force and perpendicular distance.",Formula-only prompt; retained concrete moment calculation/application prompts.,yes
y9x-122-9j-star-lord-has-mass-96-kg-on-a-planet-where-g-14-n-kg-calculate-his-weight,9J,9J-fields,calculate,2,Star Lord has mass 96 kg on a planet where g = 14 N/kg. Calculate his weight.,Surplus weight-calculation variant; retained equivalent weight calculations in 9I/9J.,yes
y9r-037-9f-what-is-a-hydrocarbon,9F,9F-combustion-energy-rates,state,1,What is a hydrocarbon?,Low-value recall survivor; retained combustion equation and reaction-rate prompts.,yes
y9r-039-9f-what-is-the-test-for-oxygen,9F,9F-combustion-energy-rates,state,1,What is the test for oxygen?,Low-value recall survivor after pruning; retained broader combustion/rate/energy prompts.,yes
y9r-067-9j-what-formula-is-used-to-calculate-weight,9J,9J-fields,calculate,2,What formula is used to calculate weight?,Formula-only recall item; retained multiple actual weight calculation prompts.,yes
y9p-009-9f-what-is-neutralisation,9F,9F-combustion-energy-rates,state,1,What is neutralisation?,Low-priority bridge recall survivor; retained stronger acid/base and reaction-energy coverage elsewhere.,yes
y9p-019-9f-what-is-oxidation,9F,9F-reactivity,state,1,What is oxidation?,Surplus one-mark oxidation recall; retained more useful oxidation/reactivity prompts.,yes
y9cgp-061-F-periodic-table-bridge-what-does-an-atom-contain,9F,9F-periodic-table-bridge,state,1,What does an atom contain?,Duplicate atomic-structure recall question; retained the primary 9F source version.,yes
y9cgp-062-F-periodic-table-bridge-what-is-the-atomic-number-or-proton-number,9F,9F-periodic-table-bridge,state,1,What is the atomic number or proton number?,Duplicate atomic-number recall question; retained the primary 9F source version.,yes
y9cgp-063-F-periodic-table-bridge-what-is-the-mass-number-of-an-atom,9F,9F-periodic-table-bridge,state,1,What is the mass number of an atom?,Duplicate mass-number recall question; retained the primary 9F source version.,yes
y9cgp-064-F-periodic-table-bridge-what-are-groups-and-periods-in-the-periodic-table,9F,9F-periodic-table-bridge,state,1,What are groups and periods in the periodic table?,Duplicate periodic-table rows/columns recall question; retained the primary 9F source version.,yes
y9cgp-081-E-climate-bridge-explain-one-environmental-problem-caused-by-making-materials,9E,9E-climate-bridge,explain,3,Explain one environmental problem caused by making materials.,Exact duplicate of a stronger retained making-materials environmental problem prompt.,yes
y9cgp-098-F-chemical-energy-bridge-what-do-exothermic-reactions-do-to-the-surroundings,9F,9F-chemical-energy-bridge,state,2,What do exothermic reactions do to the surroundings?,Duplicate exothermic surroundings question; retained the 9E source version and other 9F chemical-energy coverage.,yes
y9cgp-099-F-chemical-energy-bridge-what-do-endothermic-reactions-do-to-the-surroundings,9F,9F-chemical-energy-bridge,state,2,What do endothermic reactions do to the surroundings?,Duplicate endothermic surroundings question; retained the 9E source version and other 9F chemical-energy coverage.,yes
