id,unit,type,level,learningObjectiveTitle,question,answer,source,sourceRegistryIds,sourceExcerpt,sourceUrls,deferredReason
y9cgp-016-I-waves-define-amplitude,9I,Vocabulary,1,Wave properties,Define: amplitude,Amplitude is the maximum displacement of a point on a wave from its rest position.,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-017-I-waves-define-wavelength,9I,Vocabulary,1,Wave properties,Define: wavelength,"Wavelength is the distance from one point on a wave to the same point on the next wave, such as crest to crest.",CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-018-I-waves-define-frequency,9I,Vocabulary,1,Wave properties,Define: frequency,"Frequency is the number of complete waves passing a point each second, measured in hertz (Hz).",CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-019-I-waves-which-unit-is-used-for-frequency,9I,Quick quiz,1,Wave properties,Which unit is used for frequency?,A,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-020-I-waves-which-equation-links-wave-speed-frequency-and-wavelength,9I,Quick quiz,2,Wave properties,"Which equation links wave speed, frequency and wavelength?",C,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-021-I-waves-a-wave-has-frequency-5-hz-and-wavelength-2-m-calculate-its-s,9I,Calculation,2,Wave properties,A wave has frequency 5 Hz and wavelength 2 m. Calculate its speed.,10 m/s,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-022-I-waves-a-wave-travels-at-12-m-s-and-has-wavelength-3-m-calculate-it,9I,Calculation,3,Wave properties,A wave travels at 12 m/s and has wavelength 3 m. Calculate its frequency.,4 Hz,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-023-I-waves-describe-a-transverse-wave,9I,Progress check,2,Wave properties,Describe a transverse wave.,"In a transverse wave, the vibration is at right angles to the direction of energy transfer.",CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-024-I-waves-describe-a-longitudinal-wave,9I,Progress check,2,Wave properties,Describe a longitudinal wave.,"In a longitudinal wave, the vibration is parallel to the direction of energy transfer.",CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
y9cgp-025-I-waves-sound-is-best-described-as-which-type-of-wave,9I,Quick quiz,2,Wave properties,Sound is best described as which type of wave?,B,CGP KS3 Science syllabus map Year 9 Topic 6 Wave properties; Oak waves lessons,CGP-KS3-MAP;AQA-KS3-SYLLABUS;OAK-WAVES,,https://www.cgpbooks.co.uk/getmedia/5945ae31-1aa7-42af-8227-05682471a5a5/CGP-KS3-Science-Spec;https://filestore.aqa.org.uk/resources/science/specifications/AQA-SCIENCE-KS3-SYLLABUS.PDF;https://www.thenational.academy/teachers/programmes/science-secondary-ks3/units/waves/lessons,Not clearly included in uploaded Year 9 revision study pack; keep aside until exam coverage is confirmed.
