id,unit,noteId,type,level,question,answer,source,sourceFidelity,sourceExcerpt
y9r-001-9b-what-is-sustainable-development,9B,9B-farming-yield-impact,Assess check,1,What is sustainable development?,"Developing the things we need, without destroying habitats.",9B Summary sheet p2 Farming,exact-source-answer,"Developing the things we need, without destroying habitats is called sustainable development."
y9r-002-9b-why-is-land-cleared-of-hedges-and-trees-in-modern-farming,9B,9B-farming-yield-impact,Assess check,2,Why is land cleared of hedges and trees in modern farming?,To create more land for crops and make it easier for machinery to move around.,9B Summary sheet p2 Farming table,exact-source-answer,land is cleared of hedges and trees — to create more land for crops and make it easier for machinery to move around
y9r-003-9b-what-problem-can-be-caused-by-clearing-hedges-and-trees,9B,9B-farming-yield-impact,Assess check,2,What problem can be caused by clearing hedges and trees?,Destroys habitats. Lack of roots can cause soil erosion.,9B Summary sheet p2 Farming table,exact-source-answer,Destroys habitats. Lack of roots can cause soil erosion.
y9r-004-9b-why-are-pesticides-used-on-crops,9B,9B-farming-yield-impact,Assess check,2,Why are pesticides used on crops?,To kill pests that compete with or harm the crops.,9B Summary sheet p2 Farming table,exact-source-answer,"pesticides (e.g. herbicides, insecticides) are used — to kill pests that compete with or harm the crops"
y9r-005-9b-what-problem-can-pesticides-cause,9B,9B-farming-yield-impact,Assess check,2,What problem can pesticides cause?,Can kill useful organisms as well as pests. Damages food webs.,9B Summary sheet p2 Farming table,exact-source-answer,Can kill useful organisms as well as pests. Damages food webs.
y9r-006-9b-why-are-fertilisers-used,9B,9B-farming-yield-impact,Assess check,2,Why are fertilisers used?,They contain mineral salts that help plants to grow and increase the yield.,9B Summary sheet p2 Farming table,exact-source-answer,fertilisers are used — they contain mineral salts that help plants to grow and increase the yield
y9r-007-9b-what-problem-can-fertilisers-cause-if-they-wash-into-streams-and-rivers,9B,9B-farming-yield-impact,Assess check,2,What problem can fertilisers cause if they wash into streams and rivers?,They can cause pollution so that the organisms in the water die.,9B Summary sheet p2 Farming table,exact-source-answer,Can wash into streams and rivers and cause pollution so that the organisms in the water die.
y9r-008-9b-what-is-the-problem-with-planting-huge-areas-of-a-single-variety,9B,9B-farming-yield-impact,Assess check,2,What is the problem with planting huge areas of a single variety?,The planting of huge areas of a single variety reduces biodiversity.,9B Summary sheet p2 Farming table,exact-source-answer,The planting of huge areas of a single variety reduces biodiversity.
y9r-009-9b-what-is-cross-breeding,9B,9B-plant-products,Assess check,2,What is cross-breeding?,Two different varieties are bred together to try to produce offspring with characteristics from both varieties.,9B Summary sheet p2 Breeding varieties,exact-source-answer,Sometimes two different varieties are bred together to try to produce offspring with characteristics from both varieties. This is called cross-breeding.
y9r-010-9b-what-happens-to-the-energy-released-from-glucose-in-aerobic-respiration,9B,9B-photosynthesis,Assess check,2,What happens to the energy released from glucose in aerobic respiration?,"The energy released from glucose is transferred to molecules of ATP, which store energy for a cell until it is needed.",9B Summary sheet p2 Aerobic respiration,exact-source-answer,"The energy released from glucose is transferred to molecules of ATP, which store energy for a cell until it is needed."
