source_index,source_file,output_asset,purpose,decision,rationale
2,"Images for reaction R2/ChatGPT Image May 12, 2026, 12_03_00 PM (1).png",assets/webp/9B-bioaccumulation-food-chain-notes-v3.webp,notes,accepted_integrated,Bioaccumulation food chain — cleaner heron/top-predator class-note version.
12,"Images for reaction R2/ChatGPT Image May 12, 2026, 12_03_01 PM (2).png",assets/webp/9B-bioaccumulation-food-chain-blank-v3.webp,question,accepted_integrated,Bioaccumulation food chain — blank/question-safe version.
3,"Images for reaction R2/ChatGPT Image May 12, 2026, 12_04_00 PM (1).png",assets/webp/9B-quadrat-ecosystem-sampling-notes-v3.webp,notes,accepted_integrated,Quadrat sampling — class-note version.
30,"Images for reaction R2/ChatGPT Image May 12, 2026, 12_04_00 PM (2).png",assets/webp/9B-quadrat-ecosystem-sampling-blank-v3.webp,question,accepted_integrated,Quadrat sampling — blank/question-safe version.
4,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_56_09 AM (1).png",assets/webp/9F-chemical-formulae-counting-atoms-notes-v2.webp,notes,accepted_integrated,Chemical formulae and counting atoms — class-note version.
26,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_56_09 AM (2).png",assets/webp/9F-chemical-formulae-counting-atoms-blank-v2.webp,question,accepted_integrated,Chemical formulae and counting atoms — blank/question-safe version.
32,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_40_59 AM (1).png",assets/webp/9E-gas-pressure-brownian-motion-notes-v3.webp,notes,accepted_integrated,Gas pressure and Brownian motion — class-note version.
9,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_41_00 AM (2).png",assets/webp/9E-gas-pressure-brownian-motion-blank-v3.webp,question,accepted_integrated,Gas pressure particle model — blank/question-safe version.
29,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_21_46 AM (1).png",assets/webp/9F-acids-alkalis-ph-scale-notes-v3.webp,notes,accepted_integrated,"Acids, alkalis and pH scale — class-note version."
7,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_21_46 AM (2).png",assets/webp/9F-acids-alkalis-ph-scale-blank-v3.webp,question,accepted_integrated,"Acids, alkalis and pH scale — question-safe version."
22,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_37_20 AM (1).png",assets/webp/9F-metal-extraction-methods-notes-v3.webp,notes,accepted_integrated,Metal extraction methods — class-note version.
8,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_37_20 AM (2).png",assets/webp/9F-metal-extraction-methods-blank-v3.webp,question,accepted_integrated,Metal extraction methods — blank/comparison version.
23,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_22_44 AM (1).png",assets/webp/9F-elements-compounds-mixtures-notes-v3.webp,notes,accepted_integrated,"Elements, compounds and mixtures — class-note version."
10,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_22_44 AM (2).png",assets/webp/9F-elements-compounds-mixtures-blank-v3.webp,question,accepted_integrated,"Elements, compounds and mixtures — blank A-D version."
24,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_41_49 AM (1).png",assets/webp/9E-changes-of-state-particle-model-notes-v3.webp,notes,accepted_integrated,Changes of state / particle model — class-note version.
17,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_41_50 AM (2).png",assets/webp/9E-changes-of-state-particle-model-blank-v3.webp,question,accepted_integrated,Changes of state / particle model — blank diagram version.
18,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_37_55 AM (1).png",assets/webp/9E-diffusion-liquids-gases-notes-v3.webp,notes,accepted_integrated,Diffusion in liquids and gases — class-note version.
20,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_37_55 AM (2).png",assets/webp/9E-diffusion-liquids-gases-blank-v3.webp,question,accepted_integrated,Diffusion in liquids — blank/question-safe sequence.
21,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_34_03 AM (1).png",assets/webp/9F-neutralisation-reactions-notes-v3.webp,notes,accepted_integrated,Neutralisation reactions — class-note version.
14,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_34_03 AM (2).png",assets/webp/9F-neutralisation-reactions-blank-v3.webp,question,accepted_integrated,Neutralisation reactions — blank/question-safe version.
25,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_59_33 AM (1).png",assets/webp/9B-seed-dispersal-mechanisms-notes-v3.webp,notes,accepted_integrated,Seed dispersal mechanisms — class-note version.
13,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_59_33 AM (2).png",assets/webp/9B-seed-dispersal-mechanisms-blank-v3.webp,question,accepted_integrated,Seed dispersal mechanisms — blank A-E version.
27,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_51_29 AM (1).png",assets/webp/9E-brownian-motion-notes-v3.webp,notes,accepted_integrated,Brownian motion — focused class-note version.
31,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_35_35 AM (1).png",assets/webp/9F-chromatography-distillation-notes-v3.webp,notes,accepted_integrated,Chromatography and simple distillation — class-note version.
33,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_35_36 AM (2).png",assets/webp/9F-chromatography-distillation-blank-v3.webp,question,accepted_integrated,Chromatography and distillation — blank A/B version.
11,"Images for reaction R2/ChatGPT Image May 12, 2026, 11_55_20 AM (1).png",assets/webp/9F-balancing-equations-notes-v3.webp,notes,accepted_integrated,Balancing chemical equations — class-note version.
