decision,reason_code,reason,id,unit,learningObjective,examCommand,examPool,examMarks,sourceFidelity,quality_score,question,answer,retained_anchor_id,retained_anchor_question
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9x-014-9a-state-what-evolution-is,9A,9A-inheritance,state,written-recall,1,success-criterion-derived,29,State what evolution is.,Evolution is the gradual change in inherited characteristics of a population over many generations.,y9-237-9a-state-three-ways-we-can-preserve-biodiversity,State three ways we can preserve biodiversity.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-007-9a-what-does-probability-mean,9A,9A-inheritance,state,written-recall,1,exact-source-answer,31,What does probability mean?,The likelihood of something happening.,y9-237-9a-state-three-ways-we-can-preserve-biodiversity,State three ways we can preserve biodiversity.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-008-9a-write-25-as-a-decimal-and-as-a-fraction,9A,9A-inheritance,state,written-recall,1,source-traceable-application,33,Write 25% as a decimal and as a fraction.,0.25 and 1/4.,y9-237-9a-state-three-ways-we-can-preserve-biodiversity,State three ways we can preserve biodiversity.
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9-238-9a-describe-natural-selection,9A,9A-inheritance,describe,written-main,2,progress-check-derived,68,Describe natural selection.,"Individuals vary genetically; those with useful adaptations survive and reproduce more, passing useful genes to offspring.",y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,"Describe how chromosomes, DNA and genes are linked together."
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9-231-9a-give-three-examples-of-environmental-variation-in-humans,9A,9A-variation,state,written-recall,1,progress-check-derived,37,Give three examples of environmental variation in humans.,"Examples include suntan, scars, language spoken, or fitness affected by training.",y9p-005-9a-what-forms-an-ecosystem,What forms an ecosystem?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9-230-9a-give-three-examples-of-environmental-variation-in-plants,9A,9A-variation,state,written-recall,1,progress-check-derived,37,Give three examples of environmental variation in plants.,"Examples include height affected by light, leaf size affected by water, and growth affected by mineral supply.",y9p-005-9a-what-forms-an-ecosystem,What forms an ecosystem?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9x-001-9a-state-what-variation-is,9A,9A-variation,state,written-recall,1,success-criterion-derived,29,State what variation is.,"Variation means differences in characteristics between organisms, such as height, mass, colour, shape or behaviour.",y9p-005-9a-what-forms-an-ecosystem,What forms an ecosystem?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-004-9a-what-are-abiotic-factors,9A,9A-variation,state,written-recall,1,exact-source-answer,31,What are abiotic factors?,Non-living physical factors such as the amount of sunlight.,y9p-005-9a-what-forms-an-ecosystem,What forms an ecosystem?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-002-9a-what-is-a-biotic-factor,9A,9A-variation,state,written-recall,1,exact-source-answer,31,What is a biotic factor?,An activity of an organism that affects another organism.,y9p-005-9a-what-forms-an-ecosystem,What forms an ecosystem?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9p-001-9a-what-is-an-abiotic-factor,9A,9A-variation,state,written-recall,1,exact-source-answer,31,What is an abiotic factor?,Something that is abiotic has nothing to do with living organisms.,y9p-005-9a-what-forms-an-ecosystem,What forms an ecosystem?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9r-001-9b-what-is-sustainable development,9B,9B-farming-yield-impact,state,written-recall,1,exact-source-answer,31,What is sustainable development?,"Developing the things we need, without destroying habitats.",y9r-003-9b-what-problem-can-be-caused-by-clearing-hedges-and-trees,What problem can be caused by clearing hedges and trees?
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9x-018-9b-state-that-plants-make-their-own-food,9B,9B-photosynthesis,state,written-recall,1,success-criterion-derived,29,State that plants make their own food.,"Plants make their own food by photosynthesis, producing glucose from carbon dioxide and water using light energy.",y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,Suggest when photosynthesis might occur in plants.
retire_from_written_exam,micro_prompt_overlap,Very short/micro-prompt; useful for study but lower value in the written-exam selector.,y9-241-9b-describe-what-a-limiting-factor-is,9B,9B-photosynthesis,describe,written-main,2,progress-check-derived,65,Describe what a limiting factor is.,A limiting factor is a factor that slows the rate of a reaction when there is not enough of it.,y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,Describe how limiting factors stop photosynthesis rate increasing.
retire_from_written_exam,objective_pool_trim,Overlaps with stronger retained prompts in the same learning objective and command type.,y9x-026-9b-use-word-equations-for-photosynthesis-and-aerobic-respiration,9B,9B-photosynthesis,state,written-main,2,success-criterion-derived,67,Use word equations for photosynthesis and aerobic respiration.,Photosynthesis: carbon dioxide + water → glucose + oxygen. Aerobic respiration: glucose + oxygen → carbon dioxide + water.,y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,Suggest when photosynthesis might occur in plants.
retire_from_written_exam,low_value_recall_overlap,Recall-only fact card; the same learning objective and command type remain covered by stronger retained prompts.,y9x-020-9b-list-chemical-substances-farmers-may-apply-to-crops,9B,9B-plant-products,state,written-recall,1,success-criterion-derived,37,List chemical substances farmers may apply to crops.,"Farmers may apply fertilisers, herbicides, insecticides, fungicides and other pesticides.",y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,Give advantages and disadvantages of clearing land for farming.
