id,unit,domain,type,command,marks,pool,source_action,question,source,source_fidelity,has_media
y9-093-9i-for-a-lever-the-pivot-is-also-called-the,9I,physics,Quick quiz,identify,1,written-main,promote now,"In the labelled lever diagram, what is label Y also called?",9I quick quiz 9Id Q1 - source-style diagram redraw,source-style-redraw,True
y9-229-9a-describe-what-environmental-variation-is,9A,biology,Progress check,describe,2,written-main,promote now,Describe what environmental variation is.,9A revision worksheet,progress-check-derived,False
y9-230-9a-give-three-examples-of-environmental-variation-in-plants,9A,biology,Progress check,state,1,written-recall,promote to recall pool,Give three examples of environmental variation in plants.,9A revision worksheet,progress-check-derived,False
y9-231-9a-give-three-examples-of-environmental-variation-in-humans,9A,biology,Progress check,state,1,written-recall,promote to recall pool,Give three examples of environmental variation in humans.,9A revision worksheet,progress-check-derived,False
y9-232-9a-define-classification,9A,biology,Assess check,explain,3,written-main,promote now,Why do scientists classify organisms using similarities and differences?,9A revision worksheet,progress-check-derived,False
y9-233-9a-define-species,9A,biology,Apply check,explain,3,written-main,promote now,"Two animals can mate, but their offspring are not fertile. Why would scientists not count them as the same species?",9A revision worksheet,progress-check-derived,False
y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,9A,biology,Progress check,explain,3,written-main,promote now,Explain how environmental variation can cause problems with classification.,9A revision worksheet,progress-check-derived,False
y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,9A,biology,Progress check,describe,2,written-main,promote now,Describe what happens during fertilisation and what is formed.,9A revision worksheet,progress-check-derived,False
y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,9A,biology,Progress check,describe,2,written-main,promote now,"Describe how chromosomes, DNA and genes are linked together.",9A revision worksheet,progress-check-derived,True
y9-237-9a-state-three-ways-we-can-preserve-biodiversity,9A,biology,Progress check,state,1,written-recall,promote to recall pool,State three ways we can preserve biodiversity.,9A revision worksheet,progress-check-derived,False
y9-238-9a-describe-natural-selection,9A,biology,Progress check,describe,2,written-main,promote now,Describe natural selection.,9A revision worksheet,progress-check-derived,False
y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,9B,biology,Progress check,state,1,written-recall,promote to recall pool,State where a plant gets the reactants it needs for photosynthesis.,9B Plant Growth PPT progress check slide 14,progress-check-derived,False
y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,9B,biology,Progress check,describe,2,written-main,promote now,Describe what happens to the products of photosynthesis.,9B Plant Growth PPT progress check slide 14,progress-check-derived,False
y9-241-9b-describe-what-a-limiting-factor-is,9B,biology,Progress check,describe,2,written-main,promote now,Describe what a limiting factor is.,9B Plant Growth PPT progress check slide 14,progress-check-derived,False
y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,biology,Progress check,state,2,written-main,source-style wording polished and promoted in v1.56.0,State the conditions needed for photosynthesis to occur in plants.,9B Plant Growth PPT progress check slide 14,progress-check-derived,False
y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,9B,biology,Progress check,describe,2,written-main,promote now,Describe the route water takes from soil to a leaf.,9B Plant Growth PPT progress check slide 43,progress-check-derived,True
y9-244-9b-explain-the-structure-of-xylem-vessels,9B,biology,Progress check,explain,3,written-main,promote now,Explain the structure of xylem vessels.,9B Plant Growth PPT progress check slide 43,progress-check-derived,False
y9-245-9b-state-the-cells-that-control-gas-exchange-in-leaves,9B,biology,Progress check,state,1,written-recall,promote to recall pool,State the cells that control gas exchange in leaves.,9B Plant Growth PPT progress check slide 48,progress-check-derived,False
y9-246-9b-suggest-why-stomata-shut-at-night,9B,biology,Progress check,explain,3,written-main,promote now,Suggest why stomata shut at night.,9B Plant Growth PPT progress check slide 48,progress-check-derived,False
y9-247-9b-draw-or-describe-the-relationship-between-glucose-and-starch,9B,biology,Progress check,describe,2,written-main,promote now,Draw or describe the relationship between glucose and starch.,9B Plant Growth PPT progress check slide 62,progress-check-derived,False
y9-248-9b-suggest-why-seeds-need-starch,9B,biology,Progress check,explain,3,written-main,promote now,Suggest why seeds need starch.,9B Plant Growth PPT progress check slide 62,progress-check-derived,True
y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,9E,chemistry,Progress check,state,1,written-recall,promote to recall pool,"Design-poster prompt: list what a Year 9 poster on ceramics, polymers and composites should include.",9E assess yourself,progress-check-derived,False
y9-250-9e-explain-how-properties-of-ceramics-link-to-bonding-and-structure,9E,chemistry,Progress check,explain,3,written-main,promote now,Explain how properties of ceramics link to bonding and structure.,9E assess yourself,progress-check-derived,False
y9-251-9e-explain-why-composites-often-have-better-properties-than-their-separat,9E,chemistry,Progress check,explain,3,written-main,promote now,Explain why composites often have better properties than their separate materials.,9E assess yourself,progress-check-derived,True
y9-252-9e-explain-one-environmental-problem-caused-by-making-materials,9E,chemistry,Progress check,explain,3,written-main,promote now,Explain one environmental problem caused by making materials.,9E summary sheet / assess yourself,progress-check-derived,False
y9-253a-9f-describe-how-iron-is-extracted-from-iron-ore,9F,chemistry,Progress check,describe,3,written-main,split from broad source prompt and promoted in v1.56.0,Describe how iron is extracted from iron ore.,9F assess yourself - split from extraction/rusting talk prompt,progress-check-derived,False
y9-253b-9f-explain-two-ways-rusting-can-be-prevented,9F,chemistry,Progress check,explain,3,written-main,split from broad source prompt and promoted in v1.56.0,Explain two ways rusting can be prevented.,9F assess yourself - split from extraction/rusting talk prompt,progress-check-derived,False
y9-254-9f-why-is-a-metal-oxide-reduced-when-carbon-extracts-a-metal,9F,chemistry,Progress check,explain,3,written-main,promote now,Why is a metal oxide reduced when carbon extracts a metal?,9F summary sheet / assess yourself,progress-check-derived,False
y9-255-9f-explain-why-aluminium-is-extracted-by-electrolysis-rather-than-carbon-,9F,chemistry,Progress check,explain,3,written-main,promote now,Explain why aluminium is extracted by electrolysis rather than carbon reduction.,9F quick quiz / summary sheet,progress-check-derived,False
y9-256-9f-explain-why-rusting-is-a-problem-and-name-two-prevention-methods,9F,chemistry,Progress check,explain,3,written-main,promote now,Explain why rusting is a problem and name two prevention methods.,9F assess yourself,progress-check-derived,True
y9-257-9i-describe-how-to-raise-a-large-upright-stone-using-levers-moments-and-r,9I,physics,Progress check,describe,2,written-main,promote now,"Describe how to raise a large upright stone using levers, moments and ramps.",9I assess yourself,progress-check-derived,False
y9-258-9i-explain-why-a-shallow-ramp-needs-less-force-but-more-distance,9I,physics,Progress check,explain,3,written-main,promote now,Explain why a shallow ramp needs less force but more distance.,9I assess yourself / simple machines,progress-check-derived,False
y9-259-9i-calculate-the-weight-of-a-54-kg-person-on-earth-where-g-10-n-kg,9I,physics,Progress check,calculate,2,written-main,promote now,Calculate the weight of a 54 kg person on Earth where g = 10 N/kg.,9Ja Force Fields PPT Guardians calculation,progress-check-derived,False
y9-260-9i-a-96-kg-person-is-on-a-planet-where-g-14-n-kg-calculate-weight,9I,physics,Progress check,calculate,2,written-main,promote now,A 96 kg person is on a planet where g = 14 N/kg. Calculate weight.,9Ja Force Fields PPT Guardians calculation,progress-check-derived,False
y9-261-9i-a-person-weighs-1220-n-on-earth-where-g-10-n-kg-calculate-mass,9I,physics,Progress check,calculate,2,written-main,promote now,A person weighs 1220 N on Earth where g = 10 N/kg. Calculate mass.,9Ja Force Fields PPT Guardians calculation,progress-check-derived,False
y9-262-9j-describe-what-an-electromagnet-is-and-how-its-magnetic-field-is-shaped,9J,physics,Progress check,describe,2,written-main,promote now,Describe what an electromagnet is and how its magnetic field is shaped.,9Je Electromagnets PPT,progress-check-derived,False
y9-263-9j-how-can-the-strength-of-an-electromagnet-be-increased,9J,physics,Progress check,explain,3,written-main,promote now,How can the strength of an electromagnet be increased?,9Je Electromagnets PPT,progress-check-derived,True
y9-264-9j-explain-how-a-relay-works,9J,physics,Progress check,explain,3,written-main,promote now,Explain how a relay works.,9Je Electromagnets PPT / word sheet,progress-check-derived,False
y9-265-9j-describe-the-difference-between-current-and-voltage,9J,physics,Progress check,describe,2,written-main,promote now,Describe the difference between current and voltage / potential difference.,9Jc Current Electricity PPT,progress-check-derived,True
y9-266-9j-explain-why-plastic-handles-are-safe-on-electrical-wires,9J,physics,Progress check,explain,3,written-main,promote now,Explain why plastic handles are safe on electrical wires.,9Jd Resistance PPT progress check,progress-check-derived,False
y9-267-9j-describe-how-to-test-whether-resistance-depends-on-wire-length,9J,physics,Progress check,describe,2,written-main,promote now,Describe how to test whether resistance depends on wire length.,9Jd Resistance PPT exam-style question,progress-check-derived,True
y9-268-9j-calculate-weight-mass-34-kg-and-gravitational-field-strength-6-8-n-kg,9J,physics,Calculation,calculate,2,written-main,promote now,Calculate weight: mass = 34 kg and gravitational field strength = 6.8 N/kg.,9Ja Force Fields PPT Guardians calculation,calculation-practice-derived,False
y9-269-9j-a-person-has-weight-686-n-and-mass-56-kg-calculate-gravitational-field,9J,physics,Calculation,calculate,2,written-main,promote now,A person has weight 686 N and mass 56 kg. Calculate gravitational field strength.,9Ja Force Fields PPT Guardians calculation,calculation-practice-derived,False
y9-270-9j-a-component-has-voltage-10-v-and-current-0-5-a-calculate-resistance,9J,physics,Calculation,calculate,2,written-main,promote now,A component has voltage 10 V and current 0.5 A. Calculate resistance.,9Jd Resistance PPT modelled answer,calculation-practice-derived,False
y9-271-9j-a-resistor-has-voltage-6-v-and-current-0-2-a-calculate-resistance,9J,physics,Calculation,calculate,2,written-main,promote now,A resistor has voltage 6 V and current 0.2 A. Calculate resistance.,9Jd Resistance formula practice,calculation-practice-derived,False
y9-272-9i-a-cyclist-travels-12-km-in-0-5-h-calculate-mean-speed,9I,physics,Calculation,calculate,2,written-main,promote now,A cyclist travels 12 km in 0.5 h. Calculate mean speed.,9I speed summary / quick quiz style,calculation-practice-derived,False
y9-273-9i-a-force-of-40-n-moves-a-box-3-m-calculate-work-done,9I,physics,Calculation,calculate,2,written-main,promote now,A force of 40 N moves a box 3 m. Calculate work done.,9I simple machines / work done,calculation-practice-derived,False
y9-274-9i-a-5-n-force-acts-0-4-m-from-a-pivot-calculate-the-moment,9I,physics,Calculation,calculate,2,written-main,promote now,A 5 N force acts 0.4 m from a pivot. Calculate the moment.,9I moments quick quiz style,calculation-practice-derived,False
y9x-001-9a-state-what-variation-is,9A,biology,Assess check,state,1,written-recall,promote to recall pool,State what variation is.,9A assess-yourself success criterion 01,success-criterion-derived,False
y9x-002-9a-outline-why-dinosaurs-became-extinct,9A,biology,Assess check,explain,3,written-main,promote now,Outline why dinosaurs became extinct.,9A assess-yourself success criterion 02,success-criterion-derived,False
y9x-003-9a-use-evidence-to-explain-how-scientists-can-infer-something-about-triceratops-suc,9A,biology,Assess check,explain,3,written-main,promote now,"Use evidence to explain how scientists can infer something about Triceratops, such as whether it was prey.",9A assess-yourself success criterion 03,success-criterion-derived,False
y9x-004-9a-identify-examples-of-environmental-variation,9A,biology,Assess check,identify,1,written-main,promote now,Identify examples of environmental variation.,9A assess-yourself success criterion 04,success-criterion-derived,False
y9x-005-9a-identify-examples-of-inherited-variation,9A,biology,Assess check,identify,1,written-main,promote now,Identify examples of inherited variation.,9A assess-yourself success criterion 05,success-criterion-derived,False
y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction,9A,biology,Assess check,explain,3,written-main,promote now,Explain how changes in an ecosystem can cause extinction.,9A assess-yourself success criterion 06,success-criterion-derived,False
y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model,9A,biology,Assess check,identify,1,written-main,promote now,Identify adaptations of Triceratops that could be labelled on a model.,9A assess-yourself success criterion 07,success-criterion-derived,True
y9x-008-9a-explain-how-environmental-variation-is-caused,9A,biology,Assess check,explain,3,written-main,promote now,Explain how environmental variation is caused.,9A assess-yourself success criterion 08,success-criterion-derived,False
y9x-009-9a-outline-how-some-variation-is-inherited-from-parents,9A,biology,Assess check,describe,2,written-main,promote now,Outline how some variation is inherited from parents.,9A assess-yourself success criterion 09,success-criterion-derived,False
y9x-010-9a-explain-how-triceratops-adaptations-helped-survival,9A,biology,Assess check,explain,3,written-main,promote now,Explain how Triceratops adaptations helped survival.,9A assess-yourself success criterion 10,success-criterion-derived,False
y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels,9A,biology,Assess check,explain,3,written-main,promote now,Identify and explain Triceratops adaptations beyond the obvious labels.,9A assess-yourself success criterion 11,success-criterion-derived,True
y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic,9A,biology,Assess check,describe,2,written-main,promote now,"Describe the relationship between cells, nuclei, chromosomes, genes, DNA and genetic information.",9A assess-yourself success criterion 12,success-criterion-derived,True
y9x-013-9a-describe-how-variation-in-adaptations-affects-survival-within-a-species,9A,biology,Assess check,describe,2,written-main,promote now,Describe how variation in adaptations affects survival within a species.,9A assess-yourself success criterion 13,success-criterion-derived,False
y9x-014-9a-state-what-evolution-is,9A,biology,Assess check,state,1,written-recall,promote to recall pool,State what evolution is.,9A assess-yourself success criterion 14,success-criterion-derived,False
y9x-015-9a-explain-how-natural-selection-works,9A,biology,Assess check,explain,3,written-main,promote now,Explain how natural selection works.,9A assess-yourself success criterion 15,success-criterion-derived,False
y9x-016-9b-name-some-common-crop-plants,9B,biology,Assess check,state,1,written-recall,promote to recall pool,Name some common crop plants.,9B assess-yourself success criterion 01,success-criterion-derived,False
y9x-017-9b-explain-why-it-is-important-to-look-after-crop-plants,9B,biology,Assess check,explain,3,written-main,promote now,Explain why it is important to look after crop plants.,9B assess-yourself success criterion 02,success-criterion-derived,False
