source_file,item_id,item_title_or_question,unit,media_index,media_src,exists,media_title,caption,presentation
year9-notes.js,9A-inheritance,"Inheritance, DNA and genes",9A,0,assets/diagrams/9A-dna-genes-chromosomes.svg,yes,"DNA, genes and chromosomes","Use this when the words chromosome, DNA and gene start to blend together.",media-image-base
year9-notes.js,9A-biodiversity,"Biodiversity, conservation and extinction",9A,0,assets/webp/9A-seed-bank-conservation.webp,yes,,Gene banks and seed banks preserve biodiversity by storing useful genetic material.,
year9-notes.js,9A-evolution,"Adaptation, natural selection and evolution",9A,0,assets/webp/9A-natural-selection-giraffes.webp,yes,,"Natural selection is easier to remember when you think of variation, competition, survival and reproduction.",
year9-notes.js,9A-evolution,"Adaptation, natural selection and evolution",9A,1,assets/webp/9A-prey-adaptation-base.webp,yes,Visible adaptations,,media-image-base
year9-notes.js,9A-evolution,"Adaptation, natural selection and evolution",9A,2,assets/webp/9A-triceratops-model-base.webp,yes,Adaptations on a model,,media-image-base
year9-notes.js,9B-photosynthesis,Photosynthesis and respiration,9B,0,assets/webp/9B-photosynthesis-plant-base.webp,yes,Where photosynthesis happens,,media-image-base
year9-notes.js,9B-photosynthesis,Photosynthesis and respiration,9B,1,assets/webp/9B-photosynthesis-light-graph-notes.webp,yes,Photosynthesis light-intensity graph,"The graph supports light-intensity questions: rate increases at first, then levels off when another factor becomes limiting.",media-diagram-base
year9-notes.js,9B-plant-transport,Plant transport and specialised cells,9B,0,assets/webp/9B-plant-transport-process.webp,yes,Plant transport tissues,Water and mineral ions move up through xylem; sugars made in leaves are transported away in phloem.,media-image-base
year9-notes.js,9B-plant-transport,Plant transport and specialised cells,9B,1,assets/webp/9B-leaf-vein-bundle.webp,yes,Leaf vein bundle,"Inside a leaf vein, xylem and phloem sit together in the vascular bundle.",media-image-base
year9-notes.js,9B-plant-transport,Plant transport and specialised cells,9B,2,assets/webp/9B-root-hair-cell-base.webp,yes,Root hair cell,,media-image-base
year9-notes.js,9B-plant-transport,Plant transport and specialised cells,9B,3,assets/webp/9B-stomata-micrograph.webp,yes,,Stomata are pores controlled by guard cells; they let gases move in and out.,
year9-notes.js,9B-plant-products,"Plant products, seeds and food production",9B,0,assets/webp/9B-food-production-methods-4panel.webp,yes,Increasing crop yield,"Crop yield can be improved by controlling greenhouse conditions, mineral ions, water supply and pests.",media-diagram-base
year9-notes.js,9B-plant-products,"Plant products, seeds and food production",9B,1,assets/webp/9B-seed-lifecycle-notes.webp,yes,Seed lifecycle,Use this for the sequence from flower to seed to new plant.,media-image-base
year9-notes.js,9B-farming-yield-impact,"Farming methods: yield, problems and sustainability",9B,0,assets/webp/9B-farming-yield-sustainability-notes.webp,yes,Farming yield and sustainability,A good answer often gives one yield benefit and one environmental drawback.,media-image-base
year9-notes.js,9B-food-webs,"Food webs, biodiversity and ecosystems",9B,0,assets/webp/9B-carbon-cycle-context.webp,yes,,"Carbon moves between air, plants, animals, decomposers and fossil fuels. Photosynthesis removes carbon dioxide; respiration and combustion return it.",
year9-notes.js,9B-food-webs,"Food webs, biodiversity and ecosystems",9B,1,assets/webp/9B-food-web-ecosystem.webp,yes,Food-web arrows,Arrows in a food web show the direction of energy transfer from food to feeder.,media-image-base
year9-notes.js,9E-ceramics,"Ceramics, crystals and materials properties",9E,0,assets/webp/9E-crystal-cooling-comparison.webp,yes,,Cooling speed affects crystal size: slow cooling gives larger crystals.,
year9-notes.js,9E-ceramics,"Ceramics, crystals and materials properties",9E,1,assets/webp/9E-brittle-lattice-crack.webp,yes,Why brittle materials crack,"A rigid lattice can be strong yet brittle: once layers shift or a crack starts, the material can fracture.",media-image-base
year9-notes.js,9E-polymers,Polymers and polymerisation,9E,0,assets/webp/9E-vulcanisation-crosslinks-base.webp,yes,Vulcanisation,"Vulcanisation adds cross-links between polymer chains, making rubber tougher and less sticky.",media-image-base
year9-notes.js,9E-composites,Composites and material choice,9E,0,assets/diagrams/9E-polymers-composites.svg,yes,Polymers and composites,Composites combine a matrix with reinforcement to improve material properties.,media-diagram-base
year9-notes.js,9E-environment,Environmental impacts and recycling,9E,0,assets/webp/9E-environmental-impacts-recycling.webp,yes,,"Environmental impacts are linked but different: landfill wastes resources, recycling saves resources, acid rain damages ecosystems, and greenhouse gases warm th",
year9-notes.js,9E-recycling-methods,Recycling methods by material,9E,0,assets/webp/9E-recycling-methods-notes.webp,yes,Recycling methods by material,Different materials need different recycling processes.,media-image-base
year9-notes.js,9F-changes,Physical and chemical changes,9F,0,assets/webp/9F-heating-metal-oxide.webp,yes,,Heating can be part of a chemical change when substances react and new products form.,
year9-notes.js,9F-reactivity,Reactivity and displacement,9F,0,assets/webp/9F-reactivity-series-notes-medium-v2.webp,yes,Reactivity series,"The reactivity series ranks metals from most reactive to least reactive and helps predict reactions with water, acids and displacement.",media-image-base
year9-notes.js,9F-reactivity,Reactivity and displacement,9F,1,assets/webp/9F-displacement-reaction-clean-v2.webp,yes,Displacement reactions,"A more reactive metal can displace copper from copper sulfate, leaving a copper coating or deposit.",media-image-base
year9-notes.js,9F-extraction,Metal extraction and reduction,9F,0,assets/webp/9F-extraction-methods-2panel.webp,yes,,"Metals below carbon can often be extracted by carbon reduction, while more reactive metals need electrolysis.",
year9-notes.js,9F-extraction,Metal extraction and reduction,9F,1,assets/webp/9F-blast-furnace-process-v2.webp,yes,Blast furnace process,,media-image-base
