unit,unit_title,priority,infographic,purpose
9A,9A Genetics and evolution — unit overview,high,Natural selection answer-chain infographic,"One class-note visual and one blank question visual showing variation, selection pressure, survival/reproduction and inherited change across generations."
9A,9A Genetics and evolution — unit overview,medium,Biodiversity preservation decision map,"Connects ecosystem change, endangerment/extinction, interdependence, conservation methods and gene banks."
9A,9A Genetics and evolution — unit overview,medium,DNA to characteristic hierarchy,A precise phone-readable hierarchy from cell → nucleus → chromosome → DNA → gene → characteristic.
9B,9B Plant growth — unit overview,high,Photosynthesis limiting-factor graph set,"Class-note and question-safe graphs for light intensity, carbon dioxide and temperature effects."
9B,9B Plant growth — unit overview,high,Farming impact trade-off table,"Shows action, why it is done, and problem caused for hedgerows, pesticides, fertilisers and crop varieties."
9B,9B Plant growth — unit overview,medium,Plant transport overview,"One diagram linking roots/root hairs, xylem, leaves/stomata and phloem movement of sugars."
9B,9B Plant growth — unit overview,medium,Glucose-use flow map,"Flow diagram from glucose to respiration, starch storage, cellulose, lipids and proteins."
9E,9E Making materials — unit overview,high,Recycling methods grid,"One row each for metals, glass, polymers, paper and concrete, showing method and resource/pollution benefit."
9E,9E Making materials — unit overview,high,Peer-review process flowchart,Scientific paper → journal editor → expert reviewers → valid/original/experiments check → publish/amend/reject.
9E,9E Making materials — unit overview,medium,Material families comparison,"Compare ceramics, polymers and composites by structure/properties/uses."
9E,9E Making materials — unit overview,medium,Endothermic vs exothermic transfer diagram,Thermometer/energy-arrow visual showing surroundings warming or cooling.
9F,9F Reactivity and extraction — unit overview,high,Reactivity series to extraction method decision tree,Native metals; carbon extraction for zinc downwards; electrolysis for metals above zinc; include reduction language.
9F,9F Reactivity and extraction — unit overview,high,Metal reaction products map,Metal + oxygen/water/acid product map with exact product families.
9F,9F Reactivity and extraction — unit overview,medium,Gas pressure variable panels,"Temperature, particle number and volume changes, each linked to collision frequency/force."
9F,9F Reactivity and extraction — unit overview,medium,Displacement reaction sequence,More reactive metal enters compound; less reactive metal is displaced/deposited.
9I,9I Forces and motion — unit overview,high,Distance-time graph family,"Class-note and blank versions showing stationary sections, different speeds and gradient calculation."
9I,9I Forces and motion — unit overview,high,Speed-time graph family,"Constant speed, acceleration and deceleration panels, plus relative-speed/unit conversion prompts."
9I,9I Forces and motion — unit overview,medium,Terminal velocity force-chain infographic,Start falling: weight bigger; speed increases: drag increases; terminal velocity: weight = drag.
9I,9I Forces and motion — unit overview,medium,Formula triangle and method card set,"Speed, density, pressure, moment and work done calculation scaffolds without embedding the app question."
9J,9J Force fields and electromagnets — unit overview,high,Circuit symbols and meter-placement master sheet,"Cell, open/closed switch, bulb, resistor, ammeter and voltmeter, with ammeter in series and voltmeter in parallel."
9J,9J Force fields and electromagnets — unit overview,high,Wire resistance investigation diagram,"Show variable wire length/thickness/material, controlled voltage and meter positions."
9J,9J Force fields and electromagnets — unit overview,medium,Current-voltage graph comparison set,Compare two components/wires and infer which has greater resistance.
9J,9J Force fields and electromagnets — unit overview,medium,Static charge transfer sequence,Before/after electron transfer with attraction/repulsion outcomes.
9J,9J Force fields and electromagnets — unit overview,medium,Electromagnet and motor-effect pair,Coil + core strength factors and current-carrying wire crossing magnetic field.
