card_id,unit,asset,question
y9-055-9e-why-can-low-toxin-levels-released-into-the-sea-cause-serious-problems-,9E,assets/webp/9B-bioaccumulation-food-chain-blank-v3.webp,Why can low toxin levels released into the sea cause serious problems to humans?
y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains,9E,assets/webp/9B-bioaccumulation-food-chain-blank-v3.webp,Explain biomagnification of toxins through food chains.
y9r-025-9e-what-is-biomagnification,9E,assets/webp/9B-bioaccumulation-food-chain-blank-v3.webp,"A toxin is eaten by small animals, and then many small animals are eaten by a predator. Why can toxi"
y9x-093-9b-describe-how-sampling-can-estimate-biodiversity-in-a-field,9B,assets/webp/9B-quadrat-ecosystem-sampling-blank-v3.webp,Describe how sampling can estimate biodiversity in a field.
y9-064-9f-in-h2-what-tells-you-that-a-hydrogen-molecule-contains-2-atoms,9F,assets/webp/9F-chemical-formulae-counting-atoms-blank-v2.webp,"In H2, what tells you that a hydrogen molecule contains 2 atoms?"
y9-062-9f-gas-pressure-is-caused-by-gas-particles,9F,assets/webp/9E-gas-pressure-brownian-motion-blank-v3.webp,Gas pressure is caused by gas particles:
y9-063-9f-the-pressure-of-a-gas-increases-as-temperature-increases-because,9F,assets/webp/9E-gas-pressure-brownian-motion-blank-v3.webp,The pressure of a gas increases as temperature increases because:
y9-180-9f-define-gas-pressure,9F,assets/webp/9E-gas-pressure-brownian-motion-blank-v3.webp,Define: gas pressure
y9p-009-9f-what-is-neutralisation,9F,assets/webp/9F-neutralisation-reactions-blank-v3.webp,What is neutralisation?
y9-077-9f-metals-are-usually-extracted-from,9F,assets/webp/9F-metal-extraction-methods-blank-v3.webp,Metals are usually extracted from:
y9-080-9f-which-metal-can-only-be-extracted-using-electrolysis,9F,assets/webp/9F-metal-extraction-methods-blank-v3.webp,Which metal can only be extracted using electrolysis?
y9x-061-9f-explain-how-metal-reactivity-determines-extraction-method,9F,assets/webp/9F-metal-extraction-methods-blank-v3.webp,Explain how metal reactivity determines extraction method.
y9r-044-9f-which-metals-can-be-extracted-from-their-ores-by-heating-with-carbon,9F,assets/webp/9F-metal-extraction-methods-blank-v3.webp,A metal is zinc or below zinc in the reactivity series. Which extraction method can be used?
y9r-045-9f-which-metals-need-electrolysis-to-extract-them-from-their-ores,9F,assets/webp/9F-metal-extraction-methods-blank-v3.webp,A metal is above zinc in the reactivity series. Why is electrolysis needed to extract it from its or
y9-061-9f-which-of-these-describes-a-physical-change,9F,assets/webp/9E-changes-of-state-particle-model-blank-v3.webp,Which of these describes a physical change?
y9-171-9e-define-thermal-decomposition,9E,assets/webp/9F-thermal-decomposition-gas-tests-blank-v2.webp,Define: thermal decomposition
y9x-045-9e-identify-thermal-decomposition-reactions,9E,assets/webp/9F-thermal-decomposition-gas-tests-blank-v2.webp,Identify thermal decomposition reactions.
