topic,slug,notes_asset,blank_asset,class_note_status,question_status,note_refs,blank_refs,qa_comment
Circuit symbols A-H matching grid,9J-circuit-symbols-grid,assets/webp/9J-circuit-symbols-grid-notes-v2.webp,assets/webp/9J-circuit-symbols-grid-blank-v2.webp,integrated in class notes,integrated in question cards,note:9J-circuits,card:y9x-138-9j-match-common-circuit-symbols-to-their-component-names; card:y9x-139-9j-which-label-shows-an-open-switch; card:y9x-140-9j-which-label-shows-a-closed-switch; card:y9x-141-9j-which-label-shows-a-resistor; card:y9x-142-9j-which-label-shows-a-voltmeter; card:y9x-143-9j-which-label-shows-an-ammeter; card:y9x-144-9j-which-label-shows-a-motor,Question cards retargeted to match the new A–H grid; motor question became a battery question.
Ammeter/voltmeter placement candidate positions,9J-meter-placement-candidates,assets/webp/9J-meter-placement-candidates-notes-v2.webp,assets/webp/9J-meter-placement-candidates-blank-v2.webp,integrated in class notes,integrated in question cards,note:9J-circuits,card:y9x-149-9j-where-should-an-ammeter-go-to-measure-current-through-the-lamp; card:y9x-150-9j-where-should-a-voltmeter-go-to-measure-potential-difference-across-the-lamp,Question answer keys retargeted from A/B to X/Y.
Current-voltage graph for two resistors A and B,9J-current-voltage-resistors-ab,assets/webp/9J-current-voltage-resistors-ab-notes-v2.webp,assets/webp/9J-current-voltage-resistors-ab-blank-v2.webp,stored as reserve,integrated in question cards,,card:y9x-112-9j-explain-how-a-current-voltage-graph-shows-which-resistor-has-the-higher-resistan,
Continuous vs discontinuous variation,9A-continuous-discontinuous-variation,assets/webp/9A-continuous-discontinuous-variation-notes-v2.webp,assets/webp/9A-continuous-discontinuous-variation-blank-v2.webp,integrated in class notes,integrated in question cards,note:9A-variation,card:y9-004-9a-what-sort-of-variation-is-shown-when-measurements-can-take-any-value-o; card:y9-008-9a-the-overall-bell-shape-on-a-continuous-variation-chart-is-called,
DNA chromosome gene hierarchy,9A-dna-chromosome-gene-hierarchy,assets/webp/9A-dna-chromosome-gene-hierarchy-notes-v2.webp,assets/webp/9A-dna-chromosome-gene-hierarchy-blank-v2.webp,integrated in class notes,stored as reserve,note:9A-inheritance,,
"Polymers, monomers and composites",9E-polymers-monomers-composites,assets/webp/9E-polymers-monomers-composites-notes-v2.webp,assets/webp/9E-polymers-monomers-composites-blank-v2.webp,integrated in class notes,stored as reserve,note:9E-composites,,
Food web and population changes,9B-food-web-population-changes,assets/webp/9B-food-web-population-changes-notes-v2.webp,assets/webp/9B-food-web-population-changes-blank-v2.webp,integrated in class notes,stored as reserve,note:9B-food-webs,,Question SVG retained for current wren/insecticide card because new food-web blank uses a different ecosystem.
Carbon cycle source-style visual,9B-carbon-cycle-source-style,assets/webp/9B-carbon-cycle-source-style-notes-v2.webp,assets/webp/9B-carbon-cycle-source-style-blank-v2.webp,integrated in class notes,integrated in question cards,note:9B-food-webs,card:y9x-095-9b-label-the-main-processes-in-the-carbon-cycle,
Rusting conditions and rust prevention,9F-rusting-conditions-prevention,assets/webp/9F-rusting-conditions-prevention-notes-v2.webp,assets/webp/9F-rusting-conditions-prevention-blank-v2.webp,integrated in class notes,stored as reserve,note:9F-rusting,,Question SVG retained because existing answer keys depend on current labelled test conditions/pairs.
Sacrificial protection of iron,9F-sacrificial-protection-iron,assets/webp/9F-sacrificial-protection-iron-notes-v2.webp,assets/webp/9F-sacrificial-protection-iron-blank-v2.webp,integrated in class notes,stored as reserve,note:9F-rusting,,Question SVG retained because existing answer keys depend on current labelled test conditions/pairs.
