path,exists,used_by_count,sample_used_by
assets/diagrams/9B-food-web-question.svg,True,1,y9-037-9b-if-insecticide-is-sprayed-in-a-food-web-with-insects-eaten-by-wrens-wh
assets/diagrams/9E-lattice-options-source-style-question.svg,True,1,y9-044-9e-a-substance-with-a-high-melting-point-but-brittle-structure-is-best-re
assets/diagrams/9F-displacement-reaction-question.svg,True,1,y9x-071-9f-use-the-displacement-test-which-tube-is-most-likely-to-show-a-reaction
assets/diagrams/9F-percentage-mass-gain-question.svg,True,1,y9x-078-9f-use-the-mass-gain-diagram-calculate-the-percentage-mass-gain
assets/diagrams/9F-percentage-mass-loss-question.svg,True,1,y9x-079-9f-use-the-mass-loss-diagram-calculate-the-percentage-mass-loss
assets/diagrams/9F-rusting-conditions-question.svg,True,1,y9x-080-9f-use-the-rusting-diagram-which-tube-will-rust-fastest
assets/diagrams/9F-sacrificial-protection-question.svg,True,1,y9x-081-9f-use-the-sacrificial-protection-diagram-which-pair-protects-iron-better
assets/diagrams/9I-distance-time-VWXYZ-question.svg,True,1,y9-092-9i-on-a-distance-time-graph-which-section-shows-where-a-car-has-stopped
assets/diagrams/9I-distance-time-graph-question.svg,True,1,y9x-076-9i-represent-part-of-a-journey-on-a-distance-time-graph
assets/diagrams/9I-lever-XYZ-source-style-question.svg,True,1,y9-093-9i-for-a-lever-the-pivot-is-also-called-the
assets/diagrams/9I-rock-lever-options-source-style-question.svg,True,1,y9-094-9i-which-lever-makes-it-easiest-to-move-a-heavy-rock
assets/diagrams/9J-charge-transfer-question.svg,True,1,y9x-154-9j-use-the-charge-transfer-diagram-what-particle-has-moved-and-what-charge-does-the-rod-gain
assets/diagrams/9J-electromagnet-parts-question.svg,True,3,y9x-155-9j-use-the-electromagnet-diagram-match-labels-a-to-d-to-the-coil-core-cell-and-switch; y9x-156-9j-which-change-would-make-the-electromagnet-in-the-diagram-stronger; y9x-162-9j-use-the-electromagnet-diagram-which-labelled-part-is-the-iron-core
assets/diagrams/9J-magnetic-field-direction-question.svg,True,1,y9x-151-9j-use-the-magnet-diagram-which-arrow-shows-the-field-direction-on-the-top-field-line
assets/diagrams/9J-magnetic-field-strength-question.svg,True,1,y9x-152-9j-use-the-magnet-diagram-where-is-the-magnetic-field-strongest
assets/diagrams/9J-motor-effect-question.svg,True,2,y9x-159-9j-use-the-motor-effect-diagram-which-arrow-shows-the-force-on-the-wire; y9x-160-9j-which-change-would-increase-the-force-in-the-motor-effect-diagram
assets/diagrams/9J-static-charge-pairs-question.svg,True,2,y9x-153-9j-use-the-charge-pair-diagram-identify-which-pairs-repel-and-which-attract; y9x-161-9j-use-the-static-charge-diagram-which-labelled-pair-shows-two-negative-charges
assets/webp/9A-adaptation-environmental-change-extinction-notes-r167.webp,True,1,9A-evolution
assets/webp/9A-adaptation-environmental-change-extinction-question-r167.webp,True,1,y9x-006-9a-explain-how-changes-in-an-ecosystem-can-cause-extinction
assets/webp/9A-conservation-biodiversity-methods-notes-r167.webp,True,1,9A-biodiversity
assets/webp/9A-conservation-biodiversity-methods-question-r167.webp,True,1,y9r4-005-9a-biodiversity-preservation-methods
assets/webp/9A-continuous-discontinuous-variation-blank-v2.webp,True,2,y9-004-9a-what-sort-of-variation-is-shown-when-measurements-can-take-any-value-o; y9-008-9a-the-overall-bell-shape-on-a-continuous-variation-chart-is-called
assets/webp/9A-continuous-discontinuous-variation-notes-v2.webp,True,1,9A-variation
assets/webp/9A-dna-chromosome-gene-hierarchy-notes-v2.webp,True,1,9A-inheritance
assets/webp/9A-dna-hierarchy-question-v153.webp,True,3,y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together; y9x-012-9a-describe-the-relationship-between-cells-nuclei-chromosomes-genes-dna-and-genetic; y9r6-005-9a-dna-gene-section
assets/webp/9A-dna-inheritance-hierarchy-notes-v153.webp,True,1,9A-inheritance
assets/webp/9A-ecosystem-components-interdependence-notes-r167.webp,True,1,9A-biodiversity
assets/webp/9A-ecosystem-components-interdependence-question-r167.webp,True,1,y9p-005-9a-what-forms-an-ecosystem
assets/webp/9A-natural-selection-giraffes.webp,True,1,9A-evolution
assets/webp/9A-natural-selection-sequence-question-v152.webp,True,1,y9r5-005-9a-natural-selection-next-generation
assets/webp/9A-prey-adaptation-base.webp,True,2,y9-015-9a-which-feature-of-an-animal-suggests-that-it-is-prey-for-larger-animals; 9A-evolution
assets/webp/9A-seed-bank-conservation.webp,True,1,9A-biodiversity
assets/webp/9A-triceratops-model-base.webp,True,3,y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model; y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels; 9A-evolution
assets/webp/9B-bioaccumulation-food-chain-blank-v3.webp,True,3,y9-055-9e-why-can-low-toxin-levels-released-into-the-sea-cause-serious-problems-; y9x-051-9e-explain-biomagnification-of-toxins-through-food-chains; y9r-025-9e-what-is-biomagnification
assets/webp/9B-bioaccumulation-food-chain-notes-v3.webp,True,1,9B-food-webs
assets/webp/9B-carbon-cycle-source-style-blank-v2.webp,True,5,y9-039-9b-the-carbon-cycle; y9-040-9b-plants-are-important-in-keeping-the-amount-of-carbon-in-balance-becaus; y9x-030-9b-explain-how-farming-can-change-the-carbon-cycle; y9x-095-9b-label-the-main-processes-in-the-carbon-cycle; y9x-096-9b-explain-how-farming-affects-the-carbon-cycle
assets/webp/9B-carbon-cycle-source-style-notes-v2.webp,True,1,9B-food-webs
assets/webp/9B-farming-yield-methods-notes-v151.webp,True,1,9B-farming-yield-impact
assets/webp/9B-farming-yield-methods-question-v151.webp,True,1,y9r4-002-9b-farming-table-hedgerows
assets/webp/9B-farming-yield-sustainability-blank.webp,True,8,y9x-025-9b-explain-how-fertilisers-help-crop-plants-grow-well; y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming; y9x-098-9b-give-advantages-and-disadvantages-of-insecticides-and-herbicides; y9x-099-9b-give-advantages-and-disadvantages-of-fertilisers; y9r-002-9b-why-is-land-cleared-of-hedges-and-trees-in-modern-farming; y9r-005-9b-what-problem-can-pesticides-cause; y9r-007-9b-what-problem-can-fertilisers-cause-if-they-wash-into-streams-and-rivers; y9qb-001-9b-farming-benefit-problem-compare
assets/webp/9B-farming-yield-sustainability-notes.webp,True,1,9B-farming-yield-impact
assets/webp/9B-food-production-methods-4panel.webp,True,1,9B-plant-products
assets/webp/9B-food-web-population-changes-notes-v2.webp,True,1,9B-food-webs
assets/webp/9B-glucose-uses-notes-v151.webp,True,1,9B-plant-products
assets/webp/9B-glucose-uses-question-v151.webp,True,1,y9r4-003-9b-glucose-use-proteins
assets/webp/9B-leaf-vein-bundle.webp,True,1,9B-plant-transport
assets/webp/9B-photosynthesis-light-graph-blank.webp,True,2,y9-023-9b-what-does-a-photosynthesis-rate-graph-usually-show-as-light-intensity-; y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing
assets/webp/9B-photosynthesis-light-graph-notes.webp,True,1,9B-photosynthesis
assets/webp/9B-photosynthesis-limiting-factors-notes-v152.webp,True,1,9B-photosynthesis
assets/webp/9B-photosynthesis-limiting-factors-question-v152.webp,True,1,y9r5-001-9b-photosynthesis-temperature-rate
assets/webp/9B-photosynthesis-plant-base.webp,True,2,y9-021-9b-where-does-photosynthesis-occur-in-a-plant; 9B-photosynthesis
assets/webp/9B-plant-transport-overview-notes-v153.webp,True,1,9B-plant-transport
assets/webp/9B-plant-transport-overview-question-v153.webp,True,3,y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf; y9x-022-9b-explain-how-leaves-roots-and-stems-help-photosynthesis; y9r6-003-9b-plant-transport-xylem
assets/webp/9B-plant-transport-process.webp,True,1,9B-plant-transport
assets/webp/9B-quadrat-ecosystem-sampling-blank-v3.webp,True,1,y9x-093-9b-describe-how-sampling-can-estimate-biodiversity-in-a-field
assets/webp/9B-quadrat-ecosystem-sampling-notes-v3.webp,True,1,9B-food-webs
assets/webp/9B-root-hair-cell-base.webp,True,2,y9-028-9b-the-specialised-cell-with-a-long-projection-for-absorbing-water-from-s; 9B-plant-transport
assets/webp/9B-seed-dispersal-mechanisms-notes-v3.webp,True,1,9B-plant-products
assets/webp/9B-seed-lifecycle-blank.webp,True,3,y9-248-9b-suggest-why-seeds-need-starch; y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order; y9x-087-9b-list-three-substances-found-in-seeds-and-explain-their-functions
assets/webp/9B-seed-lifecycle-notes.webp,True,1,9B-plant-products
assets/webp/9B-stomata-micrograph.webp,True,1,9B-plant-transport
assets/webp/9E-brittle-lattice-crack.webp,True,1,9E-ceramics
assets/webp/9E-brownian-motion-notes-v3.webp,True,1,9E-heating-cooling
assets/webp/9E-changes-of-state-particle-model-notes-v3.webp,True,1,9E-heating-cooling
assets/webp/9E-conductors-insulators-materials.webp,True,1,9J-resistance
