id,unit,restored_question,source_recorded_question,v156_polished_question,restoration_status,visible_command_removed_from_card_meta,hidden_exam_command,hidden_exam_marks,exam_eligible,exam_pool,source_quality,source
y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,Suggest when photosynthesis might occur in plants.,Suggest when photosynthesis might occur in plants.,State the conditions needed for photosynthesis to occur in plants.,restored,yes,state,2,True,written-main,progress-check-derived,9B Plant Growth PPT progress check slide 14
y9-253-9f-prepare-a-talk-what-should-be-included-on-extracting-iron-and-preventi,9F,Prepare a talk: what should be included on extracting iron and preventing rusting?,Prepare a talk: what should be included on extracting iron and preventing rusting?,Prepare a talk: what should be included on extracting iron and preventing rusting?,restored,yes,describe,5,True,written-main,progress-check-derived,9F assess yourself
y9x-026-9b-use-word-equations-for-photosynthesis-and-aerobic-respiration,9B,Use word equations for photosynthesis and aerobic respiration.,Use word equations for photosynthesis and aerobic respiration.,Write the word equations for photosynthesis and aerobic respiration.,restored,yes,state,2,True,written-main,success-criterion-derived,9B assess-yourself success criterion 11
y9x-043-9e-link-uses-of-ceramics-polymers-and-composites-to-their-properties,9E,"Link uses of ceramics, polymers and composites to their properties.","Link uses of ceramics, polymers and composites to their properties.","Describe how the properties of ceramics, polymers and composites affect their uses.",restored,yes,describe,3,True,written-main,success-criterion-derived,9E assess-yourself success criterion 10
y9x-047-9e-justify-using-a-ceramic-polymer-or-composite-for-a-particular-use,9E,"Justify using a ceramic, polymer or composite for a particular use.","Justify using a ceramic, polymer or composite for a particular use.","Explain why a named ceramic, polymer or composite is suitable for a particular use.",restored,yes,explain,2,True,written-main,success-criterion-derived,9E assess-yourself success criterion 14
y9x-050-9e-classify-exothermic-and-endothermic-reactions-by-temperature-change-and-energy-t,9E,Classify exothermic and endothermic reactions by temperature change and energy transfer.,Classify exothermic and endothermic reactions by temperature change and energy transfer.,Identify whether each reaction is exothermic or endothermic from the temperature change and energy transfer shown.,restored,yes,identify,2,True,written-main,success-criterion-derived,9E assess-yourself success criterion 17
y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,9E,Suggest ways to reduce global warming and acid rain impacts.,Suggest ways to reduce global warming and acid rain impacts.,"State two ways to reduce global warming or acid-rain impacts, then explain one of them.",restored,yes,explain,3,True,written-main,success-criterion-derived,9E assess-yourself success criterion 19
y9x-067-9f-use-balanced-equations-to-represent-reactions,9F,Use balanced equations to represent reactions.,Use balanced equations to represent reactions.,Explain what a balanced chemical equation shows about atoms on each side of the equation.,restored,yes,explain,2,True,written-main,success-criterion-derived,9F assess-yourself success criterion 15
y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,9B,Put the main stages of germination into a logical order.,Put the main stages of germination into a logical order.,Describe the main stages of germination in the correct order.,restored,yes,describe,3,True,written-main,progress-check-derived,9B Plant Growth PPT slide 67
y9x-092-9b-define-biodiversity,9B,A pesticide reduces the number of insect species living in a field. What has happened to biodiversity in that area?,A pesticide reduces the number of insect species living in a field. What has happened to biodiversity in that area?,Explain how using a pesticide could reduce biodiversity in a field.,restored,yes,explain,2,True,written-main,progress-check-derived,9B Plant Growth PPT slide 95
y9x-113-9j-plan-an-investigation-into-how-wire-thickness-affects-resistance,9J,Plan an investigation into how wire thickness affects resistance.,Plan an investigation into how wire thickness affects resistance.,"Describe a method to investigate how wire thickness affects resistance. Include what to change, measure and control.",restored,yes,describe,4,True,written-main,progress-check-derived,9Jd Resistance PPT objective
y9x-118-9j-predict-how-changing-current-magnetic-field-strength-or-current-direction-affect,9J,"Predict how changing current, magnetic field strength or current direction affects a motor.","Predict how changing current, magnetic field strength or current direction affects a motor.","Describe how changing the current, magnetic-field strength or current direction affects the force on a motor coil.",restored,yes,describe,3,True,written-main,progress-check-derived,9Je Electromagnets PPT slide 8
y9x-138-9j-match-common-circuit-symbols-to-their-component-names,9J,"Use the circuit symbol grid. Match labels A–H to these components: cell, battery, open switch, closed switch, lamp, resistor, ammeter and voltmeter.","Use the circuit symbol grid. Match labels A–H to these components: cell, battery, open switch, closed switch, lamp, resistor, ammeter and voltmeter.",Identify the circuit components labelled A–H in the symbol grid.,restored,yes,identify,4,True,written-main,revision-pack-aligned-visual-practice,9Jc Current Electricity PPT / revision pack circuit-symbol coverage
y9x-148-9j-compare-current-and-voltage-in-the-two-circuits,9J,Use the circuit diagrams. Compare how current and voltage behave in Circuit A and Circuit B.,Use the circuit diagrams. Compare how current and voltage behave in Circuit A and Circuit B.,Describe how current and voltage behave in a series circuit and a parallel circuit.,restored,yes,describe,4,True,written-main,revision-pack-aligned-visual-practice,9Jc Current Electricity PPT / series and parallel circuits
y9x-154-9j-use-the-charge-transfer-diagram-what-particle-has-moved-and-what-charge-does-the-rod-gain,9J,"Use the charge-transfer diagram. What particle has moved, and what overall charge does the rod gain?","Use the charge-transfer diagram. What particle has moved, and what overall charge does the rod gain?",Identify the particle that has moved in the charge-transfer diagram and state the charge gained by the rod.,restored,yes,identify,2,True,written-main,source-style-redraw,9Jb Static-Electricity PPT / 9J summary sheet - charging by rubbing visual practice
y9x-155-9j-use-the-electromagnet-diagram-match-labels-a-to-d-to-the-coil-core-cell-and-switch,9J,"Use the electromagnet diagram. Match labels A–D to the coil of wire, iron core, cell/battery and switch.","Use the electromagnet diagram. Match labels A–D to the coil of wire, iron core, cell/battery and switch.",Identify labels A–D on the electromagnet diagram.,restored,yes,identify,4,True,written-main,source-style-redraw,9Je Electromagnets PPT / 9J summary sheet - electromagnet parts visual practice
y9x-157-9j-use-the-relay-diagram-match-labels-a-to-d-to-control-circuit-electromagnet-switch-and-load,9J,"Use the relay diagram. Match labels A–D to the control circuit, electromagnet, switch contacts and load/lamp.","Use the relay diagram. Match labels A–D to the control circuit, electromagnet, switch contacts and load/lamp.",Identify labels A–D on the relay diagram.,restored,yes,identify,4,True,written-main,source-style-redraw,9Je Electromagnets PPT / 9J summary sheet - relay diagram visual practice
y9r-003-9b-what-problem-can-be-caused-by-clearing-hedges-and-trees,9B,What problem can be caused by clearing hedges and trees?,What problem can be caused by clearing hedges and trees?,State two problems caused by clearing hedges and trees.,restored,yes,state,2,True,written-main,exact-source-answer,9B Summary sheet p2 Farming table
y9r-005-9b-what-problem-can-pesticides-cause,9B,What problem can pesticides cause?,What problem can pesticides cause?,State two problems that pesticides can cause in an ecosystem.,restored,yes,state,2,True,written-main,exact-source-answer,9B Summary sheet p2 Farming table
y9r-007-9b-what-problem-can-fertilisers-cause-if-they-wash-into-streams-and-rivers,9B,Fertiliser washes from a field into a stream. What problem can this cause?,Fertiliser washes from a field into a stream. What problem can this cause?,Explain why fertiliser washing into a stream can harm organisms living there.,restored,yes,explain,2,True,written-main,exact-source-answer,9B Summary sheet p2 Farming table
y9r-012-9b-where-does-most-photosynthesis-happen-in-leaves,9B,Where does most photosynthesis happen in leaves?,Where does most photosynthesis happen in leaves?,Identify where most photosynthesis happens in a leaf.,restored,yes,identify,2,True,written-main,exact-source-answer,9B Summary sheet p1 Getting light
y9r-013-9e-what-do-exothermic-reactions-do-to-the-surroundings,9E,What do exothermic reactions do to the surroundings?,What do exothermic reactions do to the surroundings?,State what exothermic reactions do to the surroundings.,restored,yes,state,2,True,written-main,exact-source-answer,9E Summary sheet p2 Endothermic and exothermic reactions
y9r-014-9e-what-do-endothermic-reactions-do-to-the-surroundings,9E,What do endothermic reactions do to the surroundings?,What do endothermic reactions do to the surroundings?,State what endothermic reactions do to the surroundings.,restored,yes,state,2,True,written-main,exact-source-answer,9E Summary sheet p2 Endothermic and exothermic reactions
y9r-018-9e-in-peer-review-what-do-scientists-check-in-a-paper,9E,"In peer review, what do scientists check in a paper?","In peer review, what do scientists check in a paper?",State three things scientists check during peer review.,restored,yes,state,3,True,written-main,exact-source-answer,9E Summary sheet p2 Peer review
y9r-019-9e-after-peer-review-what-can-a-paper-be-recommended-for,9E,"After peer review, what can a paper be recommended for?","After peer review, what can a paper be recommended for?",State the three possible recommendations after peer review.,restored,yes,state,3,True,written-main,exact-source-answer,9E Summary sheet p2 Peer review
y9r-027-9f-what-do-the-large-numbers-in-an-equation-show,9F,What do the large numbers in an equation show?,What do the large numbers in an equation show?,Identify what the large numbers in a chemical equation show.,restored,yes,identify,1,True,written-main,exact-source-answer,9F Summary sheet p1 Reactions and equations
y9r-028-9f-what-do-the-letters-in-brackets-in-an-equation-show,9F,What do the letters in brackets in an equation show?,What do the letters in brackets in an equation show?,Identify what the letters in brackets in a chemical equation show.,restored,yes,identify,2,True,written-main,exact-source-answer,9F Summary sheet p1 Reactions and equations
y9r-034-9f-what-do-metals-that-react-with-water-produce,9F,What do metals that react with water produce?,What do metals that react with water produce?,State the products formed when reactive metals react with water.,restored,yes,state,2,True,written-main,exact-source-answer,9F Summary sheet p1 The reactivity series
y9r-035-9f-what-do-metals-that-react-with-dilute-acids-produce,9F,What do metals that react with dilute acids produce?,What do metals that react with dilute acids produce?,State the products formed when metals react with dilute acids.,restored,yes,state,2,True,written-main,exact-source-answer,9F Summary sheet p1 The reactivity series
y9r-043-9f-where-do-most-metals-occur,9F,Where do most metals occur?,Where do most metals occur?,State how most metals occur naturally in the Earth’s crust.,restored,yes,state,2,True,written-main,exact-source-answer,9F Summary sheet p3 Extracting metals
y9r-047-9i-what-can-forces-make-objects-do,9I,What can forces make objects do?,What can forces make objects do?,State three ways a force can change the motion of an object.,restored,yes,state,3,True,written-main,exact-source-answer,9I Summary sheet p1 Forces and motion
y9r-050-9i-what-has-happened-when-a-falling-object-reaches-terminal-velocity,9I,A falling object is moving at terminal velocity. What has happened to air resistance and weight?,A falling object is moving at terminal velocity. What has happened to air resistance and weight?,Explain what has happened to air resistance and weight when a falling object reaches terminal velocity.,restored,yes,explain,2,True,written-main,exact-source-answer,9I Summary sheet p1 Forces and motion
y9r-068-9j-in-an-electric-field-diagram-what-do-the-arrows-show,9J,"In an electric field diagram, what do the arrows show?","In an electric field diagram, what do the arrows show?",Identify what the arrows show in an electric-field diagram.,restored,yes,identify,1,True,written-main,exact-source-answer,9J Summary sheet p1 Static electricity
y9r-073-9j-if-resistance-stays-the-same-what-happens-when-voltage-is-higher,9J,"A component has the same resistance, but the voltage across it is increased. What happens to the current?","A component has the same resistance, but the voltage across it is increased. What happens to the current?",Explain what happens to current when voltage increases but resistance stays the same.,restored,yes,explain,2,True,written-main,exact-source-answer,9J Summary sheet p2 Resistance
y9r-074-9j-if-voltage-stays-the-same-what-happens-when-resistance-is-higher,9J,"A circuit has the same voltage, but the resistance is increased. What happens to the current?","A circuit has the same voltage, but the resistance is increased. What happens to the current?",Explain what happens to current when resistance increases but voltage stays the same.,restored,yes,explain,2,True,written-main,exact-source-answer,9J Summary sheet p2 Resistance
y9r-075-9j-what-three-things-does-the-resistance-of-a-wire-depend-on,9J,What three things does the resistance of a wire depend on?,What three things does the resistance of a wire depend on?,State three factors that affect the resistance of a wire.,restored,yes,state,3,True,written-main,exact-source-answer,9J Summary sheet p2 Resistance
y9r-080-9j-when-is-an-electromagnet-magnetic,9J,When is an electromagnet magnetic?,When is an electromagnet magnetic?,State when an electromagnet is magnetic.,restored,yes,state,1,True,written-main,exact-source-answer,9J Summary sheet p2 Electromagnets
y9r-084-9j-what-makes-the-coil-in-an-electric-motor-turn,9J,What makes the coil in an electric motor turn?,What makes the coil in an electric motor turn?,Explain what makes the coil in an electric motor turn.,restored,yes,explain,2,True,written-main,exact-source-answer,9J Summary sheet p3 Motors
y9p-005-9a-what-forms-an-ecosystem,9A,What forms an ecosystem?,What forms an ecosystem?,State what forms an ecosystem.,restored,yes,state,2,True,written-main,exact-source-answer,9A Summary sheet p1 Environmental variation
y9p-014-9f-what-energy-supply-do-thermal-decomposition-reactions-need-to-keep-going,9F,What energy supply do thermal decomposition reactions need to keep going?,What energy supply do thermal decomposition reactions need to keep going?,State what energy supply thermal-decomposition reactions need to keep going.,restored,yes,state,1,True,written-main,exact-source-answer,9F Summary sheet p3 Hydrocarbons
y9p-017-9f-when-has-a-substance-been-reduced,9F,When has a substance been reduced?,When has a substance been reduced?,State what it means when a substance has been reduced.,restored,yes,state,1,True,written-main,exact-source-answer,9F Word sheet 9Fe Extracting metals
y9p-025-9j-in-the-number-3-407-how-many-decimal-places-are-there,9J,"In the number 3.407, how many decimal places are there?","In the number 3.407, how many decimal places are there?",Calculate how many decimal places are in 3.407.,restored,yes,calculate,1,True,written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-026-9j-in-the-number-0-0632-what-is-the-first-significant-figure,9J,"In the number 0.0632, what is the first significant figure?","In the number 0.0632, what is the first significant figure?",Identify the first significant figure in 0.0632.,restored,yes,identify,1,True,written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-027-9j-round-42-786-to-one-decimal-place,9J,Round 42.786 to one decimal place.,Round 42.786 to one decimal place.,Round 42.786 to one decimal place.,restored,yes,calculate,1,True,written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-028-9j-round-42-786-to-two-decimal-places,9J,Round 42.786 to two decimal places.,Round 42.786 to two decimal places.,Round 42.786 to two decimal places.,restored,yes,calculate,1,True,written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-029-9j-round-0-0632-to-one-significant-figure,9J,Round 0.0632 to one significant figure.,Round 0.0632 to one significant figure.,Round 0.0632 to one significant figure.,restored,yes,calculate,1,True,written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
y9p-030-9j-round-0-0632-to-two-significant-figures,9J,Round 0.0632 to two significant figures.,Round 0.0632 to two significant figures.,Round 0.0632 to two significant figures.,restored,yes,calculate,1,True,written-main,source-traceable-application,9J Word sheet 9Jd WS Rounding numbers
