stage,path,matched,text
before_r158,YEAR9_CONTENT.subtitle,restored; upgraded,"Guided revision aligned to the school study pack, with expanded written exam mode and visual unit overview pages restored and upgraded."
before_r158,YEAR9_CONTENT.units.1.theme,revision-pack,"Photosynthesis, plant adaptations, plant products, food production and revision-pack respiration links"
before_r158,YEAR9_CONTENT.cards.38.media.0.alt,question-safe,Question-safe carbon cycle diagram without explanatory notes.
before_r158,YEAR9_CONTENT.cards.39.media.0.alt,question-safe,Question-safe carbon cycle diagram without explanatory notes.
before_r158,YEAR9_CONTENT.cards.45.media.0.alt,question-safe,"Question-safe structure visual showing monomers, polymer chain and composite material with blank labels."
before_r158,YEAR9_CONTENT.cards.46.media.0.alt,question-safe,Question-safe split reaction image showing warming and cooling contexts without explanatory labels.
before_r158,YEAR9_CONTENT.cards.54.media.0.alt,question-safe,Question-safe aquatic food chain with toxin dots increasing up the food chain.
before_r158,YEAR9_CONTENT.cards.57.media.0.alt,question-safe,Question-safe recycling image showing several material recycling processes without explanatory labels.
before_r158,YEAR9_CONTENT.cards.59.media.0.alt,question-safe,Question-safe recycling image showing several material recycling processes without explanatory labels.
before_r158,YEAR9_CONTENT.cards.60.media.0.alt,question-safe,Question-safe comparison image showing physical changes and chemical reaction evidence without labels.
before_r158,YEAR9_CONTENT.cards.61.media.0.alt,question-safe,Question-safe gas pressure particle collision diagram.
before_r158,YEAR9_CONTENT.cards.62.media.0.alt,question-safe,Question-safe particle diagrams for gas pressure and temperature.
before_r158,YEAR9_CONTENT.cards.63.media.0.alt,question-safe,Question-safe chemical formula cards without worked atom-count notes.
before_r158,YEAR9_CONTENT.cards.64.media.0.alt,question-safe,Question-safe pH scale with example substances and no explanatory notes.
before_r158,YEAR9_CONTENT.cards.67.media.0.alt,question-safe,Question-safe periodic table image without explanatory labels.
before_r158,YEAR9_CONTENT.cards.69.media.0.alt,question-safe,Question-safe combustion image showing a flame and fire-triangle icons without explanatory labels.
before_r158,YEAR9_CONTENT.cards.71.media.0.alt,question-safe,Question-safe split reaction image showing warming and cooling contexts without explanatory labels.
before_r158,YEAR9_CONTENT.cards.76.media.0.alt,question-safe,Question-safe comparison of metal extraction methods.
before_r158,YEAR9_CONTENT.cards.79.media.0.alt,question-safe,Question-safe comparison of metal extraction methods.
before_r158,YEAR9_CONTENT.cards.86.media.0.alt,question-safe,Question-safe Sankey-style energy transfer diagram without explanatory labels.
before_r158,YEAR9_CONTENT.cards.91.explanation,source-style,"A horizontal section shows time passing with no change in distance. In this source-style redraw, W is a stopped section."
before_r158,YEAR9_CONTENT.cards.105.media.0.alt,question-safe,Question-safe static electricity charge-transfer diagram.
before_r158,YEAR9_CONTENT.cards.106.media.0.alt,question-safe,Question-safe static electricity charge-transfer diagram.
before_r158,YEAR9_CONTENT.cards.116.media.0.alt,question-safe,Question-safe electromagnet image showing comparison setups without explanatory notes.
before_r158,YEAR9_CONTENT.cards.118.media.0.alt,question-safe,Question-safe motor effect and simple motor diagram without explanatory notes.
before_r158,YEAR9_CONTENT.cards.119.media.0.alt,question-safe,Question-safe motor effect and simple motor diagram without explanatory notes.
before_r158,YEAR9_CONTENT.cards.170.media.0.alt,question-safe,Question-safe thermal decomposition and gas test setup.
before_r158,YEAR9_CONTENT.cards.177.media.0.alt,question-safe,Question-safe comparison image showing physical changes and chemical reaction evidence without labels.
before_r158,YEAR9_CONTENT.cards.179.media.0.alt,question-safe,Question-safe gas pressure particle collision diagram.
before_r158,YEAR9_CONTENT.cards.181.media.0.alt,question-safe,Question-safe periodic table image without explanatory labels.
before_r158,YEAR9_CONTENT.cards.186.media.0.alt,question-safe,Question-safe combustion image showing a flame and fire-triangle icons without explanatory labels.
before_r158,YEAR9_CONTENT.cards.201.media.0.alt,question-safe,Question-safe Sankey-style energy transfer diagram without explanatory labels.
before_r158,YEAR9_CONTENT.cards.211.media.0.alt,question-safe,Question-safe bar magnet field-line diagram.
before_r158,YEAR9_CONTENT.cards.218.media.0.alt,question-safe,Question-safe static electricity charge-transfer diagram.
before_r158,YEAR9_CONTENT.cards.225.media.0.alt,question-safe,Question-safe electromagnet image showing comparison setups without explanatory notes.
before_r158,YEAR9_CONTENT.cards.227.media.0.alt,question-safe,Question-safe motor effect and simple motor diagram without explanatory notes.
before_r158,YEAR9_CONTENT.cards.231.explanation,revision-pack,"This keeps the revision-pack definition but asks students to use it, rather than only repeat it."
before_r158,YEAR9_CONTENT.cards.232.explanation,revision-pack,The key revision-pack wording is “reproduce to produce fertile offspring”.
before_r158,YEAR9_CONTENT.cards.235.media.0.alt,question-safe,"Question-safe DNA, chromosome and gene hierarchy diagram."
