index,unit,topic,asset_type,decision,repo_path,source_filename,width,height,size_bytes,assessment
2,9I,Liquid pressure with depth,blank,integrate,assets/webp/9I-liquid-pressure-depth-blank.webp,"ChatGPT Image May 11, 2026, 01_18_38 PM.png",1600,1000,55600,Excellent clean visual showing side jets increasing with depth. Good question-safe image.
3,9E,Greenhouse effect,notes,integrate,assets/webp/9E-greenhouse-effect-notes.webp,"ChatGPT Image May 11, 2026, 02_10_27 PM (1).png",1600,1000,274620,Strong class-note image. Baked notes are clearer than live overlay; use as annotated notes version.
4,9E,Greenhouse effect,blank,integrate,assets/webp/9E-greenhouse-effect-blank.webp,"ChatGPT Image May 11, 2026, 02_10_28 PM (2).png",1600,1000,193254,Strong blank version for question/practice modes.
5,9I,Pressure in fluids,notes,integrate,assets/webp/9I-pressure-fluids-notes.webp,"ChatGPT Image May 11, 2026, 02_30_24 PM (1).png",1600,1000,214610,"Best pressure class-note candidate: force/area, depth pressure, upthrust/floating in one coherent layout."
7,9I,Pressure in fluids,blank,integrate,assets/webp/9I-pressure-fluids-blank.webp,"ChatGPT Image May 11, 2026, 02_30_27 PM (2) (1).png",1600,1000,151260,Good blank/question-safe pressure counterpart.
9,9E,Heating and cooling / changes of state,notes,integrate after mobile check,assets/webp/9E-heating-cooling-notes.webp,"ChatGPT Image May 11, 2026, 02_39_09 PM (1).png",1600,1000,194696,"Good concept image: lab setup + particles + heating/cooling. Text density is moderate; likely fine for class notes, but check on phone."
10,9E,Heating and cooling / changes of state,blank,integrate,assets/webp/9E-heating-cooling-blank.webp,"ChatGPT Image May 11, 2026, 02_39_09 PM (2).png",1600,1000,89840,Good blank version for questions.
11,9F/9E,Exothermic vs endothermic,notes,integrate,assets/webp/9F-exothermic-endothermic-notes.webp,"ChatGPT Image May 11, 2026, 03_08_52 PM (1).png",1600,1000,166256,"Clear split-screen, strong for class notes."
12,9F/9E,Exothermic vs endothermic,blank,integrate,assets/webp/9F-exothermic-endothermic-blank.webp,"ChatGPT Image May 11, 2026, 03_08_53 PM (2).png",1600,1000,110980,Good question-safe visual.
13,9F,Combustion / fire triangle,notes,integrate after text crop/check,assets/webp/9F-combustion-fire-triangle-notes.webp,"ChatGPT Image May 11, 2026, 03_25_01 PM (1).png",1600,1000,167424,Conceptually useful but busy. Use in class notes only; consider a tighter version if mobile text is too small.
14,9F,Combustion / fire triangle,blank,integrate,assets/webp/9F-combustion-fire-triangle-blank.webp,"ChatGPT Image May 11, 2026, 03_25_01 PM (2).png",1600,1000,61644,Good clean blank image for question mode.
16,9F,Collision theory / rate of reaction,blank,integrate,assets/webp/9F-collision-theory-blank.webp,"ChatGPT Image May 11, 2026, 03_32_23 PM (2).png",1600,1000,73174,Clean particle-comparison base. Good for question prompts and class-note background.
17,9B,Farming yield vs sustainability,notes,integrate after mobile check,assets/webp/9B-farming-yield-sustainability-notes.webp,"ChatGPT Image May 11, 2026, 03_42_27 PM (1).png",1600,1000,499540,Good class-note visual; slightly text-heavy but matches benefit/problem goal.
18,9B,Farming yield vs sustainability,blank,integrate,assets/webp/9B-farming-yield-sustainability-blank.webp,"ChatGPT Image May 11, 2026, 03_42_27 PM (2).png",1600,1000,537510,Good blank counterpart.
19,9E,Recycling methods by material,notes,integrate after mobile check,assets/webp/9E-recycling-methods-notes.webp,"ChatGPT Image May 11, 2026, 03_45_40 PM (1).png",1600,1000,243546,Strong four-material visual; text density acceptable for class notes if displayed large.
20,9E,Recycling methods by material,blank,integrate,assets/webp/9E-recycling-methods-blank.webp,"ChatGPT Image May 11, 2026, 03_45_40 PM (2).png",1600,1000,211768,Good blank/question-safe version.
21,9J,Wire resistance investigation,notes,integrate,assets/webp/9J-wire-resistance-investigation-notes.webp,"ChatGPT Image May 11, 2026, 03_50_15 PM (1).png",1600,1000,138996,Very good replacement for weak SVG; clear lab setup and fair-test notes.
