qid,legacy_id,unit,qid_type,card_type,level,question,source
9A-MCQ-01,y9-001-9a-variation-is,9A,MCQ,Quick quiz,1,Variation is:,9A quick quiz 9Aa Q1
9A-MCQ-02,y9-002-9a-of-the-following-which-is-the-best-example-of-an-environmental-variati,9A,MCQ,Quick quiz,1,"Of the following, which is the best example of an environmental variation?",9A quick quiz 9Aa Q2
9A-MCQ-03,y9-003-9a-environmental-variation-is-caused,9A,MCQ,Quick quiz,1,Environmental variation is caused:,9A quick quiz 9Aa Q3
9A-MCQ-04,y9-004-9a-what-sort-of-variation-is-shown-when-measurements-can-take-any-value-o,9A,MCQ,Quick quiz,2,What sort of variation is shown when measurements can take any value over a range?,9A quick quiz 9Aa Q4 - text reconstruction of chart question
9A-MCQ-05,y9-005-9a-of-the-following-which-is-the-best-example-of-an-inherited-variation,9A,MCQ,Quick quiz,1,"Of the following, which is the best example of an inherited variation?",9A quick quiz 9Ab Q1
9A-MCQ-06,y9-006-9a-inherited-characteristics-in-humans-are-caused-by,9A,MCQ,Quick quiz,1,Inherited characteristics in humans are caused by:,9A quick quiz 9Ab Q2
9A-MCQ-07,y9-007-9a-genetic-information-can-be-found-in-a-sperm-cell-in-the,9A,MCQ,Quick quiz,1,Genetic information can be found in a sperm cell in the:,9A quick quiz 9Ab Q3
9A-MCQ-08,y9-008-9a-the-overall-bell-shape-on-a-continuous-variation-chart-is-called,9A,MCQ,Quick quiz,2,The overall bell shape on a continuous variation chart is called:,9A quick quiz 9Ab Q4
9A-MCQ-09,y9-009-9a-each-chromosome-contains-one-molecule-of-a-certain-substance-what-is-t,9A,MCQ,Quick quiz,1,Each chromosome contains one molecule of a certain substance. What is this substance?,9A quick quiz 9Ac Q1
9A-MCQ-10,y9-010-9a-the-total-number-of-chromosomes-in-a-human-liver-cell-is-46-so-the-num,9A,MCQ,Quick quiz,2,The total number of chromosomes in a human liver cell is 46. So the number of chromosomes in a human egg cell is:,9A quick quiz 9Ac Q2
9A-MCQ-11,y9-011-9a-a-gene-is,9A,MCQ,Quick quiz,1,A gene is:,9A quick quiz 9Ac Q3
9A-MCQ-12,y9-012-9a-the-structure-of-the-long-molecule-found-in-chromosomes-was-worked-out,9A,MCQ,Quick quiz,1,The structure of the long molecule found in chromosomes was worked out by:,9A quick quiz 9Ac Q4
9A-MCQ-13,y9-013-9a-which-of-these-is-least-likely-to-cause-the-endangerment-of-a-species,9A,MCQ,Quick quiz,2,Which of these is least likely to cause the endangerment of a species?,9A quick quiz 9Ad Q1
9A-MCQ-14,y9-014-9a-which-of-these-is-least-likely-to-be-used-for-conservation,9A,MCQ,Quick quiz,2,Which of these is least likely to be used for conservation?,9A quick quiz 9Ad Q2
