id,domain,unit,command_word,marks,difficulty,has_media,skills,question
we-bio-state-photosynthesis-equation,biology,9B,state,1,1,no,recall; equation,State the word equation for photosynthesis.
we-bio-identify-glucose-uses,biology,9B,identify,3,2,yes,visual; identify; diagram,Use the glucose map. Identify three ways a plant can use glucose.
we-bio-describe-photosynthesis-light-graph,biology,9B,describe,3,3,yes,visual; graph; describe,Use the graph. Describe how light intensity affects the rate of photosynthesis.
we-bio-explain-magnesium-deficiency,biology,9B,explain,3,3,no,explain; cause-effect,Explain why a plant may grow poorly if it does not get enough magnesium ions.
we-bio-describe-natural-selection-giraffes,biology,9A,explain,4,4,yes,visual; explain; process,Use the giraffe image. Explain how natural selection could lead to longer necks becoming more common over many generations.
we-bio-describe-biodiversity-conservation,biology,9A,describe,3,3,yes,visual; describe; identify,Use the biodiversity diagram. Describe two causes of extinction risk and one way biodiversity can be preserved.
we-bio-explain-farming-method-impact,biology,9B,explain,3,3,yes,visual; explain; benefit-problem,Use the farming table. Choose one farming method and explain one benefit and one environmental problem.
we-bio-describe-food-web-pesticide,biology,9B,describe,3,3,yes,visual; describe; ecosystem,Use the food web. Describe what may happen if pesticides reduce the number of insects.
we-bio-explain-bioaccumulation-top-predator,biology,9B,explain,3,4,yes,visual; explain; ecosystem,Use the food-chain diagram. Explain why the top predator has the highest toxin concentration.
we-bio-identify-root-hair-adaptations,biology,9B,identify,2,2,yes,visual; identify,Use the root hair cell diagram. Identify two adaptations that help it absorb water and mineral ions.
we-bio-identify-leaf-transport-features,biology,9B,identify,2,2,yes,visual; identify,Use the plant transport diagram. Identify the tissue that carries water and the opening that lets carbon dioxide enter the leaf.
we-chem-state-neutralisation-products,chemistry,9F,state,1,1,no,recall; equation,State the products of a neutralisation reaction between an acid and an alkali.
we-chem-identify-state-symbols,chemistry,9E,identify,2,2,no,recall; identify,Identify what the state symbols (s) and (aq) mean in chemical equations.
we-chem-describe-peer-review-process,chemistry,9E,describe,3,3,yes,visual; describe; process,Use the peer-review diagram. Describe the peer-review process in science.
we-chem-identify-exothermic-endothermic,chemistry,9E,identify,2,2,yes,visual; identify; energy,Use the two energy-transfer diagrams. Identify which change is exothermic and which is endothermic.
we-chem-describe-displacement-reaction,chemistry,9F,describe,3,3,yes,visual; describe; reactivity,Use the displacement reaction diagram. Describe what happens when magnesium is added to copper sulfate solution.
we-chem-explain-reactivity-extraction,chemistry,9F,explain,3,4,yes,visual; explain; decision,Use the reactivity series. Explain why aluminium is extracted by electrolysis but iron can be extracted using carbon.
we-chem-explain-thermite-redox,chemistry,9F,explain,4,5,yes,explain; redox,"In the thermite reaction, aluminium reacts with iron oxide to make aluminium oxide and iron. Explain which substance is oxidised and which is reduced."
we-chem-describe-recycling-method,chemistry,9E,describe,3,3,yes,visual; describe; environment,Use the recycling diagram. Describe how one material is recycled and give one benefit of recycling.
we-chem-identify-physical-chemical-change,chemistry,9F,identify,2,2,yes,visual; identify,Use the change diagrams. Identify one physical change and one chemical reaction.
we-phys-state-resultant-force,physics,9I,state,1,1,no,recall,State what is meant by the resultant force on an object.
we-phys-describe-distance-time-graph,physics,9I,describe,3,3,yes,visual; graph; describe,Use the distance-time graph. Describe the motion shown by the graph.
we-phys-describe-speed-time-graph,physics,9I,describe,3,3,yes,visual; graph; describe,Use the speed-time graph. Describe the motion shown in the graph.
we-phys-explain-terminal-velocity,physics,9I,explain,4,4,yes,visual; explain; forces,Use the falling-object sequence. Explain why a falling object reaches terminal velocity.
we-phys-calculate-moment,physics,9I,calculate,2,3,yes,visual; calculation,Use the balanced lever diagram. Calculate the missing distance on the right-hand side.
we-phys-calculate-density-displacement,physics,9I,calculate,3,3,yes,visual; calculation,Use the measuring cylinders. Calculate the density of the object in g/cm³.
we-phys-explain-pressure-contact-area,physics,9I,explain,3,3,yes,visual; explain; calculation,Use the shoe diagrams. Explain which shoe produces the greater pressure on the ground.
we-phys-identify-circuit-meters,physics,9J,identify,2,2,yes,visual; identify; circuit,Use the circuit diagram. Identify where an ammeter and a voltmeter should be connected.
we-phys-explain-wire-resistance-investigation,physics,9J,describe,4,4,yes,visual; practical; explain,Use the practical setup. Describe how to investigate how wire length affects resistance.
we-phys-compare-current-voltage-resistance,physics,9J,explain,3,4,yes,visual; graph; explain,Use the current-voltage graph. Explain which component has the greater resistance.
we-phys-explain-static-charge-transfer,physics,9J,explain,3,3,yes,visual; explain; electricity,Use the static-charge diagram. Explain how one object becomes negatively charged after rubbing.
we-phys-describe-electromagnet-strength,physics,9J,describe,3,3,yes,visual; describe; electromagnet,Use the electromagnet diagram. Describe two ways to make the electromagnet stronger and explain one of them.
