id,origin,source_card_id,unit,unit_title,learning_objective,learning_objective_title,command,marks,has_media,question
we-bio-state-photosynthesis-equation,curated-visual-bank,,9B,9B Plant growth,,,state,1,no,State the word equation for photosynthesis.
we-bio-identify-glucose-uses,curated-visual-bank,,9B,9B Plant growth,,,identify,3,yes,Use the glucose map. Identify three ways a plant can use glucose.
we-bio-describe-photosynthesis-light-graph,curated-visual-bank,,9B,9B Plant growth,,,describe,3,yes,Use the graph. Describe how light intensity affects the rate of photosynthesis.
we-bio-explain-magnesium-deficiency,curated-visual-bank,,9B,9B Plant growth,,,explain,3,no,Explain why a plant may grow poorly if it does not get enough magnesium ions.
we-bio-describe-natural-selection-giraffes,curated-visual-bank,,9A,9A Genetics and evolution,,,explain,4,yes,Use the giraffe image. Explain how natural selection could lead to longer necks becoming more common over many generations.
we-bio-describe-biodiversity-conservation,curated-visual-bank,,9A,9A Genetics and evolution,,,describe,3,yes,Use the biodiversity diagram. Describe two causes of extinction risk and one way biodiversity can be preserved.
we-bio-explain-farming-method-impact,curated-visual-bank,,9B,9B Plant growth,,,explain,3,yes,Use the farming table. Choose one farming method and explain one benefit and one environmental problem.
we-bio-describe-food-web-pesticide,curated-visual-bank,,9B,9B Plant growth,,,describe,3,yes,Use the food web. Describe what may happen if pesticides reduce the number of insects.
we-bio-explain-bioaccumulation-top-predator,curated-visual-bank,,9B,9B Plant growth,,,explain,3,yes,Use the food-chain diagram. Explain why the top predator has the highest toxin concentration.
we-bio-identify-root-hair-adaptations,curated-visual-bank,,9B,9B Plant growth,,,identify,2,yes,Use the root hair cell diagram. Identify two adaptations that help it absorb water and mineral ions.
we-bio-identify-leaf-transport-features,curated-visual-bank,,9B,9B Plant growth,,,identify,2,yes,Use the plant transport diagram. Identify the tissue that carries water and the opening that lets carbon dioxide enter the leaf.
we-chem-state-neutralisation-products,curated-visual-bank,,9F,9F Reactivity and extraction,,,state,1,no,State the products of a neutralisation reaction between an acid and an alkali.
we-chem-identify-state-symbols,curated-visual-bank,,9E,9E Making materials,,,identify,2,no,Identify what the state symbols (s) and (aq) mean in chemical equations.
we-chem-describe-peer-review-process,curated-visual-bank,,9E,9E Making materials,,,describe,3,yes,Use the peer-review diagram. Describe the peer-review process in science.
we-chem-identify-exothermic-endothermic,curated-visual-bank,,9E,9E Making materials,,,identify,2,yes,Use the two energy-transfer diagrams. Identify which change is exothermic and which is endothermic.
we-chem-describe-displacement-reaction,curated-visual-bank,,9F,9F Reactivity and extraction,,,describe,3,yes,Use the displacement reaction diagram. Describe what happens when magnesium is added to copper sulfate solution.
we-chem-explain-reactivity-extraction,curated-visual-bank,,9F,9F Reactivity and extraction,,,explain,3,yes,Use the reactivity series. Explain why aluminium is extracted by electrolysis but iron can be extracted using carbon.
we-chem-explain-thermite-redox,curated-visual-bank,,9F,9F Reactivity and extraction,,,explain,4,yes,"In the thermite reaction, aluminium reacts with iron oxide to make aluminium oxide and iron. Explain which substance is oxidised and which is reduced."
we-chem-describe-recycling-method,curated-visual-bank,,9E,9E Making materials,,,describe,3,yes,Use the recycling diagram. Describe how one material is recycled and give one benefit of recycling.
we-chem-identify-physical-chemical-change,curated-visual-bank,,9F,9F Reactivity and extraction,,,identify,2,yes,Use the change diagrams. Identify one physical change and one chemical reaction.
we-phys-state-resultant-force,curated-visual-bank,,9I,9I Forces and motion,,,state,1,no,State what is meant by the resultant force on an object.
we-phys-describe-distance-time-graph,curated-visual-bank,,9I,9I Forces and motion,,,describe,3,yes,Use the distance-time graph. Describe the motion shown by the graph.
we-phys-describe-speed-time-graph,curated-visual-bank,,9I,9I Forces and motion,,,describe,3,yes,Use the speed-time graph. Describe the motion shown in the graph.
we-phys-explain-terminal-velocity,curated-visual-bank,,9I,9I Forces and motion,,,explain,4,yes,Use the falling-object sequence. Explain why a falling object reaches terminal velocity.
we-phys-calculate-moment,curated-visual-bank,,9I,9I Forces and motion,,,calculate,2,yes,Use the balanced lever diagram. Calculate the missing distance on the right-hand side.
we-phys-calculate-density-displacement,curated-visual-bank,,9I,9I Forces and motion,,,calculate,3,yes,Use the measuring cylinders. Calculate the density of the object in g/cm³.
we-phys-explain-pressure-contact-area,curated-visual-bank,,9I,9I Forces and motion,,,explain,3,yes,Use the shoe diagrams. Explain which shoe produces the greater pressure on the ground.
we-phys-identify-circuit-meters,curated-visual-bank,,9J,9J Force fields and electromagnets,,,identify,2,yes,Use the circuit diagram. Identify where an ammeter and a voltmeter should be connected.
we-phys-explain-wire-resistance-investigation,curated-visual-bank,,9J,9J Force fields and electromagnets,,,describe,4,yes,Use the practical setup. Describe how to investigate how wire length affects resistance.
we-phys-compare-current-voltage-resistance,curated-visual-bank,,9J,9J Force fields and electromagnets,,,explain,3,yes,Use the current-voltage graph. Explain which component has the greater resistance.
we-phys-explain-static-charge-transfer,curated-visual-bank,,9J,9J Force fields and electromagnets,,,explain,3,yes,Use the static-charge diagram. Explain how one object becomes negatively charged after rubbing.
we-phys-describe-electromagnet-strength,curated-visual-bank,,9J,9J Force fields and electromagnets,,,describe,3,yes,Use the electromagnet diagram. Describe two ways to make the electromagnet stronger and explain one of them.
derived-y9-093-9i-for-a-lever-the-pivot-is-also-called-the,derived-open-answer-card,y9-093-9i-for-a-lever-the-pivot-is-also-called-the,9I,9I Forces and motion,9I-moments,"Levers, pivots and moments",identify,1,yes,"In the labelled lever diagram, what is label Y also called?"
derived-y9-229-9a-describe-what-environmental-variation-is,derived-open-answer-card,y9-229-9a-describe-what-environmental-variation-is,9A,9A Genetics and evolution,9A-variation,Variation and classification,describe,2,no,Describe what environmental variation is.
derived-y9-232-9a-define-classification,derived-open-answer-card,y9-232-9a-define-classification,9A,9A Genetics and evolution,9A-variation,Variation and classification,explain,3,no,Why do scientists classify organisms using similarities and differences?
derived-y9-233-9a-define-species,derived-open-answer-card,y9-233-9a-define-species,9A,9A Genetics and evolution,9A-variation,Variation and classification,explain,3,no,"Two animals can mate, but their offspring are not fertile. Why would scientists not count them as the same species?"
derived-y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,derived-open-answer-card,y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,9A,9A Genetics and evolution,9A-variation,Variation and classification,explain,3,no,Explain how environmental variation can cause problems with classification.
derived-y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,derived-open-answer-card,y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,9A,9A Genetics and evolution,9A-variation,Variation and classification,describe,2,no,Describe what happens during fertilisation and what is formed.
derived-y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,derived-open-answer-card,y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,9A,9A Genetics and evolution,9A-inheritance,"Inheritance, DNA and genes",describe,2,yes,"Describe how chromosomes, DNA and genes are linked together."
derived-y9-237-9a-state-three-ways-we-can-preserve-biodiversity,derived-open-answer-card,y9-237-9a-state-three-ways-we-can-preserve-biodiversity,9A,9A Genetics and evolution,9A-inheritance,"Inheritance, DNA and genes",state,1,no,State three ways we can preserve biodiversity.
derived-y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,derived-open-answer-card,y9-239-9b-state-where-a-plant-gets-the-reactants-it-needs-for-photosynthesis,9B,9B Plant growth,9B-plant-transport,Plant transport and specialised cells,state,1,no,State where a plant gets the reactants it needs for photosynthesis.
derived-y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,derived-open-answer-card,y9-240-9b-describe-what-happens-to-the-products-of-photosynthesis,9B,9B Plant growth,9B-plant-transport,Plant transport and specialised cells,describe,2,no,Describe what happens to the products of photosynthesis.
derived-y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,derived-open-answer-card,y9-242-9b-suggest-when-photosynthesis-might-occur-in-plants,9B,9B Plant growth,9B-photosynthesis,Photosynthesis and respiration,state,2,no,Suggest when photosynthesis might occur in plants.
derived-y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,derived-open-answer-card,y9-243-9b-describe-the-route-water-takes-from-soil-to-a-leaf,9B,9B Plant growth,9B-plant-transport,Plant transport and specialised cells,describe,2,yes,Describe the route water takes from soil to a leaf.
derived-y9-248-9b-suggest-why-seeds-need-starch,derived-open-answer-card,y9-248-9b-suggest-why-seeds-need-starch,9B,9B Plant growth,9B-plant-products,"Plant products, seeds and food production",explain,3,yes,Suggest why seeds need starch.
derived-y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,derived-open-answer-card,y9-249-9e-design-poster-prompt-list-what-a-year-9-poster-on-ceramics-polymers-an,9E,9E Making materials,9E-environment,Environmental impacts and recycling,state,1,no,"Design-poster prompt: list what a Year 9 poster on ceramics, polymers and composites should include."
