noteId,action,src
9A-variation,added class-note visual,assets/webp/9A-continuous-discontinuous-variation-notes-v2.webp
9A-inheritance,replaced SVG,assets/webp/9A-dna-chromosome-gene-hierarchy-notes-v2.webp
9B-food-webs,replaced note visual,assets/webp/9B-food-web-population-changes-notes-v2.webp
9B-food-webs,replaced note visual,assets/webp/9B-carbon-cycle-source-style-notes-v2.webp
9E-composites,replaced SVG,assets/webp/9E-polymers-monomers-composites-notes-v2.webp
9F-changes,added class-note visual,assets/webp/9F-physical-change-chemical-reaction-notes-v2.webp
9F-changes,added class-note visual,assets/webp/9F-thermal-decomposition-gas-tests-notes-v2.webp
9F-extraction,replaced note visual,assets/webp/9F-metal-extraction-methods-notes-v2.webp
9F-rusting,replaced note visual,assets/webp/9F-rusting-conditions-prevention-notes-v2.webp
9F-rusting,added class-note visual,assets/webp/9F-sacrificial-protection-iron-notes-v2.webp
9I-moments,replaced note visual,assets/webp/9I-lever-pivot-moment-notes-v2.webp
9I-moments,replaced note visual,assets/webp/9I-moments-real-world-context-notes-v2.webp
9J-fields,replaced note visual,assets/webp/9J-magnetic-field-bar-magnet-notes-v2.webp
9J-static,replaced note visual,assets/webp/9J-static-electricity-charge-transfer-v2-notes-v2.webp
9J-electromagnets,replaced note visual,assets/webp/9J-electromagnet-strength-variables-notes-v2.webp
9J-electromagnets,replaced note visual,assets/webp/9J-motor-effect-simple-motor-notes-v2.webp
9J-circuits,replaced note visual,assets/webp/9J-circuit-symbols-grid-notes-v2.webp
9J-circuits,replaced note visual,assets/webp/9J-meter-placement-candidates-notes-v2.webp
9J-circuits,added class-note visual,assets/webp/9J-potential-difference-series-parallel-notes-v2.webp
9E-heating-cooling,added class-note visual,assets/webp/9E-particle-model-states-notes-v2.webp
9F-periodic-table-bridge,added class-note visual,assets/webp/9F-group1-alkali-metals-notes-v2.webp
9F-periodic-table-bridge,added class-note visual,assets/webp/9F-group7-halogens-notes-v2.webp
