card_id,unit,exam_pool,question_unchanged,previous_exam_command,exam_command,previous_answer_format_hint,answer_format_hint,answer_format_steps,source,source_fidelity
y9-093-9i-for-a-lever-the-pivot-is-also-called-the,9I,written-main,True,identify,identify,Use the diagram labels or names only. Do not add a long explanation unless it helps clarity.,"Use the labels, diagram or question clue to name the correct item(s). Keep the answer concise.","Look carefully at the label, diagram or clue. | Name the correct item(s), part(s) or feature(s). | Use letters/names clearly if the diagram uses labels.",9I quick quiz 9Id Q1 - source-style diagram redraw,source-style-redraw
y9-229-9a-describe-what-environmental-variation-is,9A,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A revision worksheet,progress-check-derived
y9-230-9a-give-three-examples-of-environmental-variation-in-plants,9A,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9A revision worksheet,progress-check-derived
y9-231-9a-give-three-examples-of-environmental-variation-in-humans,9A,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9A revision worksheet,progress-check-derived
y9-232-9a-define-classification,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A revision worksheet,progress-check-derived
y9-233-9a-define-species,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A revision worksheet,progress-check-derived
y9-234-9a-explain-how-environmental-variation-can-cause-problems-with-classifica,9A,written-main,True,explain,explain,Use point → because → result. Link the cause to the science effect.,"Make the point, give the reason, then link it to the result. Use because/so and the key science term.","Make the science point. | Use because/so to link cause and effect. | Add the result, consequence or application.",9A revision worksheet,progress-check-derived
y9-235-9a-describe-what-happens-during-fertilisation-and-what-is-formed,9A,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A revision worksheet,progress-check-derived
y9-236-9a-describe-how-chromosomes-dna-and-genes-are-linked-together,9A,written-main,True,describe,describe,"Use short linked sentences. Say what happens, what is shown, or what changes.","Say what happens, what changes, or what is shown. Use short linked points and include values or labels if given.","Give one clear feature, step or change. | Add another linked feature, step or comparison. | Use values, labels or context from the question where useful.",9A revision worksheet,progress-check-derived
y9-237-9a-state-three-ways-we-can-preserve-biodiversity,9A,written-recall,True,state,state,Use one short sentence or a compact list. Include the exact science term.,"Give the exact fact, term, equation or short list. Keep it short and use the science key words.","Find the exact fact the question is asking for. | Write the key word, equation or short list. | Do not add a long explanation unless the question asks for it.",9A revision worksheet,progress-check-derived
