unit,title,status,detail
9A,Natural selection sequence,covered,"Use for explain answers about variation, selection pressure, survival, reproduction and inherited change."
9A,Biodiversity conservation map,covered,Use for state/describe questions about causes of extinction and conservation methods.
9A,DNA hierarchy,covered,"Use for identify questions linking cells, nuclei, chromosomes, DNA and genes."
9A,Variation graph types,covered,Use for continuous/discontinuous variation and graph interpretation.
9B,Photosynthesis limiting-factor graphs,covered,"Use for graph questions about rate changes, plateaus and temperature effects."
9B,Glucose-use flow map,covered,Use for state/describe questions about what plants do with glucose.
9B,Farming yield and sustainability,covered,Use for benefit/problem answers about increasing yield and environmental impact.
9B,Plant transport overview,covered,"Use for whole-plant answers involving root hairs, xylem, phloem and stomata."
9E,Material families comparison,covered,"Use for ceramics, polymers and composites: properties, examples and suitable uses."
9E,Recycling methods grid,covered,Use for comparing recycling methods and environmental benefits.
9E,Endothermic/exothermic diagrams,covered,Use for identifying the direction of energy transfer with the surroundings.
9E,Peer-review flowchart,covered,"Use for describing how scientists check methods, results and conclusions before publication."
9F,Reactivity/extraction decision tree,covered,Use for choosing electrolysis or carbon reduction from the position of the metal in the reactivity series.
9F,Displacement sequence,covered,Use for predicting whether a more reactive metal will displace a less reactive metal.
9F,Metal reaction products map,covered,"Use for state questions about products from metals reacting with oxygen, water or dilute acids."
9F,Rusting and prevention,covered,Use for explaining conditions needed for rusting and methods that prevent it.
9F,Blast furnace process,covered,Use for describing the stages of extracting iron from iron ore.
9I,Speed-time graph family,covered,"Use for describing acceleration, constant speed and deceleration."
9I,Distance-time graph,covered,Use for describing speed from gradient and identifying stationary sections.
9I,Moment calculations,covered,Use for force × distance calculations around a pivot.
9I,Terminal velocity force-chain,covered,Use for explaining balanced forces on a falling object.
9I,Density/pressure calculations,covered,"Use for formula, substitution and units practice."
9J,Static charge transfer,covered,Use for electron-transfer explanations and resulting charge.
9J,Circuit symbols grid,covered,Use for identifying common circuit components from symbols.
9J,Wire resistance investigation,covered,Use for practical-method questions involving variables and measurements.
9J,Current-voltage graphs,covered,Use for interpreting resistance from current and voltage.
9J,Force-field comparison,covered,"Use for gravitational, magnetic and electric field identification."
9J,"Electromagnet, relay and motor effect",covered,"Use for electromagnet strength, relay action and motor-effect force questions."
