unit,asset,status,reason,recommendation
9A,assets/webp/9A-biodiversity-extinction-conservation-notes-v151.webp,replace,Too much small text for an overview tile; threat and conservation details compete for space.,Create two separate 1600x1000 images: one for causes of endangerment/extinction and one for conservation methods.
9A,assets/webp/9A-conservation-biodiversity-methods-notes-r167.webp,replace,Four-panel notes image is visually useful but text is too small when read at normal page width.,Split into two larger panels or reduce to three large conservation methods with large labels.
9A,assets/webp/9A-dna-inheritance-hierarchy-notes-v153.webp,replace-or-keep-class-note,Bottom labels and small callouts are difficult to read in overview mode.,Use the simplified SVG hierarchy in overview; remake a clean 1600x1000 notes version with only cell/nucleus/chromosome/DNA/gene.
9B,assets/webp/9B-photosynthesis-limiting-factors-notes-v152.webp,replace,Three graph panels plus notes are too dense for one overview image.,Create separate images for light intensity, carbon dioxide and temperature limiting-factor graphs.
9E,assets/webp/9E-recycling-methods-grid-notes-v152.webp,replace,Grid layout has many small labels and does not meet normal-font readability in overview mode.,Make a simpler recycling image with four large method cards: metals, glass, paper and polymers.
9E,assets/webp/9E-peer-review-process-notes-v151.webp,replace,Flowchart text is likely too small for overview reading.,Create a simple 4-step flow: investigation -> paper -> peer review -> accept/change/reject.
9F,assets/webp/9F-reactivity-extraction-decision-notes-r167.webp,borderline-replace,Important content but the decision map is dense; kept only as a full-width lead visual for now.,Remake with a large vertical reactivity ladder and two large extraction branches: carbon reduction / electrolysis.
9F,assets/webp/9F-reactivity-extraction-decision-notes-v152.webp,replace,Superseded by r167 and still text-dense.,Do not use in overview; replace with the simplified r167-style remake.
9F,assets/webp/9F-metal-reaction-products-notes-r167.webp,replace-or-keep-class-note,Multi-reaction layout has several small labels.,Split into separate large panels for metal + oxygen, metal + water and metal + acid.
9I,assets/webp/9I-moment-calculations-notes-v149.webp,replace-or-keep-class-note,Calculation worked example is too small for an overview tile.,Use a clean single worked example with one pivot diagram and large formula/substitution text.
9I,assets/webp/9I-density-calculations-notes-v149.webp,remove-from-overview,Pressure/density is not in the uploaded 9I assess-yourself/summary focus.,Keep in card-level practice only unless the source scope changes.
9I,assets/webp/9I-terminal-velocity-force-chain-notes-v152.webp,replace,Superseded by the clearer r167 sequence.,Use the r167 terminal-velocity sequence or remake as four large stages.
9J,assets/webp/9J-wire-resistance-investigation-notes-r167.webp,replace,Wire resistance practical image remains too busy for overview and was previously flagged as unclear.,Create a clean single-circuit practical image with large labels for independent variable, dependent variable and controls.
9J,assets/webp/9J-current-voltage-graph-comparison-notes-v153.webp,replace-or-keep-class-note,Comparison image is denser than needed for overview mode.,Use the SVG current-voltage graph in overview; remake notes as two large separate graphs if needed.
