card_id,unit,note_id,asset,action,before,question,reason
y9-023-9b-what-does-a-photosynthesis-rate-graph-usually-show-as-light-intensity-,9B,9B-photosynthesis,assets/webp/9B-photosynthesis-light-graph-blank.webp,replace,assets/diagrams/9B-photosynthesis-light-graph-question.svg,What does a photosynthesis-rate graph usually show as light intensity increases?,Replace older SVG graph with polished question-safe blank graph.
y9x-033-9b-describe-how-limiting-factors-stop-photosynthesis-rate-increasing,9B,9B-photosynthesis,assets/webp/9B-photosynthesis-light-graph-blank.webp,add,,Describe how limiting factors stop photosynthesis rate increasing.,Graph supports limiting-factor explanation without note labels.
y9r-002-9b-why-is-land-cleared-of-hedges-and-trees-in-modern-farming,9B,9B-farming-yield-impact,assets/webp/9B-farming-yield-sustainability-blank.webp,add,,A farmer clears hedges and trees from a field. Give one benefit for farming and one environmental problem this can cause.,Blank farming image supports benefit/problem reasoning without embedded answer text.
y9r-007-9b-what-problem-can-fertilisers-cause-if-they-wash-into-streams-and-rivers,9B,9B-farming-yield-impact,assets/webp/9B-farming-yield-sustainability-blank.webp,add,,Fertiliser washes from a field into a stream. What problem can this cause?,Blank farming image supports benefit/problem reasoning without embedded answer text.
y9qb-001-9b-farming-benefit-problem-compare,9B,9B-farming-yield-impact,assets/webp/9B-farming-yield-sustainability-blank.webp,add,,A farmer uses fertilisers and pesticides to increase crop yield. Explain one benefit and one possible problem for each method.,Blank farming image supports benefit/problem reasoning without embedded answer text.
y9x-097-9b-give-advantages-and-disadvantages-of-clearing-land-for-farming,9B,9B-plant-products,assets/webp/9B-farming-yield-sustainability-blank.webp,add,,Give advantages and disadvantages of clearing land for farming.,Blank farming image supports benefit/problem reasoning without embedded answer text.
y9x-098-9b-give-advantages-and-disadvantages-of-insecticides-and-herbicides,9B,9B-plant-products,assets/webp/9B-farming-yield-sustainability-blank.webp,add,,Give advantages and disadvantages of insecticides and herbicides.,Blank farming image supports benefit/problem reasoning without embedded answer text.
y9x-099-9b-give-advantages-and-disadvantages-of-fertilisers,9B,9B-plant-products,assets/webp/9B-farming-yield-sustainability-blank.webp,add,,Give advantages and disadvantages of fertilisers.,Blank farming image supports benefit/problem reasoning without embedded answer text.
y9x-086-9b-put-the-main-stages-of-germination-into-a-logical-order,9B,9B-plant-products,assets/webp/9B-seed-lifecycle-blank.webp,add,,Put the main stages of germination into a logical order.,Blank seed lifecycle image supports plant-product and germination questions without stage labels.
y9x-087-9b-list-three-substances-found-in-seeds-and-explain-their-functions,9B,9B-plant-products,assets/webp/9B-seed-lifecycle-blank.webp,add,,List three substances found in seeds and explain their functions.,Blank seed lifecycle image supports plant-product and germination questions without stage labels.
y9-248-9b-suggest-why-seeds-need-starch,9B,9B-plant-products,assets/webp/9B-seed-lifecycle-blank.webp,add,,Suggest why seeds need starch.,Blank seed lifecycle image supports plant-product and germination questions without stage labels.
y9x-042-9e-explain-the-causes-and-problems-of-acid-rain-and-the-greenhouse-effect,9E,9E-environment,assets/webp/9E-greenhouse-effect-blank.webp,add,,Explain the causes and problems of acid rain and the greenhouse effect.,Blank greenhouse image supports explanation of energy flow without baked-in notes.
y9x-052-9e-suggest-ways-to-reduce-global-warming-and-acid-rain-impacts,9E,9E-environment,assets/webp/9E-greenhouse-effect-blank.webp,add,,Suggest ways to reduce global warming and acid rain impacts.,Blank greenhouse image supports explanation of energy flow without baked-in notes.
y9cgp-076-E-climate-bridge-what-causes-the-natural-greenhouse-effect,9E,9E-climate-bridge,assets/webp/9E-greenhouse-effect-blank.webp,add,,What causes the natural greenhouse effect?,Blank greenhouse image supports explanation of energy flow without baked-in notes.
y9cgp-077-E-climate-bridge-why-can-extra-greenhouse-gases-increase-global-temperature,9E,9E-climate-bridge,assets/webp/9E-greenhouse-effect-blank.webp,add,,Why can extra greenhouse gases increase global temperature?,Blank greenhouse image supports explanation of energy flow without baked-in notes.
y9cgp-085-E-climate-bridge-explain-why-a-correlation-between-greenhouse-gas-emissions-a,9E,9E-climate-bridge,assets/webp/9E-greenhouse-effect-blank.webp,add,,Explain why a correlation between greenhouse gas emissions and temperature is important but not the only evidence needed.,Blank greenhouse image supports explanation of energy flow without baked-in notes.
y9-058-9e-recycling-a-metal-helps-us-use-that-metal-further-into-the-future-beca,9E,9E-environment,assets/webp/9E-recycling-methods-blank.webp,add,,Recycling a metal helps us use that metal further into the future because:,Blank recycling image supports material-process reasoning without text labels.
y9-060-9e-the-most-important-reason-for-recycling-glass-is-that-it-saves-large-a,9E,9E-environment,assets/webp/9E-recycling-methods-blank.webp,add,,The most important reason for recycling glass is that it saves large amounts of:,Blank recycling image supports material-process reasoning without text labels.
y9x-046-9e-explain-advantages-of-recycling-with-specific-examples,9E,9E-environment,assets/webp/9E-recycling-methods-blank.webp,add,,Explain advantages of recycling with specific examples.,Blank recycling image supports material-process reasoning without text labels.
