area,source_exam_1,source_exam_2,overlap_or_trend,recommendation
Biology cells,"prokaryotes/eukaryotes; mitochondria; root hair cells; diffusion; magnification","plant vs animal cells; nucleus; tissue; red blood cell adaptation",Strong overlap on cell structures/functions and adaptations,Keep as recurring Biology Q1 block
Photosynthesis,"symbol equation; limiting factor explanation; respiration equation; producer","word equation; factors affecting rate; respiration importance",Strong overlap on photosynthesis and respiration,Include in every full paper
Digestion,"enzymes; optimum temperature; amylase; bile","iodine test; starch colour change; small intestine",Related overlap on digestion/food tests,Rotate enzymes/digestion/food tests
Atomic structure,"subatomic particle charges; atomic counts; group properties; metal/non-metal property","element definition; atom vs molecule; sodium-23 counts; magnesium oxide",Strong overlap on atomic structure and particles,Include a particle-count item in every chemistry paper
Chemical reactions,"balancing Mg + O2; oxidation; acid carbonate; exothermic/endothermic; rate and temperature","neutral pH; acid + metal gas; acid + alkali; acid safety",Overlap on reaction patterns and safety,Rotate equation/reaction/safety items
States/particles,"density equation/calculation; evaporation; gas diffusion","solid arrangement; gas compression; condensation",Related particle model overlap,Rotate particle explanations with density calculations
Forces/motion,"speed equation; speed calculation; acceleration; distance-time graph interpretation","speed equation; speed calculation; balanced forces",Very strong overlap on speed equation/calculation,Always include speed equation/calculation
Energy/electricity,"energy equation; energy calculation; current/potential difference; cells in series; wind power","renewables; energy transfer; series circuit break; voltmeter",Strong overlap on energy/electricity vocabulary,Include one circuit behaviour item and one energy item
Waves/light/sound,"wave equation; speed calculation; reflection; pitch","sound vs light; refraction; dispersion; sound in vacuum",Topic overlap but different subtopics,Rotate quantitative waves with light/sound concepts
Working scientifically graph,"temperature-time graph; rate; estimate; imperfect results","distance-time graph; constant speed interpretation",Strong graphing overlap,Always include one graph/data item
Working scientifically practical,"acid concentration practical variables/hazards","pondweed light intensity practical variables/repeats/safety",Strong practical-skills overlap,Always include variables/controls/repeats/safety
