asset,status,use_count,uses
assets/webp/9A-natural-selection-giraffes.webp,Already used,1,note:9A-evolution
assets/webp/9A-prey-adaptation-base.webp,Integrated,2,card:y9-015-9a-which-feature-of-an-animal-suggests-that-it-is-prey-for-larger-animals; note:9A-evolution
assets/webp/9A-seed-bank-conservation.webp,Already used,1,note:9A-biodiversity
assets/webp/9A-triceratops-evidence.webp,Reserve / not currently wired,0,
assets/webp/9A-triceratops-model-base.webp,Integrated,3,card:y9x-007-9a-identify-adaptations-of-triceratops-that-could-be-labelled-on-a-model; card:y9x-011-9a-identify-and-explain-triceratops-adaptations-beyond-the-obvious-labels; note:9A-evolution
assets/webp/9B-carbon-cycle-context.webp,Already used,1,note:9B-food-webs
assets/webp/9B-photosynthesis-plant-base.webp,Integrated,2,card:y9-021-9b-where-does-photosynthesis-occur-in-a-plant; note:9B-photosynthesis
assets/webp/9B-root-hair-cell-base.webp,Integrated,2,card:y9-028-9b-the-specialised-cell-with-a-long-projection-for-absorbing-water-from-s; note:9B-plant-transport
assets/webp/9B-root-hair-micrograph.webp,Reserve / not currently wired,0,
assets/webp/9B-stomata-micrograph.webp,Already used,1,note:9B-plant-transport
assets/webp/9E-conductors-insulators-materials.webp,Already used,1,note:9J-resistance
assets/webp/9E-crystal-cooling-comparison.webp,Already used,1,note:9E-ceramics
assets/webp/9E-environmental-impacts-recycling.webp,Already used,1,note:9E-environment
assets/webp/9E-material-textures.webp,Reserve / not currently wired,0,
assets/webp/9E-sustainable-living-solutions.webp,Reserve / not currently wired,0,
assets/webp/9F-blast-furnace-base.webp,Integrated,3,card:y9x-074-9f-use-the-blast-furnace-diagram-which-label-shows-the-hot-air-blast; card:y9x-075-9f-use-the-blast-furnace-diagram-which-label-shows-molten-material-being-tapped-out; note:9F-extraction
assets/webp/9F-blast-furnace-process.webp,Reserve / not currently wired,0,
assets/webp/9F-extraction-apparatus.webp,Reserve / not currently wired,0,
assets/webp/9F-extraction-carbon-vs-electrolysis.webp,Already used,1,note:9F-extraction
assets/webp/9F-heating-metal-oxide.webp,Already used,1,note:9F-changes
assets/webp/9F-rusting-protection.webp,Already used,1,note:9F-rusting
assets/webp/9I-falling-forces-base.webp,Integrated,1,card:y9-081-9i-for-a-falling-object-which-labels-best-match-the-forces-weight-downwar
assets/webp/9I-falling-forces-parachutist-base.webp,Integrated,1,note:9I-forces
assets/webp/9I-forces-parachutist.webp,Reserve / not currently wired,0,
assets/webp/9I-forces-terminal-velocity-sequence.webp,Already used,1,note:9I-forces
assets/webp/9I-lever-moment-context.webp,Already used,1,note:9I-moments
assets/webp/9I-sankey-efficiency-base.webp,Integrated,2,card:y9-088-9i-which-machine-is-more-efficient-in-a-sankey-diagram; note:9I-energy-work
assets/webp/9I-sankey-lightbulb-efficiency-base.webp,Integrated,1,note:9I-energy-work
assets/webp/9J-circuit-components-photo.webp,Reserve / not currently wired,0,
assets/webp/9J-electromagnet-relay-motor.webp,Reserve / not currently wired,0,
assets/webp/9J-magnetic-field-pattern.webp,Already used,1,note:9J-fields
assets/webp/9J-real-components-vs-symbols.webp,Already used,1,note:9J-circuits
assets/webp/9J-series-parallel-circuits-photo.webp,Reserve / not currently wired,0,
assets/webp/9J-series-parallel-current-voltage.webp,Already used,1,note:9J-circuits
assets/webp/9J-static-electricity-charge-transfer.webp,Already used,1,note:9J-static
assets/webp/9J-static-electricity-demo.webp,Reserve / not currently wired,0,
