paperMarks,sample,questions,totalMarks,biologyMarks,chemistryMarks,physicsMarks,sectionAMarks,sectionBMarks,sectionCMarks,visualQuestions,commands,units
15,1,11,15,5,5,5,5,7,3,9,"{'describe': 1, 'state': 2, 'identify': 4, 'explain': 2, 'calculate': 2}","{'9A': 2, '9B': 1, '9E': 1, '9F': 3, '9I': 1, '9J': 3}"
15,2,11,15,5,5,5,4,8,3,8,"{'state': 4, 'explain': 1, 'describe': 3, 'identify': 1, 'calculate': 2}","{'9B': 2, '9A': 1, '9F': 3, '9E': 1, '9J': 4}"
15,3,11,15,5,5,5,4,8,3,8,"{'identify': 1, 'describe': 3, 'explain': 1, 'state': 4, 'calculate': 2}","{'9B': 2, '9A': 1, '9F': 2, '9E': 2, '9J': 3, '9I': 1}"
15,4,12,15,5,5,5,6,6,3,9,"{'state': 5, 'describe': 3, 'identify': 2, 'calculate': 2}","{'9A': 1, '9B': 3, '9F': 2, '9E': 2, '9I': 2, '9J': 2}"
15,5,11,15,5,5,5,4,8,3,8,"{'describe': 4, 'identify': 1, 'state': 4, 'calculate': 2}","{'9B': 1, '9A': 2, '9E': 1, '9F': 3, '9J': 4}"
15,6,10,15,5,5,5,3,10,2,7,"{'describe': 3, 'state': 2, 'explain': 2, 'identify': 1, 'calculate': 2}","{'9B': 2, '9A': 1, '9F': 2, '9E': 1, '9J': 3, '9I': 1}"
15,7,11,15,5,5,5,5,6,4,8,"{'describe': 2, 'explain': 1, 'state': 3, 'identify': 2, 'calculate': 3}","{'9A': 1, '9B': 2, '9F': 2, '9E': 2, '9J': 3, '9I': 1}"
15,8,10,15,5,5,5,4,9,2,7,"{'identify': 2, 'state': 2, 'describe': 4, 'calculate': 2}","{'9B': 2, '9A': 1, '9F': 2, '9E': 1, '9J': 2, '9I': 2}"
15,9,12,15,5,5,5,6,6,3,9,"{'describe': 3, 'state': 6, 'identify': 1, 'calculate': 2}","{'9B': 3, '9A': 1, '9F': 2, '9E': 2, '9J': 3, '9I': 1}"
15,10,11,15,5,5,5,4,6,5,8,"{'explain': 1, 'describe': 3, 'state': 4, 'calculate': 2, 'identify': 1}","{'9B': 2, '9A': 1, '9F': 2, '9E': 2, '9J': 4}"
15,11,10,15,5,5,5,5,7,3,8,"{'explain': 1, 'state': 4, 'identify': 1, 'describe': 2, 'calculate': 2}","{'9B': 3, '9E': 3, '9F': 1, '9I': 2, '9J': 1}"
15,12,10,15,5,5,5,5,6,4,8,"{'state': 2, 'explain': 1, 'identify': 2, 'describe': 3, 'calculate': 2}","{'9B': 3, '9F': 2, '9E': 1, '9I': 1, '9J': 3}"
15,13,11,15,5,5,5,4,8,3,8,"{'describe': 3, 'identify': 2, 'state': 3, 'calculate': 2, 'explain': 1}","{'9A': 2, '9B': 1, '9F': 2, '9E': 2, '9J': 2, '9I': 2}"
15,14,10,15,5,5,5,5,9,1,8,"{'identify': 2, 'state': 3, 'describe': 4, 'calculate': 1}","{'9B': 2, '9A': 1, '9F': 1, '9E': 2, '9I': 2, '9J': 2}"
15,15,11,15,5,5,5,5,8,2,7,"{'describe': 4, 'state': 4, 'identify': 1, 'calculate': 2}","{'9A': 1, '9B': 2, '9E': 2, '9F': 2, '9I': 1, '9J': 3}"
30,1,20,30,10,10,10,7,16,7,16,"{'describe': 7, 'explain': 2, 'state': 5, 'identify': 3, 'calculate': 3}","{'9B': 4, '9A': 1, '9F': 3, '9E': 4, '9J': 6, '9I': 2}"
30,2,22,30,10,10,10,10,14,6,17,"{'state': 7, 'describe': 5, 'identify': 4, 'explain': 2, 'calculate': 4}","{'9B': 5, '9A': 2, '9E': 4, '9F': 3, '9J': 6, '9I': 2}"
30,3,20,30,10,10,10,9,16,5,17,"{'identify': 3, 'describe': 6, 'explain': 2, 'state': 6, 'calculate': 3}","{'9B': 5, '9A': 1, '9E': 2, '9F': 5, '9I': 2, '9J': 5}"
30,4,19,30,10,10,10,8,15,7,16,"{'describe': 6, 'state': 2, 'identify': 6, 'explain': 2, 'calculate': 3}","{'9B': 4, '9A': 1, '9F': 3, '9E': 4, '9J': 6, '9I': 1}"
30,5,21,30,10,10,10,9,12,9,16,"{'state': 6, 'describe': 5, 'identify': 4, 'explain': 2, 'calculate': 4}","{'9A': 2, '9B': 4, '9F': 3, '9E': 4, '9J': 4, '9I': 4}"
30,6,19,30,10,10,10,8,16,6,15,"{'state': 4, 'identify': 3, 'explain': 3, 'describe': 6, 'calculate': 3}","{'9B': 5, '9A': 1, '9E': 4, '9F': 2, '9I': 3, '9J': 4}"
30,7,20,30,10,10,10,9,17,4,15,"{'describe': 8, 'identify': 4, 'state': 5, 'calculate': 3}","{'9B': 4, '9A': 2, '9F': 4, '9E': 2, '9I': 3, '9J': 5}"
30,8,20,30,10,10,10,8,17,5,17,"{'describe': 6, 'identify': 5, 'state': 4, 'explain': 2, 'calculate': 3}","{'9A': 3, '9B': 3, '9E': 3, '9F': 4, '9J': 5, '9I': 2}"
30,9,21,30,10,10,10,10,15,5,17,"{'state': 7, 'explain': 4, 'describe': 3, 'identify': 4, 'calculate': 3}","{'9B': 5, '9A': 1, '9E': 4, '9F': 3, '9J': 6, '9I': 2}"
30,10,19,30,10,10,10,7,15,8,15,"{'explain': 2, 'describe': 7, 'state': 6, 'identify': 1, 'calculate': 3}","{'9B': 5, '9A': 1, '9E': 4, '9F': 2, '9J': 4, '9I': 3}"
30,11,19,30,10,10,10,7,18,5,15,"{'describe': 8, 'identify': 3, 'explain': 1, 'state': 4, 'calculate': 3}","{'9A': 2, '9B': 3, '9F': 3, '9E': 4, '9J': 4, '9I': 3}"
30,12,19,30,10,10,10,7,15,8,15,"{'describe': 7, 'state': 5, 'identify': 3, 'explain': 1, 'calculate': 3}","{'9B': 3, '9A': 3, '9F': 4, '9E': 2, '9J': 3, '9I': 4}"
30,13,18,30,10,10,10,6,18,6,15,"{'state': 5, 'explain': 3, 'identify': 2, 'describe': 5, 'calculate': 3}","{'9B': 5, '9A': 1, '9F': 5, '9E': 1, '9J': 3, '9I': 3}"
30,14,19,30,10,10,10,6,16,8,17,"{'describe': 7, 'state': 3, 'identify': 4, 'explain': 2, 'calculate': 3}","{'9B': 3, '9A': 2, '9F': 3, '9E': 4, '9I': 2, '9J': 5}"
30,15,20,30,10,10,10,8,14,8,15,"{'identify': 3, 'state': 6, 'describe': 7, 'calculate': 3, 'explain': 1}","{'9A': 2, '9B': 4, '9F': 4, '9E': 3, '9I': 3, '9J': 4}"
45,1,27,45,15,15,15,10,26,9,23,"{'identify': 6, 'describe': 12, 'explain': 1, 'state': 4, 'calculate': 4}","{'9B': 5, '9A': 2, '9E': 3, '9F': 7, '9J': 8, '9I': 2}"
45,2,28,45,15,15,15,12,24,9,24,"{'describe': 10, 'state': 8, 'explain': 3, 'identify': 5, 'calculate': 2}","{'9B': 6, '9A': 2, '9E': 5, '9F': 5, '9J': 6, '9I': 4}"
45,3,28,45,15,15,15,11,23,11,23,"{'explain': 3, 'state': 9, 'describe': 9, 'calculate': 5, 'identify': 2}","{'9B': 9, '9F': 5, '9E': 4, '9I': 4, '9J': 6}"
45,4,27,45,15,15,15,11,25,9,24,"{'identify': 7, 'state': 3, 'describe': 9, 'explain': 4, 'calculate': 4}","{'9A': 3, '9B': 5, '9F': 4, '9E': 5, '9J': 8, '9I': 2}"
45,5,29,45,15,15,15,11,23,11,23,"{'describe': 8, 'state': 7, 'explain': 5, 'identify': 4, 'calculate': 5}","{'9B': 8, '9A': 1, '9F': 3, '9E': 6, '9J': 9, '9I': 2}"
45,6,30,45,15,15,15,16,19,10,24,"{'state': 9, 'describe': 9, 'identify': 7, 'explain': 1, 'calculate': 4}","{'9B': 7, '9A': 3, '9E': 4, '9F': 6, '9J': 8, '9I': 2}"
45,7,28,45,15,15,15,12,21,12,24,"{'explain': 5, 'identify': 6, 'describe': 7, 'state': 6, 'calculate': 4}","{'9B': 7, '9A': 1, '9F': 5, '9E': 5, '9I': 4, '9J': 6}"
45,8,27,45,15,15,15,12,27,6,22,"{'describe': 9, 'explain': 4, 'identify': 6, 'state': 4, 'calculate': 4}","{'9B': 6, '9A': 2, '9F': 2, '9E': 7, '9J': 9, '9I': 1}"
45,9,28,45,15,15,15,12,22,11,23,"{'identify': 5, 'state': 7, 'describe': 9, 'explain': 3, 'calculate': 4}","{'9B': 6, '9A': 2, '9E': 5, '9F': 4, '9J': 8, '9I': 3}"
45,10,30,45,15,15,15,14,21,10,26,"{'identify': 7, 'state': 7, 'describe': 8, 'explain': 3, 'calculate': 5}","{'9B': 7, '9A': 1, '9E': 5, '9F': 5, '9I': 3, '9J': 9}"
45,11,28,45,15,15,15,10,24,11,22,"{'state': 8, 'describe': 8, 'explain': 4, 'identify': 3, 'calculate': 5}","{'9B': 8, '9A': 1, '9E': 4, '9F': 5, '9J': 7, '9I': 3}"
45,12,30,45,15,15,15,13,25,7,25,"{'describe': 9, 'identify': 6, 'state': 8, 'explain': 3, 'calculate': 4}","{'9B': 8, '9A': 2, '9F': 6, '9E': 4, '9J': 7, '9I': 3}"
45,13,26,45,15,15,15,10,25,10,23,"{'describe': 10, 'state': 5, 'identify': 5, 'explain': 2, 'calculate': 4}","{'9B': 5, '9A': 2, '9E': 4, '9F': 5, '9J': 8, '9I': 2}"
